学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,51,0.6,197313,2863533,28,0.6,192550,-
学歴計,20～21歳,115,1.5,207514,3051221,59,1.3,203747,2591121
学歴計,22～24歳,426,1.8,245346,3548053,337,1.6,233091,3026597
学歴計,25～29歳,1078,3.6,279151,4450248,704,3.3,262897,3714702
学歴計,30～34歳,1079,6.2,328816,5031937,614,5.3,300939,4389614
学歴計,35～39歳,1159,9.2,353009,5692236,508,7.5,310569,4516940
学歴計,40～44歳,1400,11.6,398114,6087691,670,9.2,339018,5097735
学歴計,45～49歳,1668,14.7,429622,6478748,739,12,355636,5262404
学歴計,50～54歳,1690,17.7,456464,6891977,641,13.1,362543,5414117
学歴計,55～59歳,1419,18,475134,7222385,436,15.2,381403,5656894
学歴計,60歳以上,900,17.1,386831,5555404,238,16.2,296924,4317997
中学卒,～17歳,-,-,-,-,1,x,x,x
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,2,x,x,x,-,-,-,-
中学卒,22～24歳,6,4,412417,5645533,-,-,-,-
中学卒,25～29歳,13,5.7,308585,4460095,1,x,x,x
中学卒,30～34歳,10,9.4,325381,4481229,3,x,x,x
中学卒,35～39歳,15,8.3,346469,5241542,4,x,x,x
中学卒,40～44歳,19,11.1,351197,5143821,1,x,x,x
中学卒,45～49歳,42,13.7,340486,5880817,5,12.4,242493,2821157
中学卒,50～54歳,48,14.9,355951,4878162,8,14.1,231034,3359430
中学卒,55～59歳,41,15,321833,5144894,8,36.5,247775,4325148
中学卒,60歳以上,38,24.3,328504,4703278,4,x,x,x
高校卒,18～19歳,47,0.6,197313,2863533,22,0.5,192550,-
高校卒,20～21歳,89,1.7,206007,3106795,31,1.8,202323,2593961
高校卒,22～24歳,107,3.5,233051,3745684,69,3.2,223702,3156786
高校卒,25～29歳,216,5,256909,4150618,59,4.5,230224,3221011
高校卒,30～34歳,224,7.6,285833,4514151,80,5.9,250060,3793028
高校卒,35～39歳,272,10.2,321295,5132088,76,6.5,243946,3593462
高校卒,40～44歳,367,11.4,347037,5433730,147,9.2,275212,4023265
高校卒,45～49歳,465,15.8,368794,5728723,159,13.5,293053,4347820
高校卒,50～54歳,587,17.6,390375,5831124,170,14.9,298948,4472338
高校卒,55～59歳,493,18.8,373319,5689322,139,16.7,295993,4454111
高校卒,60歳以上,333,17.8,348731,5072621,102,16.3,254230,3722324
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,3,x,x,x,6,0,182000,-
高専・短大卒,22～24歳,6,1,285920,3921900,9,1.3,233953,3233000
高専・短大卒,25～29歳,18,3.8,268886,3811691,27,3.9,239833,3775957
高専・短大卒,30～34歳,37,5.8,314407,4394600,33,5.7,258754,3431254
高専・短大卒,35～39歳,33,11.2,353472,5598666,40,7.4,274390,3484242
高専・短大卒,40～44歳,32,16.3,430150,6146103,94,9.7,297967,4559174
高専・短大卒,45～49歳,64,16.4,430672,6430269,135,12.8,299880,4652461
高専・短大卒,50～54歳,34,16.9,465183,7098355,105,13.8,333883,5002867
高専・短大卒,55～59歳,40,17.7,424955,6922310,70,14.8,342352,4831045
高専・短大卒,60歳以上,30,15.4,396046,5256505,35,17.3,299598,4362599
専門学校卒,20～21歳,18,0.3,209653,2501000,18,0.7,212587,2540000
専門学校卒,22～24歳,64,2,225732,3713195,54,1.9,246126,3062350
専門学校卒,25～29歳,117,4.1,262520,4193962,88,3.3,258343,3599439
専門学校卒,30～34歳,119,7.3,300481,4738097,71,5.6,273625,3870016
専門学校卒,35～39歳,174,9.3,331842,5204523,86,7.7,283731,4066516
専門学校卒,40～44歳,240,12.7,366642,5530671,66,7.5,296727,3946081
専門学校卒,45～49歳,293,15.7,400676,6025804,108,12,324594,4543785
専門学校卒,50～54歳,288,20.7,407601,6312673,108,10.9,315810,4556490
専門学校卒,55～59歳,147,19.8,413997,6084615,52,13.8,332301,4652463
専門学校卒,60歳以上,63,15.6,339927,5079774,30,14.5,283031,4048047
大学卒,20～21歳,3,x,x,x,4,x,x,x
大学卒,22～24歳,241,1,250790,3149581,204,1,232422,2935498
大学卒,25～29歳,705,3.1,288717,4619376,528,3.1,267869,3789614
大学卒,30～34歳,678,5.5,349323,5328476,423,5.1,318241,4668991
大学卒,35～39歳,645,8.8,372864,6111919,296,7.8,340158,5057611
大学卒,40～44歳,718,11.1,437022,6715583,359,9.4,383903,5888669
大学卒,45～49歳,778,13.6,485786,7215799,320,11.1,428250,6344433
大学卒,50～54歳,705,16.8,539353,8296696,246,12.6,441067,6753055
大学卒,55～59歳,667,17,576912,8834176,157,13.4,508043,7576358
大学卒,60歳以上,373,17.1,450911,6621432,55,16,383024,5716632
