表側１,表側２,表側３,回答企業数(件),適切な候補者の不在(％),後継者の教育・成長(％),業績不振(％),株式の分散問題(％),後継者の株式の取得資金(％),相続税・贈与税の問題(％),借入金の返済(％),個人保証の問題(％),事業承継の企業内体制が未整備(％),相談相手の不在(％),業界の将来性への不安(％),事業の引継先（Ｍ＆Ａ）が見つからない(％),その他(％),特になし(％),無回答(％)
,,"今回調査
（全体）",677,24.8,22.5,20.2,4.1,7.7,6.9,18.5,8.1,10.3,4,23.6,1.8,0.7,23.2,4.7
,,前回調査,671,22.8,28.8,30.8,3.9,6.4,9.4,21.9,11,7.7,3.1,22.4,2.2,0.6,17.3,3.4
業種別,,食料品卸売業,189,25.4,22.8,19.6,4.2,4.2,6.9,20.6,7.9,10.6,4.8,24.3,3.2,1.1,20.1,3.2
業種別,,生鮮食品卸売業,81,27.2,27.2,24.7,3.7,2.5,4.9,25.9,4.9,9.9,2.5,25.9,1.2,0,16,2.5
業種別,,加工食品等卸売業,108,24.1,19.4,15.7,4.6,5.6,8.3,16.7,10.2,11.1,6.5,23.1,4.6,1.9,23.1,3.7
業種別,,衣料品関連卸売業,97,23.7,21.6,23.7,3.1,8.2,3.1,20.6,12.4,9.3,3.1,23.7,2.1,0,22.7,10.3
業種別,,住関連卸売業,133,29.3,23.3,15.8,3,13.5,9,19.5,9,10.5,1.5,20.3,0.8,0.8,25.6,4.5
業種別,,その他卸売業,241,22.8,22.4,21.2,5.4,7.5,7.5,15.4,6.2,10.4,4.1,24.9,1.2,0.8,24.1,4.1
従業者規模別,,１～５人,332,25.6,11.7,25.6,2.1,3.6,3,15.7,5.1,5.7,4.2,25.3,2.7,1.2,25.9,5.4
従業者規模別,,６～９人,111,27.9,32.4,17.1,5.4,13.5,11.7,28.8,13.5,9.9,4.5,28.8,0,0.9,13.5,3.6
従業者規模別,,10～49人,187,21.4,35.8,13.9,6.4,11.2,10.7,19.3,10.7,19.3,4.3,17.6,1.6,0,23,3.7
従業者規模別,,50人以上,28,25,35.7,14.3,7.1,10.7,7.1,7.1,7.1,10.7,0,17.9,0,0,25,3.6
取引形態別,一次卸,小売直取引卸,203,24.1,23.6,18.2,4.9,8.4,6.9,19.7,7.4,9.4,3.9,24.1,2,0.5,22.7,6.4
取引形態別,一次卸,他部門直取引卸,63,31.7,27,12.7,6.3,7.9,9.5,17.5,12.7,11.1,1.6,17.5,1.6,3.2,25.4,1.6
取引形態別,一次卸,元卸,118,22,18.6,15.3,3.4,7.6,5.9,16.1,9.3,15.3,4.2,16.9,1.7,1.7,29.7,4.2
取引形態別,二次卸,中間卸,78,19.2,19.2,32.1,2.6,6.4,9,21.8,6.4,11.5,1.3,33.3,1.3,0,12.8,1.3
取引形態別,二次卸,最終卸,114,28.9,23.7,21.1,1.8,6.1,5.3,22.8,8.8,7.9,6.1,31.6,1.8,0,21.9,1.8
取引形態別,その他,製造問屋,20,35,30,35,5,15,10,10,5,0,0,15,5,0,5,20
取引形態別,その他,その他卸,51,19.6,21.6,19.6,9.8,9.8,5.9,13.7,5.9,11.8,2,15.7,0,0,33.3,7.8
年間売上高増減別（3年前）,,大幅増加（10％以上）,112,22.3,24.1,7.1,3.6,7.1,12.5,16.1,10.7,16.1,6.3,17.9,1.8,1.8,24.1,6.3
年間売上高増減別（3年前）,,やや増加（10％未満）,102,26.5,32.4,10.8,4.9,11.8,8.8,19.6,13.7,6.9,5.9,24.5,1,0,17.6,5.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,144,23.6,16.7,13.9,7.6,9.7,9,13.2,9,9,0.7,20.1,2.8,0,30.6,2.8
年間売上高増減別（3年前）,,やや減少（10％未満）,104,29.8,23.1,22.1,1.9,4.8,1,20.2,3.8,7.7,1.9,25,3.8,0,23.1,3.8
年間売上高増減別（3年前）,,大幅減少（10％以上）,189,24.9,20.6,36,3.2,6.9,4.8,23.3,5.8,11.6,3.7,28.6,0.5,1.6,18.5,5.3
売上高経常利益率別,,黒字（プラス）,422,27.7,26.3,10.9,5.5,10.9,9.5,16.6,9.2,10.9,4,19.9,2.4,0.9,23.2,4.3
売上高経常利益率別,,赤字（マイナス）,225,20.4,14.7,37.3,2.2,2.7,2.7,22.2,6.7,9.3,2.7,30.2,0.9,0.4,22.7,6.2
経常損益の変化別（3年前）,,増益,181,21,26.5,12.2,7.2,9.9,8.8,18.2,8.8,8.8,3.9,19.3,2.2,1.1,28.7,4.4
経常損益の変化別（3年前）,,横ばい,205,24.4,22,16.1,3.4,8.3,9.8,15.6,7.8,8.3,2.4,21.5,1,1,22.4,7.3
経常損益の変化別（3年前）,,減益,267,28.8,21,28.5,3,6.4,3.7,21.3,8.2,12.7,4.5,28.1,2.2,0.4,19.5,3
