区分,集計企業数（社）,支給した（社）,支給した／支給額／支給額合計（円）,支給した／支給額／令和３年年末一時金（円）,支給した／支給額／令和４年夏季一時金（円）,支給した／支給額／左記以外（円）,支給月数／支給月数合計（月）,支給月数／令和３年年末一時金（月）,支給月数／令和４年夏季一時金（月）,支給月数／左記以外（月）,支給していない（社）,無回答（社）
調査産業計,1012,823,937327,408271,421102,107954,3.04,1.34,1.39,0.31,182,7
労組有,75,66,1166247,529089,539999,97159,3.43,1.55,1.6,0.28,8,1
労組無,937,757,916112,397074,410084,108954,3,1.32,1.37,0.31,174,6
建設業,85,79,1254105,535642,568692,149771,3.92,1.68,1.75,0.49,6,-
製造業,274,244,890660,393678,428951,68030,2.89,1.29,1.41,0.18,28,2
情報通信業,50,43,931393,406156,449187,76050,3.02,1.31,1.49,0.22,7,-
運輸業，郵便業,55,40,694616,341123,324812,28681,2.88,1.43,1.39,0.07,12,3
卸売業，小売業,195,148,917683,394388,398128,125167,3.02,1.32,1.36,0.34,47,-
金融業，保険業,43,42,1493170,642011,625667,225492,3.72,1.59,1.58,0.55,1,-
不動産業，物品賃貸業,30,25,938602,467976,457468,13158,3.26,1.57,1.52,0.18,5,-
学術研究，専門・技術サービス業,58,48,1111768,434726,384812,292230,2.96,1.22,1.14,0.6,9,1
宿泊業，飲食サービス業,49,26,267289,112275,139381,15633,1.36,0.63,0.65,0.08,22,1
生活関連サービス業，娯楽業,33,19,581556,262059,268572,50925,2.38,1.09,1.12,0.17,14,-
教育，学習支援業(学校教育を除く）,32,24,954595,447508,402431,104657,2.91,1.33,1.18,0.4,8,-
医療，福祉,43,29,590269,218621,201768,169879,2.34,0.84,0.8,0.71,14,-
サービス業(他に分類されないもの),65,56,874385,393146,408604,72635,3.38,1.52,1.59,0.26,9,-
10～49人,642,484,800264,344424,362844,92996,2.69,1.16,1.24,0.29,153,5
50～99人,225,204,1079699,471551,482800,125348,3.33,1.52,1.53,0.28,20,1
100～299人,145,135,1217234,543127,538339,135768,3.86,1.7,1.72,0.43,9,1
