表側１,表側２,表側３,回答企業数(件),経営の先行き不安、経営悪化の回避(％),主要顧客との契約終了(％),経営者の高年齢化(％),経営者の健康面(気力、体力)の不安(％),借入金・個人保証の問題(％),その他(％),創業時より自分の代でやめる予定(％),無回答(％)
,,今回調査（全体）,202,8.4,1,55,6.4,0,2,7.9,19.3
業種別,,総合商品小売業,10,10,20,10,10,0,10,0,40
業種別,,生鮮食品小売業,9,11.1,0,77.8,0,0,0,11.1,0
業種別,,食料品関連小売業,58,10.3,0,55.2,10.3,0,0,10.3,13.8
業種別,,衣料品関連小売業,37,10.8,0,37.8,8.1,0,0,16.2,27
業種別,,住関連小売業,19,10.5,0,63.2,5.3,0,0,0,21.1
業種別,,その他小売業,69,4.3,0,65.2,2.9,0,4.3,4.3,18.8
経常損益の変化別(前年同期比),,増益,10,0,0,60,10,0,0,20,10
経常損益の変化別(前年同期比),,横ばい,24,0,0,62.5,20.8,0,4.2,8.3,4.2
経常損益の変化別(前年同期比),,減益,146,11,1.4,53.4,4.1,0,2.1,5.5,22.6
経常損益の変化別(3年前),,増益,10,0,0,30,10,0,0,20,40
経常損益の変化別(3年前),,横ばい,61,6.6,1.6,55.7,9.8,0,3.3,9.8,13.1
経常損益の変化別(3年前),,減益,100,9,1,63,4,0,2,2,19
経常利益率別,,黒字,104,2.9,1,54.8,6.7,0,1.9,10.6,22.1
経常利益率別,,赤字,80,17.5,1.3,55,6.3,0,2.5,2.5,15
