,,設備投資(ICT化投資を除く),人材の多能工化・兼任化,業務プロセスの見直し・自動化,業務の平準化,情報化(ICT化投資・利活用等),業務における作業時間管理の徹底,仕入費・物流費・人件費の抑制,業務の標準化・マニュアル化,アウトソーシングの活用(クラウドソーシングを含む),労働環境整備・改善,その他,無回答,n
, 今回調査（全体）,20.4 ,22.7 ,43.4 ,24.3 ,33.6 ,24.0 ,12.2 ,38.5 ,22.4 ,29.9 ,1.0 ,0.7 ,304
業種別,情報・コンテンツ業,15.3 ,27.1 ,54.1 ,23.5 ,38.8 ,21.2 ,11.8 ,40.0 ,31.8 ,35.3 ,2.4 ,0.0 ,85
業種別,専門サービス業,18.7 ,18.7 ,39.3 ,25.2 ,43.0 ,22.4 ,7.5 ,39.3 ,22.4 ,20.6 ,0.9 ,0.9 ,107
業種別,技術サービス業,25.6 ,18.6 ,39.5 ,27.9 ,20.9 ,27.9 ,9.3 ,25.6 ,14.0 ,27.9 ,0.0 ,2.3 ,43
業種別,事業サービス業,25.4 ,28.6 ,39.7 ,22.2 ,17.5 ,27.0 ,22.2 ,46.0 ,14.3 ,41.3 ,0.0 ,0.0 ,63
特定10業種,ソフトウェア業,19.4 ,19.4 ,51.6 ,29.0 ,41.9 ,22.6 ,6.5 ,38.7 ,19.4 ,41.9 ,3.2 ,0.0 ,31
特定10業種,インターネット附随サービス業,13.3 ,26.7 ,80.0 ,13.3 ,46.7 ,26.7 ,13.3 ,66.7 ,60.0 ,26.7 ,0.0 ,0.0 ,15
特定10業種,映像情報制作・配給業,0.0 ,37.5 ,62.5 ,0.0 ,62.5 ,25.0 ,25.0 ,25.0 ,50.0 ,12.5 ,0.0 ,0.0 ,8
特定10業種,出版業,0.0 ,14.3 ,42.9 ,28.6 ,28.6 ,0.0 ,28.6 ,28.6 ,14.3 ,42.9 ,14.3 ,0.0 ,7
特定10業種,税理士事務所,23.5 ,14.7 ,32.4 ,23.5 ,29.4 ,29.4 ,0.0 ,47.1 ,17.6 ,11.8 ,0.0 ,0.0 ,34
特定10業種,デザイン業,18.2 ,36.4 ,18.2 ,9.1 ,18.2 ,27.3 ,18.2 ,18.2 ,9.1 ,27.3 ,0.0 ,0.0 ,11
特定10業種,経営コンサルタント業,11.1 ,27.8 ,38.9 ,27.8 ,55.6 ,27.8 ,5.6 ,33.3 ,33.3 ,38.9 ,5.6 ,0.0 ,18
特定10業種,建築設計業,21.7 ,21.7 ,43.5 ,30.4 ,21.7 ,26.1 ,8.7 ,26.1 ,13.0 ,17.4 ,0.0 ,4.3 ,23
特定10業種,自動車整備業,50.0 ,25.0 ,0.0 ,0.0 ,0.0 ,25.0 ,50.0 ,50.0 ,0.0 ,75.0 ,0.0 ,0.0 ,4
特定10業種,建物サービス業,26.7 ,33.3 ,20.0 ,20.0 ,6.7 ,26.7 ,33.3 ,53.3 ,0.0 ,46.7 ,0.0 ,0.0 ,15
従業者規模別,１～２人,12.6 ,12.6 ,39.1 ,13.8 ,31.0 ,14.9 ,16.1 ,26.4 ,23.0 ,17.2 ,2.3 ,1.1 ,87
従業者規模別,３～５人,24.2 ,21.0 ,38.7 ,30.6 ,35.5 ,21.0 ,8.1 ,38.7 ,14.5 ,27.4 ,1.6 ,0.0 ,62
従業者規模別,６～９人,22.7 ,20.5 ,47.7 ,20.5 ,31.8 ,18.2 ,4.5 ,40.9 ,11.4 ,31.8 ,0.0 ,2.3 ,44
