表側１,表側２,表側３,回答企業数(件),10％未満(%),10～15％未満(%),15～20％未満(%),20～25％未満(%),25～30％未満(%),30～35％未満(%),35～40％未満(%),40％以上(%),無回答(%)
,,今回調査（全体）,2141,21.6,13.2,11.5,7.1,8.5,9.4,6.3,11.1,11.4
,,前回調査,2003,18.0,13.7,13.3,10.1,9.0,9.4,6.3,8.5,11.6
業種別,,総合商品小売業,189,20.1,12.7,9.5,4.2,12.2,31.2,3.2,0.5,6.3
業種別,,生鮮食品小売業,134,17.9,13.4,14.9,8.2,11.2,11.2,5.2,6.0,11.9
業種別,,食料品関連小売業,535,21.5,17.2,13.5,9.0,6.2,5.8,4.3,11.0,11.6
業種別,,衣料品関連小売業,298,23.8,9.4,8.7,5.4,9.4,7.0,9.4,11.4,15.4
業種別,,住関連小売業,167,16.2,11.4,13.2,6.0,9.6,7.8,7.8,15.0,13.2
業種別,,その他小売業,773,22.4,12.2,10.9,7.2,8.4,7.4,7.4,13.7,10.5
従業者規模別,,１～２人,1066,23.6,15.0,13.0,7.9,8.2,7.2,5.6,7.5,11.9
従業者規模別,,３～５人,486,17.1,14.0,10.5,8.6,9.1,7.0,8.6,13.8,11.3
従業者規模別,,６～19人,336,23.2,8.6,10.1,4.5,8.6,13.4,6.0,14.9,10.7
従業者規模別,,20人以上,170,17.6,9.4,6.5,3.5,10.0,24.7,4.7,17.6,5.9
