表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(％),やや増加（10％未満）(％),ほぼ横ばい（±５％未満）(％),やや減少（10％未満）(％),大幅減少（10％以上）(％),３年前は実施していない(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",190,11.6,25.3,41.1,8.4,7.4,4.7,0.0,1.6
業種別,,食料品卸売業,46,10.9,26.1,41.3,4.3,8.7,6.5,0.0,2.2
業種別,,生鮮食品卸売業,11,0.0,9.1,45.5,9.1,9.1,27.3,0.0,0.0
業種別,,加工食品等卸売業,35,14.3,31.4,40.0,2.9,8.6,0.0,0.0,2.9
業種別,,衣料品関連卸売業,40,12.5,22.5,37.5,5.0,12.5,10.0,0.0,0.0
業種別,,住関連卸売業,29,10.3,27.6,41.4,13.8,6.9,0.0,0.0,0.0
業種別,,その他卸売業,67,13.4,25.4,40.3,10.4,4.5,3.0,0.0,3.0
従業者規模別,,１～５人,67,4.5,28.4,44.8,9.0,7.5,3.0,0.0,3.0
従業者規模別,,６～９人,37,10.8,27.0,43.2,13.5,2.7,2.7,0.0,0.0
従業者規模別,,10～49人,67,14.9,22.4,38.8,7.5,7.5,7.5,0.0,1.5
従業者規模別,,50人以上,17,29.4,23.5,23.5,0.0,17.6,5.9,0.0,0.0
取引形態別,一次卸,小売直取引卸,71,12.7,26.8,39.4,7.0,9.9,2.8,0.0,1.4
取引形態別,一次卸,他部門直取引卸,12,25.0,33.3,33.3,0.0,8.3,0.0,0.0,0.0
取引形態別,一次卸,元卸,47,12.8,21.3,40.4,10.6,6.4,6.4,0.0,2.1
取引形態別,二次卸,中間卸,14,7.1,28.6,35.7,14.3,7.1,7.1,0.0,0.0
取引形態別,二次卸,最終卸,24,12.5,20.8,45.8,8.3,4.2,4.2,0.0,4.2
取引形態別,その他,製造問屋,4,0.0,25.0,50.0,0.0,25.0,0.0,0.0,0.0
取引形態別,その他,その他卸,9,0.0,33.3,44.4,0.0,0.0,22.2,0.0,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,34,23.5,20.6,38.2,2.9,11.8,2.9,0.0,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,31,19.4,32.3,41.9,0.0,0.0,3.2,0.0,3.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,28,7.1,21.4,50.0,14.3,3.6,0.0,0.0,3.6
年間売上高増減別（3年前）,,やや減少（10％未満）,35,2.9,28.6,37.1,11.4,5.7,11.4,0.0,2.9
年間売上高増減別（3年前）,,大幅減少（10％以上）,53,7.5,24.5,39.6,9.4,13.2,5.7,0.0,0.0
売上高経常利益率別,,黒字（プラス）,118,13.6,26.3,39.0,7.6,7.6,5.1,0.0,0.8
売上高経常利益率別,,赤字（マイナス）,60,10.0,23.3,41.7,8.3,8.3,5.0,0.0,3.3
経常損益の変化別（3年前）,,増益,59,27.1,23.7,39.0,5.1,5.1,0.0,0.0,0.0
経常損益の変化別（3年前）,,横ばい,47,4.3,29.8,44.7,8.5,4.3,6.4,0.0,2.1
経常損益の変化別（3年前）,,減益,73,5.5,23.3,38.4,9.6,12.3,8.2,0.0,2.7
