区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,2794,45.6,12.6,310590,8893,38546,4732130,2363,45.9,12.9,318230,9170,41549,4847324,431,43.7,10.8,259755,7376,21967,3965017
建設業,355,46.3,10.8,338110,3031,51905,5393475,351,46.4,10.8,338387,2928,52075,5400389,4,x,x,x,x,x,x
製造業,1452,44.6,14.2,306427,11240,28448,4619762,1165,44.4,14.8,318758,11908,32460,4869594,287,45.2,11.8,248880,8529,12315,3445115
情報通信業,109,42.5,16.3,491920,4828,52491,11607420,74,44.7,17.7,516125,4534,37887,11880109,35,37.9,13.3,459172,5450,83369,11238488
運輸業，郵便業,554,49.2,10.2,284672,6984,50239,4149349,525,49.3,10.3,287612,7214,50235,4116867,29,47.4,8.1,221658,2815,50298,4828643
卸売業，小売業,194,43.7,11.2,300688,8235,34397,4042414,146,45.7,12,313470,9092,39250,4197907,48,36.8,8.8,251158,5627,18031,3293744
金融業，保険業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
不動産業，物品賃貸業,12,49.9,9.6,382484,2400,32680,5969980,10,49.9,11.1,348980,2880,39215,5760696,2,x,x,x,x,x,x
学術研究，専門・技術サービス業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宿泊業，飲食サービス業,13,41.8,4.6,363101,14493,4731,3926510,8,41.5,4,377584,18399,5500,4297825,5,42.4,5.6,247238,8243,3500,2441250
生活関連サービス業，娯楽業,29,45.5,11.9,353225,17163,25394,5107485,28,46,12.1,356795,17067,24558,5162127,1,x,x,x,x,x,x
教育，学習支援業（学校教育を除く）,6,52.5,7.5,202284,4403,0,2851725,-,-,-,-,-,-,-,6,52.5,7.5,202284,4403,0,2851725
医療，福祉,3,x,x,x,x,x,x,2,x,x,x,x,x,x,1,x,x,x,x,x,x
サービス業（他に分類されないもの）,67,43.4,9.2,346476,10308,95902,5797022,54,44,10.3,354281,11814,111451,6316788,13,40.7,4.9,246970,4052,33704,3140444
