表側(年),黒字企業割合-赤字企業割合／全体(％),黒字企業割合-赤字企業割合／卸売業(％),黒字企業割合-赤字企業割合／小売業(％)
2008Ⅰ,-8.5,-0.6,-39
2008Ⅱ,-15.3,-8.3,-44.7
2008Ⅲ,-23,-13.1,-51.8
2008Ⅳ,-33.7,-27.7,-52.1
2009Ⅰ,-40.3,-34.9,-50.7
2009Ⅱ,-41.4,-37.8,-48.6
2009Ⅲ,-41.9,-31.8,-51.4
2009Ⅳ,-37.9,-30.8,-54.8
2010Ⅰ,-28.6,-21.8,-42.8
2010Ⅱ,-29.4,-20.5,-50.6
2010Ⅲ,-24.7,-11.5,-49.2
2010Ⅳ,-20.6,-7.6,-51.7
2011Ⅰ,-26.3,-19.8,-51.9
2011Ⅱ,-25.6,-14.2,-46.5
2011Ⅲ,-25.7,-14.4,-51.1
2011Ⅳ,-20.9,-10.6,-46.3
2012Ⅰ,-15.6,-1.6,-36.9
2012Ⅱ,-14.5,-6,-35.7
2012Ⅲ,-21.6,-3.7,-54.8
2012Ⅳ,-14.7,-7.1,-36.4
2013Ⅰ,-13,-7.1,-30.5
2013Ⅱ,-14,-5.2,-31.6
2013Ⅲ,-15,-3.2,-42.9
2013Ⅳ,-9,9.2,-38.7
2014Ⅰ,-3.4,8.3,-31.6
2014Ⅱ,-10.9,-1.4,-42.7
2014Ⅲ,-11.2,-3.7,-34.2
2014Ⅳ,-11.1,-3.7,-38.7
2015Ⅰ,-4.9,0.6,-27.3
2015Ⅱ,-6.1,0.8,-31.5
2015Ⅲ,-7.1,0.9,-32.5
2015Ⅳ,-3.9,6.4,-24.4
2016Ⅰ,-7.3,-0.3,-29.7
2016Ⅱ,-10.1,-5.5,-31.2
2016Ⅲ,-6.9,-0.6,-28.6
2016Ⅳ,1.2,11.9,-23.8
2017Ⅰ,-1.8,9,-25.8
2017Ⅱ,0.2,7.6,-23.5
2017Ⅲ,-0.9,13.5,-29.7
2017Ⅳ,4.2,19.6,-24.3
2018Ⅰ,1.2,17,-28.8
2018Ⅱ,1.5,13,-27.3
2018Ⅲ,-0.2,13.5,-30.9
2018Ⅳ,3.5,18.3,-27.3
2019Ⅰ,-2.5,12,-31.4
2019Ⅱ,-4.5,4.6,-26.1
2019Ⅲ,-4.1,11.2,-35
2019Ⅳ,-3.5,7.3,-29.8
2020Ⅰ,-22.5,-12.4,-48.8
2020Ⅱ,-43.3,-38,-59
2020Ⅲ,-37.6,-29.4,-47.9
2020Ⅳ,-25.1,-16.6,-45.1
