表側１,表側２,表側３,回答企業数(件),仕入時の目利き(％),販売時の顧客に応じた商品の提案(％),商品の発掘(％),商品のオリジナル性(％),商品の企画開発(％),自社(自店)の製造加工力向上(％),保管段階での価値保全･向上(％),販売時の附随サービスの充実(％),販売後のアフターサービスの充実(％),その他(％),無回答(％)
,,今回調査（全体）,2003,42.4,45.1,19.2,32.2,7.7,11.9,6.7,20.2,20.2,7.2,5.7
業種別,,総合商品小売業,164,28,41.5,11,29.9,7.9,1.8,4.9,13.4,0,12.8,12.8
業種別,,生鮮食品小売業,113,69,44.2,13.3,25.7,8,12.4,7.1,16.8,2.7,1.8,4.4
業種別,,食料品関連小売業,511,33.9,32.9,21.3,42.1,11.4,24.1,9.6,15.9,5.9,6.5,4.7
業種別,,衣料品関連小売業,314,60.8,58,29.6,44.9,9.6,11.5,3.5,21.7,29.6,3.5,2.5
業種別,,住関連小売業,162,35.8,66.7,15.4,15.4,3.7,8,4.3,29,48.1,3.7,4.9
業種別,,その他小売業,737,40.8,44.5,16.7,25,5.2,6.8,7.1,22.7,27.1,9.8,6.5
従業者規模別,,1～2人,1059,44.3,45.3,17.6,29.5,5.8,12.7,6.7,20.1,21.2,6.5,5.2
従業者規模別,,3～5人,488,46.7,48.4,23.8,36.3,8.6,12.7,5.7,21.7,24,6.1,4.5
従業者規模別,,6～19人,272,34.2,43,20.2,36.4,13.6,9.9,10.3,18.4,16.5,11,9.6
従業者規模別,,20人以上,134,27.6,41,14.9,32.8,10.4,6.7,4.5,20.9,9.7,9,6
売上高増減別(前年同期比),,増加,138,47.8,44.9,26.1,51.4,16.7,13.8,2.2,19.6,10.9,8.7,1.4
売上高増減別(前年同期比),,横ばい,251,40.6,43,13.9,34.7,7.2,15.5,6.4,17.9,17.5,5.2,5.2
売上高増減別(前年同期比),,減少,1536,42.2,45.7,19.8,30.4,7.2,11.1,7.1,20.9,21.5,7.4,5.5
売上高増減別(3年前),,増加,130,44.6,43.8,28.5,46.9,17.7,12.3,6.2,19.2,20.8,10,5.4
売上高増減別(3年前),,横ばい,338,40.8,47.3,20.4,37.9,9.2,13.9,8.9,18.3,16.3,6.8,3.6
売上高増減別(3年前),,減少,1346,43.8,44.6,19,29.9,6.7,11.2,6.1,21.3,21.6,6.8,5.5
経常損益の変化別(前年同期比),,増益,109,43.1,50.5,24.8,50.5,13.8,14.7,3.7,21.1,12.8,10.1,0.9
経常損益の変化別(前年同期比),,横ばい,337,43.6,43,14.5,34.4,7.1,13.4,6.8,19.3,18.4,5.6,4.5
経常損益の変化別(前年同期比),,減益,1406,42.3,45.7,20.7,30.9,7.9,11.4,6.9,21.5,21.8,7.1,5.5
経常損益の変化別(3年前),,増益,208,42.3,42.8,22.1,38.9,12,12.5,6.3,24,26,9.6,4.3
経常損益の変化別(3年前),,横ばい,615,44.7,44.2,21,34,8.3,11.9,6.8,20.5,19.7,4.9,4.1
経常損益の変化別(3年前),,減益,937,42.6,46.6,18.7,29.9,6.7,11.5,6.7,20.7,20.4,7.9,5.5
