学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,30,0.6,192827,-,-,-,-,-
学歴計,20～21歳,59,1.5,201374,3475435,7,0.9,192646,2799533
学歴計,22～24歳,201,2.4,220274,3750701,58,0.9,231041,3729883
学歴計,25～29歳,323,4.9,249424,4877829,132,3.4,249562,4277875
学歴計,30～34歳,316,7.5,294512,5561459,93,5.4,250774,4470411
学歴計,35～39歳,274,11,363617,6408926,59,8.1,290720,4744698
学歴計,40～44歳,359,13.3,389948,6848808,95,11.3,329880,5733489
学歴計,45～49歳,488,16.5,427886,7318546,85,12.8,318066,5181932
学歴計,50～54歳,407,16.5,437814,7165064,83,14.9,315506,4966447
学歴計,55～59歳,345,18.6,457586,7491449,55,16.4,323994,5561316
学歴計,60歳以上,232,15.9,398841,6242722,15,12.5,288910,4108733
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,2,x,x,x,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,16,8.1,374216,5567925,-,-,-,-
中学卒,35～39歳,13,12.2,423323,6052862,-,-,-,-
中学卒,40～44歳,6,9.7,346263,6608917,-,-,-,-
中学卒,45～49歳,13,17.8,427938,7784338,-,-,-,-
中学卒,50～54歳,8,23.9,454238,7075838,-,-,-,-
中学卒,55～59歳,13,17.6,397338,7068854,-,-,-,-
中学卒,60歳以上,12,12.7,342333,6185418,-,-,-,-
高校卒,18～19歳,30,0.6,192827,-,-,-,-,-
高校卒,20～21歳,43,2,203493,3455163,3,x,x,x
高校卒,22～24歳,81,4.3,212924,4216177,2,x,x,x
高校卒,25～29歳,98,7.3,251775,4848482,12,4.1,259756,3969778
高校卒,30～34歳,111,10.3,299589,5540379,10,7,251976,4414300
高校卒,35～39歳,100,12.4,350520,6386959,11,8.6,254936,3950630
高校卒,40～44歳,117,13.6,389408,6395536,18,11,270627,4450111
高校卒,45～49歳,191,16.1,414253,6929117,24,11.7,274754,4837678
高校卒,50～54歳,169,14.7,377283,6191408,34,17,299727,4956982
高校卒,55～59歳,139,18.6,436271,7150444,21,20,321365,5202581
高校卒,60歳以上,83,17.5,373178,5867095,10,13.6,267255,3660440
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,7,0.3,205214,3830200,2,x,x,x
高専・短大卒,22～24歳,5,1.6,210300,3843060,4,x,x,x
高専・短大卒,25～29歳,17,3.9,224842,3993941,-,-,-,-
高専・短大卒,30～34歳,2,x,x,x,2,x,x,x
高専・短大卒,35～39歳,9,11.8,371989,5785600,12,5.1,227827,4616300
高専・短大卒,40～44歳,24,17.2,398833,7940583,12,15.7,280083,4912225
高専・短大卒,45～49歳,13,20.8,525115,8314854,22,13,287035,4360615
高専・短大卒,50～54歳,15,13.1,433603,8066393,24,12.5,275985,3955221
高専・短大卒,55～59歳,6,19.8,534750,9580100,5,20.2,277600,4343980
高専・短大卒,60歳以上,6,23,290333,4645667,1,x,x,x
専門学校卒,20～21歳,9,0.2,188262,-,2,x,x,x
専門学校卒,22～24歳,22,2,219920,3247391,5,1,252570,-
専門学校卒,25～29歳,40,6,255544,4992218,7,4.4,229143,3739500
専門学校卒,30～34歳,38,6.4,269160,4990403,2,x,x,x
専門学校卒,35～39歳,31,8.9,337449,5907761,4,x,x,x
専門学校卒,40～44歳,55,14.5,379815,6828314,13,11.5,360014,6830845
専門学校卒,45～49歳,99,16,442609,7501782,5,22.2,314580,4777700
専門学校卒,50～54歳,66,19.2,464711,7497336,8,8.3,324575,4674563
専門学校卒,55～59歳,58,20.2,459899,7303668,7,6.7,269083,3715667
専門学校卒,60歳以上,34,9.1,357795,5688133,2,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,91,0.8,226247,3085956,47,0.8,230128,3848136
大学卒,25～29歳,168,3.3,249083,4974031,113,3.2,249744,4344624
大学卒,30～34歳,149,5.7,288926,5707548,79,5.2,248916,4488428
大学卒,35～39歳,119,10.1,374161,6661959,32,9.7,333967,5048838
大学卒,40～44歳,157,12.3,394211,7028505,50,10.7,359403,6274490
大学卒,45～49歳,170,17,426696,7546374,34,12.1,369230,5957382
大学卒,50～54歳,145,17.6,494858,8142846,17,17.3,398588,6550347
大学卒,55～59歳,126,17.6,483858,7911053,22,15.2,354518,6519170
大学卒,60歳以上,97,17,448889,6789085,2,x,x,x
