,,外国語に対応できない,国際業務に関する知見がない              ,国際業務に対応できる人材が確保できない  ,海外関連取引に向けた業務･サービスの開発ができない,海外関連取引のニーズの把握ができない    ,現地パートナーが確保できない            ,国家間の法律や規制の違い                ,商習慣の違い        ,現地の政情に不安がある                  ,費用の負担が重い    ,代金回収のリスク    ,為替のリスク        ,投資効果がわからない,業務・サービスが真似される              ,知的財産流出のリスク,その他              ,特になし            ,無回答            ,n
, 今回調査（全体）,29.9,24.3,21.1,11.4,11.5,11.8,18.1,13.5,6.1,9.2,13,10.3,5.8,1.9,3.7,3.4,25.5,14.8,2348
業種別,情報・コンテンツ業,29.8,27.2,23.8,13,12,13.1,17,15,5.8,9.5,15.2,12.8,6.9,1.7,4.5,3,26.3,9.4,640
業種別,専門サービス業,31.8,24.6,19.5,10.6,10.4,9.5,21.7,13.3,5.5,8.5,11.6,10.4,5.4,1.6,3.3,3.4,25,13.3,820
業種別,技術サービス業,35.9,26.2,24.1,9.4,15.3,15.3,19.1,14.1,9.7,10,15.9,7.9,6.2,2.6,6.5,2.6,20.9,19.7,340
業種別,事業サービス業,23.9,19.3,18.9,12.4,10.3,11.4,13.2,11.4,5.7,9.5,10.1,8.1,4.9,2,1.6,4.5,29,19.7,507
特定10業種,ソフトウェア業,29.7,26.6,23.4,12.9,11.5,15,19.2,17.8,7,11.9,16.1,13.6,8.7,1.4,4.5,2.4,26.6,8,286
特定10業種,インターネット附随サービス業,40.3,27.4,27.4,12.9,12.9,12.9,16.1,11.3,1.6,6.5,11.3,17.7,6.5,3.2,4.8,1.6,25.8,8.1,62
特定10業種,映像情報制作・配給業,29.4,27.9,26.5,10.3,17.6,19.1,16.2,19.1,7.4,7.4,10.3,14.7,7.4,1.5,7.4,2.9,26.5,8.8,68
特定10業種,出版業,21.8,25.5,16.4,12.7,7.3,7.3,16.4,12.7,10.9,7.3,21.8,9.1,1.8,0,7.3,5.5,25.5,9.1,55
特定10業種,税理士事務所,34.4,31.2,20.6,10.6,7.3,8.7,24.8,10.6,3.7,6,6.9,6,5,0.5,0.9,4.1,23.9,17,218
特定10業種,デザイン業,43.3,31.7,26.9,13.5,17.3,14.4,23.1,20.2,9.6,12.5,21.2,22.1,9.6,3.8,11.5,1.9,11.5,18.3,104
特定10業種,経営コンサルタント業,25.1,18.4,18.4,12.3,12.3,10.1,21.8,14.5,7.3,10.1,16.2,11.2,6.7,2.8,3.4,3.4,33,7.3,179
特定10業種,建築設計業,37.8,27.2,21.7,7.8,14.4,13.9,22.2,15,10,7.8,15.6,4.4,6.1,1.7,6.1,2.2,20,20,180
特定10業種,自動車整備業,13,7.4,11.1,7.4,7.4,7.4,7.4,7.4,5.6,3.7,9.3,7.4,9.3,3.7,3.7,1.9,37,38.9,54
特定10業種,建物サービス業,23.4,22.5,16.2,13.5,9.9,14.4,11.7,12.6,8.1,14.4,9.9,7.2,3.6,2.7,0.9,4.5,27,24.3,111
従業者規模別,1～2人,30.1,20.9,14.6,8.5,10,8.3,17,12,4.7,7.7,11.8,8.4,3.7,0.9,2.8,3,28.8,14.3,971
従業者規模別,3～5人,28.1,25.7,20.9,11.2,9.2,11.3,16.6,13.3,6.1,9.8,11.2,8.7,6.1,2.6,4.4,4,23.2,17.1,573
従業者規模別,6～9人,33.6,30.4,29.6,17.2,15.6,16,20.4,13.2,6.4,9.2,14.4,14.8,9.2,2,3.2,4.8,26,12,250
従業者規模別,10～29人,34.8,29.1,32.9,15.5,17.1,17.7,21.5,15.5,10.1,12.7,18,13.3,8.2,4.1,6.3,2.5,21.2,15.2,316
従業者規模別,30人以上,24.8,22.9,24.8,12.9,12.4,15.7,20.5,19.5,6.7,10.5,15.7,14.8,7.6,1,3.3,4.3,22.4,10.5,210
年間売上高増減別（３年前）,大幅(10％以上)増加,31.6,27.8,24.4,11.1,11.5,14.1,22.2,17.1,5.1,9,16.2,12.4,4.3,1.3,3,4.3,23.9,11.5,234
年間売上高増減別（３年前）,やや(10％未満)増加,32.8,26.1,28.6,12.6,16.4,13.9,23.5,13,5.5,8.8,13.4,13.9,7.6,1.7,3.4,3.4,23.5,9.2,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,27.3,23,18.4,11.3,8.9,9.7,16.3,12.5,6.5,8.6,10.6,8.3,5.4,1.5,3.5,2.9,30.4,15.4,662
年間売上高増減別（３年前）,やや(10％未満)減少,32.8,26,24.4,8.8,9.1,12,16.6,11,5.8,8.4,14,9.1,5.8,1.3,2.9,4.2,21.4,18.2,308
年間売上高増減別（３年前）,大幅(10％以上)減少,28.6,23,18.9,11.7,12.6,11.7,16.4,14,6.4,10.4,14.1,10.8,5.5,2.6,4.4,3.8,24.3,15.2,795
売上高経常利益率別,黒字,31.2,26.5,24.7,12.6,12.6,12.7,19.9,13.6,6.2,9.7,12.7,10.2,6.2,1.8,3.7,3.3,25.7,13.3,1409
売上高経常利益率別,赤字,29.7,21.6,16.2,10.7,10.1,10.8,15.2,14.1,6.6,9.8,14.4,12,5.3,2.5,4.5,3.3,24.4,14.9,693
経常損益の変化別（３年前）,増益,32.2,26.2,25.4,13.2,14.3,13.9,22.4,14.7,6,8.7,13.4,10.7,6.2,1.7,3.4,2.3,24.1,12.4,469
経常損益の変化別（３年前）,横ばい,28.4,23.4,20.3,10.8,10.2,10.1,15.7,12.7,5.4,8.8,11.6,8.5,4.8,1.2,3.5,3.7,27.3,15.3,765
経常損益の変化別（３年前）,減益,29.4,23.9,19.5,10.7,10.9,11.9,17.3,13.6,6.9,10.2,14.5,11.6,6.3,2.6,3.9,3.9,25.3,14.7,973
代表者の年齢別,40歳未満,38.6,37.1,25.7,14.3,12.9,17.1,30,18.6,10,10,11.4,20,8.6,1.4,5.7,1.4,20,7.1,70
代表者の年齢別,40歳代,40.7,29.2,27.8,12.4,14.9,16.6,22.8,18,5.3,11.8,14,16.9,7.3,2.2,4.8,1.7,23.9,8.4,356
代表者の年齢別,50歳代,32.7,25.4,23.3,13.3,13.6,14,20.9,16.3,7.2,11.5,18.4,11.2,7.5,2.7,4.8,4.3,25.5,9.9,670
代表者の年齢別,60歳代,27,23.4,19.5,10.5,10.9,9.9,15.4,12.2,6.3,7.6,11.9,8,4.3,1.4,3.7,4,24.3,13.2,696
代表者の年齢別,70歳以上,22.3,19.7,15.2,9.2,7.3,7.3,13.1,8.1,4.3,6.6,7.1,6.6,4.3,1.3,1.3,3.2,29,27.5,534
