学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,3,x,x,x
学歴計,20～21歳,7,0.7,203719,2845400,18,1.3,182521,2586718
学歴計,22～24歳,85,1.1,215518,2928397,60,1.2,212507,2954918
学歴計,25～29歳,123,3.4,255545,4022645,167,3.2,221433,3156730
学歴計,30～34歳,197,5.1,284398,4741188,175,5.7,252775,3865381
学歴計,35～39歳,191,8.4,332305,5448926,137,10,271853,4259218
学歴計,40～44歳,240,11.4,370161,5740277,173,11.4,282474,4218597
学歴計,45～49歳,275,14,396604,6170506,180,14.3,306726,4790322
学歴計,50～54歳,248,18.1,434616,6568356,143,14.4,303153,4732164
学歴計,55～59歳,213,20,447835,6731748,115,15.1,308282,4696272
学歴計,60歳以上,113,17.3,378139,5328304,75,13.8,278129,3659225
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,1,x,x,x
中学卒,30～34歳,2,x,x,x,1,x,x,x
中学卒,35～39歳,1,x,x,x,-,-,-,-
中学卒,40～44歳,4,x,x,x,1,x,x,x
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,6,25.3,477312,6931000,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,2,x,x,x,-,-,-,-
高校卒,18～19歳,-,-,-,-,3,x,x,x
高校卒,20～21歳,-,-,-,-,8,2,183822,2458914
高校卒,22～24歳,21,2.7,209410,2969708,6,2.7,188400,2720075
高校卒,25～29歳,15,4.9,292860,4333918,25,4.5,215542,3112500
高校卒,30～34歳,22,6.6,292941,4616306,25,5.9,251885,3593544
高校卒,35～39歳,36,9,334514,5960818,22,11.6,246182,3690406
高校卒,40～44歳,47,12.9,331596,4859487,31,11.7,265062,4069761
高校卒,45～49歳,72,14,392400,5758338,44,12.3,256187,3900005
高校卒,50～54歳,59,17.1,427462,6133483,43,14.5,268718,3968466
高校卒,55～59歳,66,19.3,405842,5885147,38,15.4,291786,4348797
高校卒,60歳以上,50,17,327977,4350489,26,13.4,245779,3038967
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,2,x,x,x
高専・短大卒,25～29歳,4,x,x,x,8,2,211453,2931217
高専・短大卒,30～34歳,7,5.4,260071,2770540,7,6.1,237280,3730060
高専・短大卒,35～39歳,7,6,295329,4655567,3,x,x,x
高専・短大卒,40～44歳,5,10.2,301640,4137450,27,10.3,250916,3946867
高専・短大卒,45～49歳,11,10.4,364644,5539156,26,14.8,284506,4216612
高専・短大卒,50～54歳,4,x,x,x,21,14.5,335455,5110510
高専・短大卒,55～59歳,8,18.3,549926,6215875,16,15,354064,4797327
高専・短大卒,60歳以上,2,x,x,x,7,12,323374,3960320
専門学校卒,20～21歳,7,0.7,203719,2845400,6,1,177467,2810375
専門学校卒,22～24歳,7,2.1,203655,2695725,7,2.3,194374,2690671
専門学校卒,25～29歳,15,4.1,230433,3643338,30,3.9,214136,3040200
専門学校卒,30～34歳,12,5.8,288303,4421783,24,6.8,244169,3597563
専門学校卒,35～39歳,32,8.1,322141,4828113,29,10.6,278883,3936224
専門学校卒,40～44歳,36,11.4,354282,5393306,22,9.8,266704,4040480
専門学校卒,45～49歳,47,15.8,362107,5608491,22,15.9,303527,4821462
専門学校卒,50～54歳,42,15.7,377878,5792185,27,13.9,289611,4528330
専門学校卒,55～59歳,24,25.2,398547,5970813,20,14.2,265157,3666584
専門学校卒,60歳以上,2,x,x,x,21,12.5,246468,3056550
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,47,0.3,220410,3290543,41,0.6,216818,3040500
大学卒,25～29歳,86,2.9,247272,4048273,95,2.8,227604,3280433
大学卒,30～34歳,135,4.6,282420,4885950,97,5,256166,3864751
大学卒,35～39歳,106,8.1,338487,5501849,69,8.8,276793,4507148
大学卒,40～44歳,130,10.9,370396,5797279,76,12.2,294898,4420538
大学卒,45～49歳,128,13.4,413472,6462755,69,13.9,346102,5494407
大学卒,50～54歳,119,18.5,465356,6945900,45,13.8,327045,5320777
大学卒,55～59歳,109,19.2,480347,7483725,30,17,351889,5883314
大学卒,60歳以上,57,17.2,410862,5982937,21,16,339070,5005272
