表側１,表側２,表側３,回答企業数(件),決まっている(%),候補がいるが決まっていない(%),候補がいない(%),まだ決める必要がない(%),その他(%),無回答(%)
,,"今回調査
（全体）",577,40.9,27.6,13.9,14.7,1.0,1.9
,,前回調査,565,44.1,25.5,11.3,14.5,0.4,4.2
業種別,,総合商品小売業,90,35.6,26.7,10.0,22.2,2.2,3.3
業種別,,生鮮食品小売業,26,34.6,34.6,11.5,15.4,0.0,3.8
業種別,,食料品関連小売業,129,49.6,26.4,11.6,10.1,0.8,1.6
業種別,,衣料品関連小売業,59,47.5,23.7,11.9,13.6,1.7,1.7
業種別,,住関連小売業,46,32.6,19.6,28.3,19.6,0.0,0.0
業種別,,その他小売業,216,38.4,30.1,14.8,14.4,0.9,1.4
従業者規模別,,１～２人,135,30.4,27.4,19.3,17.8,2.2,3.0
従業者規模別,,３～５人,179,48.6,27.4,11.2,10.6,0.6,1.7
従業者規模別,,６～19人,162,38.3,29.0,11.1,17.9,1.2,2.5
従業者規模別,,20人以上,88,43.2,26.1,15.9,14.8,0.0,0.0
年間売上高増減別（3年前）,,増加（５％以上）,86,43.0,19.8,14.0,18.6,2.3,2.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,177,38.4,26.6,18.1,15.3,0.6,1.1
年間売上高増減別（3年前）,,やや減少（10％未満）,110,38.2,30.9,14.5,11.8,0.9,3.6
年間売上高増減別（3年前）,,減少（20％未満）,98,41.8,33.7,7.1,16.3,1.0,0.0
年間売上高増減別（3年前）,,大幅減少（20％以上）,79,46.8,29.1,11.4,8.9,1.3,2.5
売上高経常利益率別,,黒字（プラス）,340,42.6,24.1,14.1,16.5,1.5,1.2
売上高経常利益率別,,赤字（マイナス）,196,36.7,37.2,13.8,9.7,0.5,2.0
経常損益の変化別（3年前）,,増益,112,40.2,28.6,17.0,13.4,0.9,0.0
経常損益の変化別（3年前）,,横ばい,182,46.7,23.6,12.1,14.3,1.1,2.2
経常損益の変化別（3年前）,,減益,251,37.8,31.5,13.9,13.1,1.2,2.4
代表者の年齢別,,40歳未満,13,7.7,7.7,38.5,46.2,0.0,0.0
代表者の年齢別,,40歳代,50,22.0,26.0,10.0,38.0,0.0,4.0
代表者の年齢別,,50歳代,114,18.4,28.1,22.8,28.1,0.9,1.8
代表者の年齢別,,60歳代,144,38.2,38.2,14.6,7.6,0.7,0.7
代表者の年齢別,,70歳以上,254,57.9,22.4,9.1,6.7,1.6,2.4
