表側１,表側２,表側３,回答企業数(件),従業員を雇用している(%),従業員は雇用していない(%),無回答(%)
,,"今回調査
（全体）",767,70.8,27.2,2.0
業種別,,食料品卸売業,213,72.3,26.3,1.4
業種別,,生鮮食品卸売業,91,73.6,23.1,3.3
業種別,,加工食品等卸売業,122,71.3,28.7,0.0
業種別,,衣料品関連卸売業,111,74.8,20.7,4.5
業種別,,住関連卸売業,155,67.7,29.0,3.2
業種別,,その他卸売業,270,69.3,30.0,0.7
取引形態別,一次卸,小売直取引卸,229,70.3,27.9,1.7
取引形態別,一次卸,他部門直取引卸,67,70.1,29.9,0.0
取引形態別,一次卸,元卸,127,81.9,18.1,0.0
取引形態別,二次卸,中間卸,93,63.4,32.3,4.3
取引形態別,二次卸,最終卸,131,74.0,23.7,2.3
取引形態別,その他,製造問屋,20,70.0,30.0,0.0
取引形態別,その他,その他卸,65,60.0,38.5,1.5
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,84.2,14.2,1.7
年間売上高増減別（3年前）,,やや増加（10％未満）,108,81.5,17.6,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,70.1,28.6,1.3
年間売上高増減別（3年前）,,やや減少（10％未満）,124,65.3,32.3,2.4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,61.8,35.2,3.0
売上高経常利益率別,,黒字（プラス）,462,77.5,21.4,1.1
売上高経常利益率別,,赤字（マイナス）,271,59.4,37.6,3.0
経常損益の変化別（3年前）,,増益,197,80.7,16.8,2.5
経常損益の変化別（3年前）,,横ばい,240,67.1,30.8,2.1
経常損益の変化別（3年前）,,減益,305,66.9,31.5,1.6
