学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,7,0.6,187826,-,3,x,x,x
学歴計,20～21歳,28,1.6,193029,2664975,12,2.2,187867,2347660
学歴計,22～24歳,86,1.8,224902,3145324,68,1.9,221427,2924563
学歴計,25～29歳,216,3.9,238880,3711161,118,3.3,229591,3356884
学歴計,30～34歳,245,7,267200,4224400,107,6.7,248146,3646089
学歴計,35～39歳,300,9.9,299653,4785598,96,8,270130,3790259
学歴計,40～44歳,328,12.5,341026,5358076,158,10.7,280997,4140851
学歴計,45～49歳,441,16.3,379964,5817965,184,14.5,310646,4572138
学歴計,50～54歳,509,20.2,414564,6250357,190,15.1,306655,4572064
学歴計,55～59歳,354,21.8,404636,6370261,133,17.1,321462,4728934
学歴計,60歳以上,198,21,344882,5278810,60,19,261992,3973480
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,1,x,x,x,-,-,-,-
中学卒,25～29歳,3,x,x,x,1,x,x,x
中学卒,30～34歳,5,12.5,259000,3543038,-,-,-,-
中学卒,35～39歳,1,x,x,x,-,-,-,-
中学卒,40～44歳,5,18.4,363747,5697180,1,x,x,x
中学卒,45～49歳,17,14.1,300843,5991840,2,x,x,x
中学卒,50～54歳,5,33.5,286034,3910680,3,x,x,x
中学卒,55～59歳,8,29.1,359950,5331388,8,36.5,247775,4325148
中学卒,60歳以上,13,37.8,266135,3996970,4,x,x,x
高校卒,18～19歳,7,0.6,187826,-,3,x,x,x
高校卒,20～21歳,28,1.6,193029,2664975,12,2.2,187867,2347660
高校卒,22～24歳,32,3.1,234100,3096273,24,4.1,219633,2841816
高校卒,25～29歳,75,5,240790,3680091,26,4.1,212222,3057247
高校卒,30～34歳,66,7.6,258764,4034024,17,7.7,231106,3676979
高校卒,35～39歳,100,11,303526,4888876,14,6.2,240644,3015429
高校卒,40～44歳,121,12,323139,5081861,52,11.9,249584,3720055
高校卒,45～49歳,133,17.3,353526,5558618,61,16.9,289964,4567872
高校卒,50～54歳,179,20.1,374371,5885214,80,15.8,292759,4363971
高校卒,55～59歳,165,21.3,353554,5755087,60,17.7,271985,3967672
高校卒,60歳以上,69,22.6,324564,5011441,33,19.4,236658,3384065
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,2,x,x,x,-,-,-,-
高専・短大卒,25～29歳,3,x,x,x,7,3.9,225170,3333717
高専・短大卒,30～34歳,9,8.4,267347,4501057,4,x,x,x
高専・短大卒,35～39歳,9,8.3,309408,5068144,16,7.6,258114,3297775
高専・短大卒,40～44歳,8,15.1,315351,4943588,24,12.9,263783,4062279
高専・短大卒,45～49歳,7,17.3,341158,5277231,50,13.7,298937,4645168
高専・短大卒,50～54歳,10,16.6,416691,5950578,34,13,280039,4122235
高専・短大卒,55～59歳,11,13.1,401785,6771319,18,16.3,296221,4298221
高専・短大卒,60歳以上,7,18.9,345831,4350307,8,14.5,286350,4468733
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,10,1.6,209000,3587441,6,0.7,218865,3472100
専門学校卒,25～29歳,24,3.9,237284,3648177,10,2.6,220145,3106433
専門学校卒,30～34歳,23,6.6,250048,3549859,4,x,x,x
専門学校卒,35～39歳,28,10.5,300972,4343527,11,6.6,246073,3805717
専門学校卒,40～44歳,30,11.1,312805,4656863,11,6.9,234551,2989943
専門学校卒,45～49歳,62,17.3,372224,5326281,24,13.5,288478,4060837
専門学校卒,50～54歳,104,24,394323,5751300,32,13,293250,4456328
専門学校卒,55～59歳,39,24.5,381878,5377650,14,15.9,286466,4406812
専門学校卒,60歳以上,14,18.1,308800,5195954,7,17.7,250461,3617457
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,40,0.9,224699,3065719,38,0.7,222398,3083675
大学卒,25～29歳,107,3.2,237168,3767109,74,3.1,235624,3484212
大学卒,30～34歳,134,6.5,272818,4412504,82,6.6,251638,3669773
大学卒,35～39歳,154,9.2,296457,4783631,55,8.8,285244,4126302
大学卒,40～44歳,151,13,364189,5765354,68,9.8,320141,4669973
大学卒,45～49歳,208,15.6,409988,6185395,45,13,377085,4994578
大学卒,50～54歳,203,18,464810,6910872,41,16.2,365181,5421084
大学卒,55～59歳,124,21.5,488884,7521526,31,11.8,460274,6684915
大学卒,60歳以上,89,17.2,382846,5769640,6,22.4,381743,6598633
