表側１,表側２,表側３,回答企業数(件),経営の先行き不安、経営悪化の回避(%),主要顧客との契約終了(%),経営者の高年齢化(%),経営者の健康面（気力、体力）の不安(%),借入金・個人保証の問題(%),創業時より自分の代でやめる予定(%),その他(%),無回答(%)
,,"今回調査
（全体）",235,11.5,0.0,54.5,7.7,0.0,9.8,4.3,12.3
,,前回調査,202,8.4,1.0,55.0,6.4,0.0,7.9,2.0,19.3
業種別,,総合商品小売業,7,28.6,0.0,28.6,0.0,0.0,0.0,28.6,14.3
業種別,,生鮮食品小売業,9,0.0,0.0,44.4,11.1,0.0,11.1,0.0,33.3
業種別,,食料品関連小売業,78,11.5,0.0,62.8,7.7,0.0,9.0,5.1,3.8
業種別,,衣料品関連小売業,40,15.0,0.0,55.0,10.0,0.0,10.0,0.0,10.0
業種別,,住関連小売業,24,8.3,0.0,50.0,8.3,0.0,8.3,0.0,25.0
業種別,,その他小売業,72,11.1,0.0,48.6,6.9,0.0,12.5,5.6,15.3
従業者規模別,,１～２人,189,10.1,0.0,56.6,6.9,0.0,11.1,3.7,11.6
従業者規模別,,３～５人,21,14.3,0.0,52.4,9.5,0.0,9.5,4.8,9.5
従業者規模別,,６～19人,10,30.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0
従業者規模別,,20人以上,3,0.0,0.0,33.3,0.0,0.0,0.0,66.7,0.0
年間売上高増減別（3年前）,,増加（５％以上）,7,28.6,0.0,28.6,0.0,0.0,28.6,14.3,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,27,3.7,0.0,74.1,3.7,0.0,14.8,3.7,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,54,7.4,0.0,53.7,9.3,0.0,14.8,3.7,11.1
年間売上高増減別（3年前）,,減少（20％未満）,58,12.1,0.0,55.2,6.9,0.0,10.3,3.4,12.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,82,13.4,0.0,52.4,9.8,0.0,3.7,4.9,15.9
売上高経常利益率別,,黒字（プラス）,101,8.9,0.0,52.5,5.0,0.0,13.9,6.9,12.9
売上高経常利益率別,,赤字（マイナス）,111,14.4,0.0,55.9,10.8,0.0,6.3,1.8,10.8
経常損益の変化別（3年前）,,増益,19,21.1,0.0,52.6,5.3,0.0,10.5,0.0,10.5
経常損益の変化別（3年前）,,横ばい,69,11.6,0.0,53.6,10.1,0.0,11.6,5.8,7.2
経常損益の変化別（3年前）,,減益,136,10.3,0.0,55.1,6.6,0.0,9.6,4.4,14.0
