表側(年),期,DI／全体,DI／卸売業,DI／小売業
2014,Ⅰ,-22.9,-15.5,-36.0
2014,Ⅱ,-22.6,-15.5,-40.8
2014,Ⅲ,-23.1,-16.7,-38.1
2014,Ⅳ,-22.3,-19.9,-38.8
2015,Ⅰ,-20.7,-13.8,-41.4
2015,Ⅱ,-17.8,-11.4,-36.8
2015,Ⅲ,-22.0,-17.7,-36.7
2015,Ⅳ,-20.5,-14.1,-30.7
2016,Ⅰ,-19.7,-14.4,-32.6
2016,Ⅱ,-21.0,-16.8,-35.0
2016,Ⅲ,-19.6,-10.0,-35.8
2016,Ⅳ,-15.7,-10.7,-27.4
2017,Ⅰ,-17.0,-10.4,-32.3
2017,Ⅱ,-16.1,-11.5,-31.9
2017,Ⅲ,-15.6,-9.6,-31.2
2017,Ⅳ,-12.9,-7.5,-26.2
2018,Ⅰ,-14.6,-7.3,-36.8
2018,Ⅱ,-12.9,-5.5,-30.7
2018,Ⅲ,-14.3,-7.2,-35.2
2018,Ⅳ,-15.6,-7.3,-33.4
2019,Ⅰ,-15.3,-8.3,-30.8
2019,Ⅱ,-17.1,-10.5,-32.5
2019,Ⅲ,-15.9,-3.9,-32.6
2019,Ⅳ,-15.7,-8.1,-32.3
2020,Ⅰ,-31.1,-19.3,-51.6
2020,Ⅱ,-36.1,-25.0,-49.9
2020,Ⅲ,-28.8,-20.0,-42.8
2020,Ⅳ,-23.4,-16.5,-39.0
2021,Ⅰ,-26.3,-16.4,-40.3
2021,Ⅱ,-21.7,-9.5,-39.8
2021,Ⅲ,-23.3,-13.1,-41.7
2021,Ⅳ,-21.8,-13.5,-40.6
2022,Ⅰ,-23.2,-11.9,-40.1
2022,Ⅱ,-21.5,-15.3,-39.4
2022,Ⅲ,-22.3,-12.1,-40.3
2022,Ⅳ,-21.6,-13.4,-37.7
2023,Ⅰ,-18.4,-9.8,-35.3
2023,Ⅱ,-20.8,-14.2,-38.2
2023,Ⅲ,-20.8,-13.4,-36.1
2023,Ⅳ,-19.4,-15.1,-35.4
