区分,集計企業数（社）,支給した（社）,支給した／支給額／支給額合計（円）,支給した／支給額／令和４年年末一時金（円）,支給した／支給額／令和５年夏季一時金（円）,支給した／支給額／左記以外（円）,支給した／支給月数／支給月数合計（月）,支給した／支給月数／令和４年年末一時金（月）,支給した／支給月数／令和５年夏季一時金（月）,支給した／支給月数／左記以外（月）,支給していない（社）,無回答（社）
調査産業計,876,738,920036,389909,405655,124472,2.99,1.34,1.37,0.29,138,0
労組有,63,56,1033695,492183,481372,60140,3.69,1.7,1.77,0.22,7,0
労組無,813,682,910351,381194,399203,129954,2.94,1.31,1.34,0.29,131,0
建設業,71,70,1093626,430548,430583,232495,3.41,1.41,1.46,0.54,1,0
製造業,207,191,867107,374483,397718,94905,2.98,1.32,1.37,0.29,16,0
情報通信業,58,47,1006121,456444,478106,71571,3.18,1.45,1.51,0.22,11,0
運輸業，郵便業,42,34,744469,288691,329029,126748,2.92,1.26,1.49,0.17,8,0
卸売業，小売業,180,145,1037818,407287,485991,144540,2.95,1.31,1.41,0.23,35,0
金融業，保険業,27,26,1761489,745993,647517,367979,4.55,2.13,1.9,0.53,1,0
不動産業，物品賃貸業,16,14,1311759,650394,579635,81730,3.37,1.64,1.62,0.11,2,0
学術研究，専門・技術サービス業,57,50,924027,409034,329541,185451,3,1.44,1.23,0.33,7,0
宿泊業，飲食サービス業,43,25,546095,286940,232350,26806,2.06,1.08,0.87,0.1,18,0
生活関連サービス業，娯楽業,34,29,782027,342572,394291,45164,3.11,1.42,1.51,0.18,5,0
教育，学習支援業(学校教育を除く）,30,21,691073,280961,294502,115610,2.89,1.18,1.19,0.52,9,0
医療，福祉,57,44,549210,237234,237384,74591,2.21,0.94,0.97,0.3,13,0
サービス業(他に分類されないもの),54,42,752529,350746,345977,55806,2.69,1.26,1.28,0.15,12,0
10～49人,585,473,869802,360845,383065,125891,2.81,1.26,1.27,0.28,112,0
50～99人,188,168,916998,402685,417312,97001,3.14,1.4,1.46,0.27,20,0
100～299人,103,97,1160472,503781,491164,165527,3.57,1.6,1.63,0.34,6,0
