区分,集計企業数（社）,一斉付与（社）,一斉付与／1月1日（社）,一斉付与／4月1日（社）,一斉付与／10月1日（社）,一斉付与／その他（社）,一斉付与／無回答（社）,その他（入社日に応じて付与日を決定等）（社）,無回答（社）
調査産業計,876,399,84,196,24,90,5,412,65
労組有,63,35,10,16,1,7,1,22,6
労組無,813,364,74,180,23,83,4,390,59
建設業,71,35,8,19,2,6,0,31,5
製造業,207,120,26,54,5,33,2,79,8
情報通信業,58,31,3,19,3,6,0,19,8
運輸業,42,13,3,7,0,3,0,23,6
卸売業，小売業,180,81,19,31,6,22,3,85,14
金融，保険業,27,23,5,18,0,0,0,3,1
不動産業，物品賃貸業,16,6,1,3,1,1,0,10,0
学術研究，専門・技術サービス業,57,18,4,9,2,3,0,34,5
宿泊業，飲食サービス業,43,14,4,6,1,3,0,25,4
生活関連サービス業，娯楽業,34,17,5,8,1,3,0,14,3
教育，学習支援業（学校教育を除く）,30,13,2,7,1,3,0,16,1
医療，福祉,57,10,2,5,1,2,0,43,4
サービス業（他に分類されないもの）,54,18,2,10,1,5,0,30,6
10～49人,585,251,57,112,16,61,5,295,39
50～99人,188,91,22,47,3,19,0,81,16
100～299人,103,57,5,37,5,10,0,36,10
