区分,集計企業数（社）,支給あり（社）,支給あり／同一役職の支給額は同じ（社）,支給あり／同一役職でも支給額は異なる（社）,支給あり／無回答（社）,支給なし（社）,無回答（社）
調査産業計,1012,735,476,239,20,272,5
労組有,75,55,35,18,2,29,1
労組無,937,680,441,221,18,253,4
建設業,85,70,43,26,1,15,-
製造業,274,215,150,61,4,57,2
情報通信業,50,41,24,16,1,9,-
運輸業，郵便業,55,34,18,16,-,20,1
卸売業，小売業,195,132,90,40,2,62,1
金融業，保険業,43,20,13,7,-,23,-
不動産業，物品賃貸業,30,24,14,9,1,6,-
学術研究，専門・技術サービス業,58,46,28,18,-,12,-
宿泊業，飲食サービス業,49,20,7,9,4,28,1
生活関連サービス業，娯楽業,33,30,23,6,1,3,-
教育，学習支援業(学校教育を除く）,32,21,13,6,2,11,-
医療，福祉,43,31,18,11,2,12,-
サービス業（他に分類されないもの）,65,51,35,14,2,14,-
10～49人,642,449,295,141,13,189,4
50～99人,225,173,113,54,6,52,-
100～299人,145,113,68,44,1,31,1
