表側１,表側２,表側３,回答企業数(件),業務プロセスの見直し(%),業務分担の見直し（平準化等）(%),業務の標準化・マニュアルの作成(%),人材のマルチスキル化・兼任化(%),ＩＣＴの利活用(%),整理・整頓他（５Ｓ）(%),非効率な商慣行の見直し(%),その他(%),無回答(%)
,,"今回調査
（全体）",59,47.5,28.8,33.9,23.7,59.3,20.3,27.1,1.7,1.7
,,前回調査,112,38.4,39.3,25.0,33.9,33.9,25.9,31.3,1.8,1.8
業種別,,食料品卸売業,13,46.2,30.8,30.8,15.4,46.2,23.1,15.4,0.0,7.7
業種別,,生鮮食品卸売業,4,50.0,50.0,50.0,25.0,25.0,50.0,25.0,0.0,0.0
業種別,,加工食品等卸売業,9,44.4,22.2,22.2,11.1,55.6,11.1,11.1,0.0,11.1
業種別,,衣料品関連卸売業,6,83.3,16.7,33.3,16.7,66.7,50.0,16.7,0.0,0.0
業種別,,住関連卸売業,10,50.0,40.0,40.0,30.0,70.0,10.0,30.0,0.0,0.0
業種別,,その他卸売業,29,37.9,27.6,34.5,27.6,62.1,17.2,34.5,3.4,0.0
従業者規模別,,１～５人,17,41.2,17.6,11.8,5.9,41.2,17.6,41.2,0.0,5.9
従業者規模別,,６～９人,7,42.9,42.9,42.9,57.1,71.4,14.3,28.6,0.0,0.0
従業者規模別,,10～49人,26,46.2,19.2,30.8,23.1,61.5,11.5,11.5,3.8,0.0
従業者規模別,,50人以上,8,62.5,75.0,75.0,37.5,75.0,62.5,50.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,10,40.0,30.0,30.0,0.0,50.0,30.0,30.0,0.0,0.0
取引形態別,一次卸,他部門直取引卸,8,37.5,50.0,25.0,62.5,75.0,12.5,25.0,0.0,0.0
取引形態別,一次卸,元卸,22,54.5,31.8,36.4,22.7,72.7,22.7,31.8,4.5,0.0
取引形態別,二次卸,中間卸,4,25.0,0.0,25.0,25.0,50.0,25.0,25.0,0.0,0.0
取引形態別,二次卸,最終卸,8,50.0,12.5,50.0,12.5,37.5,12.5,0.0,0.0,12.5
取引形態別,その他,製造問屋,1,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
取引形態別,その他,その他卸,5,60.0,20.0,40.0,20.0,60.0,20.0,60.0,0.0,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,13,30.8,30.8,38.5,30.8,61.5,30.8,23.1,0.0,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,15,46.7,20.0,20.0,46.7,86.7,13.3,13.3,0.0,6.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,7,71.4,42.9,57.1,14.3,42.9,28.6,14.3,0.0,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,8,25.0,37.5,25.0,0.0,62.5,12.5,50.0,0.0,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,15,60.0,26.7,40.0,13.3,40.0,20.0,40.0,6.7,0.0
売上高経常利益率別,,黒字（プラス）,42,42.9,35.7,40.5,28.6,61.9,23.8,28.6,2.4,2.4
売上高経常利益率別,,赤字（マイナス）,15,53.3,13.3,20.0,13.3,53.3,13.3,20.0,0.0,0.0
経常損益の変化別（3年前）,,増益,25,48.0,36.0,32.0,36.0,76.0,28.0,16.0,4.0,4.0
経常損益の変化別（3年前）,,横ばい,14,28.6,21.4,21.4,14.3,42.9,21.4,28.6,0.0,0.0
経常損益の変化別（3年前）,,減益,18,55.6,27.8,50.0,16.7,50.0,11.1,38.9,0.0,0.0
,,,,,,,,,,,,
,,,,,,,,,,,,
