区分,集計企業数（社）,制度あり（社）,制度あり／利用者の有無／あり（社）,制度あり／利用者の有無／なし（社）,制度あり／利用者の有無／無回答（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年４月以降に導入（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年３月以前に導入（社）,制度あり／規定の整備状況／就業規則に記載していない／その他の社内規定に記載（社）,制度あり／規定の整備状況／就業規則に記載していない／今後記載する予定あり（社）,制度あり／規定の整備状況／就業規則に記載していない／記載するか未定（社）,制度あり／規定の整備状況／無回答（社）,制度あり／制度の内容／8時間未満（社）,制度あり／制度の内容／8時間以上10時間未満（社）,制度あり／制度の内容／10時間以上13時間未満（社）,制度あり／制度の内容／13時間以上（社）,制度あり／制度の内容／無回答（社）,制度なし（社）,無回答（社）
調査産業計,876,46,29,16,1,6,15,6,4,11,4,7,13,18,2,6,830,0
労組有,63,6,5,1,0,1,2,1,0,1,1,0,0,3,1,2,57,0
労組無,813,40,24,15,1,5,13,5,4,10,3,7,13,15,1,4,773,0
建設業,71,3,1,1,1,1,0,2,0,0,0,2,0,1,0,0,68,0
製造業,207,8,4,4,0,1,4,1,1,1,0,2,2,4,0,0,199,0
情報通信業,58,6,3,3,0,1,0,1,0,3,1,1,0,5,0,0,52,0
運輸業，郵便業,42,2,2,0,0,0,1,0,0,1,0,0,1,0,1,0,40,0
卸売業，小売業,180,10,5,5,0,1,2,0,1,4,2,1,3,2,0,4,170,0
金融業，保険業,27,4,3,1,0,0,3,0,0,0,1,0,3,0,0,1,23,0
不動産業，物品賃貸業,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
学術研究，専門・技術サービス業,57,2,2,0,0,0,1,0,1,0,0,0,0,1,0,1,55,0
宿泊業，飲食サービス業,43,4,3,1,0,2,0,0,1,1,0,1,0,2,1,0,39,0
生活関連サービス業，娯楽業,34,3,3,0,0,0,2,1,0,0,0,0,2,1,0,0,31,0
教育，学習支援業（学校教育を除く）,30,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,29,0
医療，福祉,57,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,56,0
サービス業（他に分類されないもの）,54,2,2,0,0,0,0,1,0,1,0,0,1,1,0,0,52,0
10～49人,585,33,19,14,0,5,8,3,4,10,3,5,11,11,1,5,552,0
50～99人,188,8,5,2,1,0,5,1,0,1,1,1,2,4,0,1,180,0
100～299人,103,5,5,0,0,1,2,2,0,0,0,1,0,3,1,0,98,0
