表側１,表側２,表側３,回答企業数(件),40歳未満(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
,,今回調査（全体）,760,6.1,32.1,30.8,17.9,7.2,5.9
,,前回調査,823,7,31.7,31.8,18.3,6.9,4.1
業種別,,食料品卸売業,237,3.8,32.1,36.3,19,4.2,4.6
業種別,,生鮮食品卸売業,126,3.2,29.4,40.5,17.5,4,5.6
業種別,,加工食品等卸売業,111,4.5,35.1,31.5,20.7,4.5,3.6
業種別,,衣料品関連卸売業,145,11,32.4,27.6,13.8,6.2,9
業種別,,住関連卸売業,83,8.4,26.5,27.7,26.5,4.8,6
業種別,,その他卸売業,288,4.9,33,29.2,16.7,10.8,5.6
従業者規模別,,1～5人,399,2.5,16,30.6,29.8,13.5,7.5
従業者規模別,,6～9人,101,7.9,45.5,37.6,8.9,0,0
従業者規模別,,10～49人,208,10.6,50,33.7,2.9,0,2.9
従業者規模別,,50人以上,36,16.7,75,5.6,2.8,0,0
取引形態別,一次卸,小売直取引卸,219,6.4,33.8,33.3,15.5,4.6,6.4
取引形態別,一次卸,他部門直取引卸,50,8,38,38,6,6,4
取引形態別,一次卸,元卸,154,10.4,37.7,27.3,15.6,4.5,4.5
取引形態別,二次卸,中間卸,85,3.5,25.9,36.5,17.6,10.6,5.9
取引形態別,二次卸,最終卸,135,3,30.4,31.9,22.2,6.7,5.9
取引形態別,その他,製造問屋,19,10.5,26.3,31.6,21.1,10.5,0
取引形態別,その他,その他卸,77,3.9,23.4,22.1,24.7,16.9,9.1
