表側１,表側２,表側３,回答企業数(件),店舗の老朽化(%),店舗の狭小さ(%),売場の魅力づくり(%),陳列・商品管理(%),盗難対策(%),品揃え(%),価格競争力(%),新規顧客の開拓(%),顧客管理(%),広告宣伝(%),接客技術(%),商品知識(%),販売員の確保(%),インターネットの活用(%),キャッシュレス化への対応(%),販売ロスの削減(%),その他(%),特になし(%),無回答(%)
,,今回調査（全体）,2141,26.1,15.6,25.2,19.5,6.4,32.7,16.2,28.8,12.2,12.7,13.3,14.4,13.7,14.0,10.5,21.3,1.3,10.5,3.2
業種別,,総合商品小売業,189,20.6,21.7,45.5,28.0,32.3,46.0,15.9,21.7,8.5,10.1,27.5,14.8,58.7,4.2,12.2,52.9,1.1,2.6,1.1
業種別,,生鮮食品小売業,134,47.8,17.9,23.1,26.1,1.5,34.3,18.7,22.4,3.0,8.2,10.4,12.7,8.2,7.5,11.9,30.6,0.7,6.0,1.5
業種別,,食料品関連小売業,535,31.2,13.1,24.1,19.8,2.4,28.4,17.0,27.1,9.7,15.1,10.8,9.0,10.8,13.8,12.0,23.4,0.7,12.3,3.6
業種別,,衣料品関連小売業,298,22.5,13.8,28.5,20.5,6.0,38.6,12.4,37.6,17.1,16.8,9.7,11.1,9.4,16.1,6.7,10.4,1.3,9.7,4.0
業種別,,住関連小売業,167,21.6,16.2,18.6,12.6,2.4,31.1,27.5,28.7,15.6,13.2,10.2,19.2,7.8,10.8,9.0,6.6,1.2,12.6,3.0
業種別,,その他小売業,773,22.4,16.6,21.7,17.3,4.9,30.9,14.2,29.8,14.2,11.3,14.4,18.8,8.5,17.6,10.6,18.6,1.7,11.1,3.6
従業者規模別,,１～２人,1066,25.2,13.2,19.4,18.7,3.5,32.3,16.0,25.0,9.3,10.4,7.8,12.9,2.1,11.8,8.3,16.6,1.4,14.4,3.8
従業者規模別,,３～５人,486,30.9,15.8,28.6,20.4,4.5,31.7,17.3,32.5,13.4,15.8,13.6,13.4,10.5,18.3,13.0,21.8,1.6,8.8,3.5
従業者規模別,,６～19人,336,22.3,20.5,30.4,20.5,11.3,35.4,15.2,34.2,17.9,14.9,21.4,18.8,36.6,16.7,14.6,26.8,0.6,5.1,1.8
従業者規模別,,20人以上,170,22.4,18.2,42.4,21.2,21.8,34.1,15.3,30.0,15.3,12.9,33.5,20.6,52.4,10.6,10.6,41.8,0.6,3.5,1.8
年間売上高増減別（3年前）,,増加（５％以上）,227,20.3,23.3,29.5,22.9,11.0,33.9,11.9,32.2,13.7,16.7,22.5,18.1,29.1,17.6,9.7,26.4,2.6,3.5,1.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,25.1,17.3,31.2,20.0,8.1,33.6,17.7,30.5,11.2,14.1,15.9,16.1,18.5,15.3,10.4,26.7,0.6,9.8,2.2
年間売上高増減別（3年前）,,やや減少（10％未満）,450,29.6,17.1,25.6,20.4,6.4,32.0,16.4,26.4,11.6,11.8,12.2,13.3,13.1,11.8,11.3,20.0,0.4,10.7,2.4
年間売上高増減別（3年前）,,減少（20％未満）,434,26.0,12.9,21.7,19.6,4.4,33.6,18.0,27.6,13.8,11.8,11.8,14.3,8.8,14.5,10.8,19.8,1.6,11.1,4.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,25.8,11.2,20.2,17.1,4.9,31.5,14.6,29.7,11.9,11.9,9.0,12.6,6.5,12.8,9.0,13.9,2.0,14.2,4.7
売上高経常利益率別,,黒字（プラス）,1093,24.8,17.4,28.2,21.0,7.3,32.9,16.1,29.7,13.6,12.5,15.5,16.2,16.7,14.5,10.3,24.0,1.3,9.0,2.6
売上高経常利益率別,,赤字（マイナス）,838,27.9,14.2,23.2,19.5,5.8,34.2,17.4,29.1,11.1,13.5,11.1,13.0,10.5,14.7,10.5,18.1,1.4,11.9,3.1
経常損益の変化別（3年前）,,増益,316,25.3,18.4,26.9,20.3,9.2,32.3,16.1,33.9,16.8,13.6,17.4,19.0,22.2,17.7,12.3,19.3,2.2,6.6,2.8
経常損益の変化別（3年前）,,横ばい,702,23.6,14.5,26.6,19.7,6.3,32.2,16.0,27.6,10.0,11.7,14.2,14.4,13.2,14.8,9.1,22.8,0.4,12.4,2.4
経常損益の変化別（3年前）,,減益,999,27.7,15.8,24.1,20.2,6.3,33.5,17.0,28.3,12.6,13.5,11.9,13.9,11.9,12.5,10.8,20.4,1.7,10.0,3.6
