表側１,表側２,表側３,回答企業数(件),ＩＣＴ人材が不足している(%),具体的な効果・成果が見えない(%),コスト負担が大きい（予算確保が難しい）(%),従業員が積極的でない(%),活用できるシステムやツール、製品がない(%),セキュリティ上の懸念がある(%),活用したいが何から始めたらよいかわからない(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",2141,11.9,11.4,11.9,4.7,5.4,8.3,8.7,2.0,42.8,15.8
業種別,,総合商品小売業,189,5.8,11.6,5.3,9.5,3.2,5.8,2.6,4.2,48.1,13.2
業種別,,生鮮食品小売業,134,6.7,6.0,9.0,5.2,8.2,2.2,11.9,3.0,42.5,23.9
業種別,,食料品関連小売業,535,12.0,10.8,12.0,3.4,6.4,6.9,10.1,2.1,45.8,17.2
業種別,,衣料品関連小売業,298,13.1,11.1,10.1,4.4,4.0,5.0,10.4,1.0,40.9,19.8
業種別,,住関連小売業,167,11.4,11.4,9.0,4.2,6.0,8.4,7.2,0.6,44.9,16.8
業種別,,その他小売業,773,14.1,13.1,15.5,4.9,5.4,12.3,8.4,1.9,39.8,11.3
従業者規模別,,１～２人,1066,5.6,10.3,8.9,1.4,5.2,5.5,9.0,1.3,49.9,18.4
従業者規模別,,３～５人,486,15.4,11.9,13.8,5.8,6.0,9.9,11.5,3.1,36.6,15.4
従業者規模別,,６～19人,336,20.2,11.6,17.0,9.5,5.7,11.9,7.1,1.5,34.8,10.1
従業者規模別,,20人以上,170,23.5,16.5,16.5,13.5,4.7,12.9,3.5,3.5,36.5,7.6
年間売上高増減別（3年前）,,増加（５％以上）,227,19.4,7.5,13.2,6.6,2.6,14.5,8.4,3.1,37.4,11.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,13.9,11.0,12.0,5.1,5.3,8.6,9.2,2.4,42.6,13.0
年間売上高増減別（3年前）,,やや減少（10％未満）,450,10.9,14.4,12.9,4.7,6.9,7.6,7.8,1.8,44.7,14.0
年間売上高増減別（3年前）,,減少（20％未満）,434,11.1,10.8,10.6,3.9,4.8,7.6,9.4,1.6,42.2,19.4
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,8.5,12.1,10.8,4.0,5.8,6.1,8.5,1.6,45.2,19.1
売上高経常利益率別,,黒字（プラス）,1093,13.9,10.9,12.6,5.4,5.6,9.6,8.4,2.5,42.6,12.3
売上高経常利益率別,,赤字（マイナス）,838,10.6,13.0,12.4,4.3,5.6,7.0,9.9,1.2,44.0,16.6
経常損益の変化別（3年前）,,増益,316,19.3,11.4,14.9,5.7,3.5,13.9,8.2,1.9,37.3,10.8
経常損益の変化別（3年前）,,横ばい,702,10.5,11.0,9.5,4.6,5.6,7.1,8.8,2.1,45.4,15.4
経常損益の変化別（3年前）,,減益,999,10.9,12.5,13.1,4.7,6.2,7.5,9.3,1.9,42.7,16.2
代表者の年齢別,,40歳未満,43,20.9,4.7,20.9,9.3,4.7,14.0,9.3,4.7,39.5,9.3
代表者の年齢別,,40歳代,185,18.9,13.0,17.3,4.3,5.9,13.5,6.5,4.3,43.2,7.0
代表者の年齢別,,50歳代,458,15.3,11.8,14.8,9.4,6.1,12.0,9.4,2.0,40.8,8.5
代表者の年齢別,,60歳代,514,13.2,11.9,14.0,3.5,6.4,8.2,8.8,0.8,47.9,8.0
代表者の年齢別,,70歳以上,916,7.6,11.1,7.9,3.1,4.4,5.1,9.1,2.0,41.2,25.4
