表側１,表側２,表側３,回答企業数(件),販売している(％),今後販売する予定(％),販売していたが中止した(％),販売予定なし(％),無回答(％)
,,今回調査（全体）,2003,12.9,4.9,2.7,70.6,8.9
,,前回調査,2189,11.3,3.2,3.2,76.3,6
業種別,,総合商品小売業,164,17.7,0,0,76.8,5.5
業種別,,生鮮食品小売業,113,4.4,3.5,3.5,64.6,23.9
業種別,,食料品関連小売業,511,9.2,5.5,2.5,74.6,8.2
業種別,,衣料品関連小売業,314,15.6,6.7,3.8,64.6,9.2
業種別,,住関連小売業,162,8.6,1.2,1.9,77.8,10.5
業種別,,その他小売業,737,15.3,6,3,68.4,7.3
従業者規模別,,1～2人,1059,7.7,3.3,3.4,75.8,9.7
従業者規模別,,3～5人,488,16.8,6.8,1.8,66.8,7.8
従業者規模別,,6～19人,272,20.2,8.8,2.2,62.5,6.3
従業者規模別,,20人以上,134,25.4,4.5,2.2,62.7,5.2
売上高増減別(前年同期比),,増加,138,19.6,2.9,5.8,65.9,5.8
売上高増減別(前年同期比),,横ばい,251,10.8,4.8,1.2,74.5,8.8
売上高増減別(前年同期比),,減少,1536,13,5.3,2.8,70.2,8.8
売上高増減別(3年前),,増加,130,23.8,6.2,3.1,62.3,4.6
売上高増減別(3年前),,横ばい,338,16.3,6.2,3,68,6.5
売上高増減別(3年前),,減少,1346,11.4,5,2.8,71.8,9.1
代表者の年齢別,,40歳未満,42,28.6,11.9,2.4,54.8,2.4
代表者の年齢別,,40歳代,190,22.1,8.9,3.7,63.2,2.1
代表者の年齢別,,50歳代,328,25.3,4.6,3.4,63.1,3.7
代表者の年齢別,,60歳代,491,12.6,4.5,3.9,72.7,6.3
代表者の年齢別,,70歳以上,936,6.2,4.2,1.7,74.6,13.4
