区分,集計企業数（社）,支給あり（社）,支給あり／一律支給（社）,支給あり／家族により異なる（社）,支給あり／家族により異なる／制限あり（社）,支給あり／家族により異なる／制限なし（社）,支給あり／家族により異なる／無回答（社）,支給あり／無回答（社）,支給なし（社）,無回答（社）
調査産業計,876,396,43,353,200,149,4,0,480,0
建設業,71,41,3,38,15,22,1,0,30,0
製造業,207,137,10,127,68,57,2,0,70,0
情報通信業,58,17,1,16,8,8,0,0,41,0
運輸業，郵便業,42,25,2,23,15,8,0,0,17,0
卸売業，小売業,180,86,9,77,47,29,1,0,94,0
金融業，保険業,27,6,0,6,5,1,0,0,21,0
不動産業，物品賃貸業,16,5,1,4,3,1,0,0,11,0
学術研究，専門・技術サービス業,57,14,2,12,8,4,0,0,43,0
宿泊業，飲食サービス業,43,8,2,6,4,2,0,0,35,0
生活関連サービス業，娯楽業,34,11,3,8,7,1,0,0,23,0
教育，学習支援業(学校教育を除く）,30,10,4,6,5,1,0,0,20,0
医療，福祉,57,12,3,9,4,5,0,0,45,0
サービス業（他に分類されないもの）,54,24,3,21,11,10,0,0,30,0
10～49人,585,247,35,212,121,87,4,0,338,0
50～99人,188,88,7,81,43,38,0,0,100,0
100～299人,103,61,1,60,36,24,0,0,42,0
