,,,『黒字（プラス）』,『黒字（プラス）』,『黒字（プラス）』,『黒字（プラス）』,,
,,赤字(マイナス)            ,0～2％未満        ,2～4％未満        ,4～10％未満        ,10％以上            ,無回答,ｎ
,今回調査（全体）,29.5,17.5,10.3,15.5,16.7,10.5,2348
,前回調査,24.6,21.5,12.4,15.1,21.8,4.6,2263
業種別,情報・コンテンツ業,29.8,21.1,12,15.6,13.6,7.8,640
業種別,専門サービス業,26.1,12.6,6.7,12.8,28.2,13.7,820
業種別,技術サービス業,32.6,17.9,12.4,17.9,8.5,10.6,340
業種別,事業サービス業,32,20.9,12.8,17.6,8.5,8.3,507
特定10業種別,ソフトウェア業,24.1,20.6,14.7,17.8,16.8,5.9,286
特定11業種別,インターネット附随サービス業,35.5,25.8,4.8,14.5,16.1,3.2,62
特定12業種別,映像情報制作・配給業,27.9,17.6,16.2,14.7,14.7,8.8,68
特定13業種別,出版業,36.4,25.5,7.3,12.7,7.3,10.9,55
特定14業種別,税理士事務所,2.8,3.2,4.6,10.1,55.5,23.9,218
特定15業種別,デザイン業,44.2,18.3,4.8,8.7,11.5,12.5,104
特定16業種別,経営コンサルタント業,37.4,12.8,4.5,17.9,19.6,7.8,179
特定17業種別,建築設計業,31.1,17.8,12.8,16.7,8.3,13.3,180
特定18業種別,自動車整備業,38.9,16.7,11.1,16.7,5.6,11.1,54
特定19業種別,建物サービス業,21.6,31.5,19.8,17.1,4.5,5.4,111
従業者規模別,1～2人,37.1,14.5,7.1,10.8,17,13.5,971
従業者規模別,3～5人,29.8,19,8.9,12.7,19.4,10.1,573
従業者規模別,6～9人,22.4,21.6,9.2,20.4,16.8,9.6,250
従業者規模別,10～29人,22.2,17.7,16.5,23.1,14.9,5.7,316
従業者規模別,30人以上,12.4,23.3,21,26.7,11.4,5.2,210
