表側１,表側２,表側３,回答企業数(件),マーケットの巨大性(%),本社機能が集中(%),情報発信機能の発達(%),人口の集積(%),マーケットの先進性(%),人材が豊富(%),交通の利便性(%),小売業が集積(%),卸売業が集積(%),情報収集の利便性(%),ブランド力(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",767,38.2,21.9,11.7,24.4,10.4,8.1,49.5,11.2,10.8,21.9,7.8,0.9,15.4,2.3
,,前回調査,760,35.7,17.2,12.1,25.3,12.8,8.7,43.8,14.3,15.3,17.2,9.2,0.4,15.1,3.4
業種別,,食料品卸売業,213,46.5,14.6,8.5,37.6,8.9,5.6,39.0,13.6,10.3,17.8,5.6,0.9,13.6,3.8
業種別,,生鮮食品卸売業,91,42.9,7.7,5.5,37.4,4.4,4.4,31.9,13.2,13.2,9.9,4.4,1.1,14.3,3.3
業種別,,加工食品等卸売業,122,49.2,19.7,10.7,37.7,12.3,6.6,44.3,13.9,8.2,23.8,6.6,0.8,13.1,4.1
業種別,,衣料品関連卸売業,111,41.4,26.1,16.2,18.0,16.2,11.7,62.2,12.6,12.6,33.3,11.7,1.8,10.8,1.8
業種別,,住関連卸売業,155,32.9,24.5,14.2,16.8,9.7,8.4,49.7,5.8,8.4,25.2,8.4,1.3,17.4,3.2
業種別,,その他卸売業,270,34.1,25.6,11.1,21.9,10.4,8.9,53.0,12.2,11.5,19.3,7.4,0.4,17.0,1.1
従業者規模別,,１～５人,406,32.0,13.1,9.4,21.2,8.6,5.9,45.3,10.3,11.8,18.5,6.7,1.2,22.7,3.4
従業者規模別,,６～９人,119,42.9,26.1,14.3,23.5,12.6,5.9,50.4,10.1,7.6,19.3,10.9,0.0,9.2,1.7
従業者規模別,,10～49人,192,46.4,33.9,15.1,30.7,11.5,13.0,55.2,12.5,11.5,29.2,7.8,1.0,5.2,1.0
従業者規模別,,50人以上,28,50.0,57.1,14.3,46.4,21.4,14.3,67.9,14.3,7.1,25.0,10.7,0.0,3.6,0.0
取引形態別,一次卸,小売直取引卸,229,39.3,18.3,11.8,25.8,13.1,9.6,59.0,18.3,7.4,23.6,10.0,0.0,14.0,1.7
取引形態別,一次卸,他部門直取引卸,67,31.3,37.3,16.4,10.4,16.4,13.4,58.2,7.5,11.9,29.9,3.0,1.5,14.9,3.0
取引形態別,一次卸,元卸,127,36.2,29.1,14.2,28.3,10.2,12.6,50.4,7.9,8.7,29.1,10.2,1.6,13.4,2.4
取引形態別,二次卸,中間卸,93,35.5,10.8,6.5,24.7,6.5,5.4,40.9,8.6,17.2,17.2,4.3,2.2,19.4,1.1
取引形態別,二次卸,最終卸,131,51.1,20.6,10.7,28.2,5.3,2.3,41.2,10.7,13.0,15.3,2.3,0.0,10.7,3.1
取引形態別,その他,製造問屋,20,35.0,35.0,30.0,25.0,20.0,0.0,35.0,5.0,15.0,20.0,15.0,0.0,20.0,5.0
取引形態別,その他,その他卸,65,27.7,21.5,3.1,20.0,7.7,7.7,43.1,4.6,6.2,18.5,12.3,3.1,26.2,4.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,45.8,30.0,14.2,32.5,15.8,14.2,54.2,6.7,10.8,36.7,9.2,1.7,7.5,0.8
年間売上高増減別（3年前）,,やや増加（10％未満）,108,41.7,21.3,13.9,35.2,10.2,8.3,53.7,13.9,6.5,18.5,6.5,1.9,10.2,1.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,37.7,24.7,11.7,20.8,9.7,10.4,45.5,10.4,16.2,22.7,9.1,0.0,18.2,2.6
年間売上高増減別（3年前）,,やや減少（10％未満）,124,33.9,20.2,12.9,23.4,8.1,4.8,50.0,10.5,12.1,21.0,3.2,0.0,15.3,1.6
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,36.1,18.0,9.4,19.7,10.3,5.6,46.8,13.3,8.6,17.2,8.6,1.3,19.7,3.9
売上高経常利益率別,,黒字（プラス）,462,39.0,25.5,13.6,26.8,10.4,10.8,51.9,10.2,12.3,26.2,8.7,0.9,14.5,1.7
