区分,総平均／集計企業数（社）,総平均／住宅手当総平均（円）,総平均／扶養家族あり（円）,総平均／扶養家族なし（円）,一律支給／集計企業数（社）,一律支給／平均額（円）,一律支給／扶養家族あり（円）,一律支給／扶養家族なし（円）,住宅の形態別支給／集計企業数（社）,住宅の形態別支給／平均／平均額（円）,住宅の形態別支給／平均／賃貸（円）,住宅の形態別支給／平均／持家（円）,住宅の形態別支給／扶養家族あり／平均額（円）,住宅の形態別支給／扶養家族あり／賃貸（円）,住宅の形態別支給／扶養家族あり／持家（円）,住宅の形態別支給／扶養家族なし／平均額（円）,住宅の形態別支給／扶養家族なし／賃貸（円）,住宅の形態別支給／扶養家族なし／持家（円）
調査産業計／最高,,,,,,,50000,50000,,,,,,97200,80000,,51000,50000
調査産業計／平均,287,18448,20611,16213,210,16466,17696,15211,77,22045,24186,19420,25812,28480,22556,18064,19669,16083
調査産業計／最低,,,,,,,1800,1100,,,,,,5000,2000,,2000,2000
建設業／最高,,,,,,,50000,50000,,,,,,60000,60000,,26300,20000
建設業／平均,29,19333,22618,15461,21,17728,19943,15279,8,22390,25060,19964,27300,30300,24300,15844,17200,14760
建設業／最低,,,,,,,10000,5000,,,,,,12500,8800,,10000,8800
製造業／最高,,,,,,,50000,45000,,,,,,63000,50000,,40000,50000
製造業／平均,105,16040,17608,14443,78,13789,15000,12529,27,20511,21236,19725,22965,24300,21556,18121,18325,17894
製造業／最低,,,,,,,5000,2000,,,,,,6000,6000,,2000,2000
情報通信業／最高,,,,,,,40000,40000,,,,,,x,x,,x,x
情報通信業／平均,15,21191,23529,18853,13,22769,24385,21154,2,x,x,x,x,x,x,x,x,x
情報通信業／最低,,,,,,,10000,10000,,,,,,x,x,,x,x
運輸業，郵便業／最高,,,,,,,30000,20000,,,,,,x,x,,x,x
運輸業，郵便業／平均,14,16500,18133,14867,12,15318,16818,13818,2,x,x,x,x,x,x,x,x,x
運輸業，郵便業／最低,,,,,,,5000,3000,,,,,,x,x,,x,x
卸売業，小売業／最高,,,,,,,50000,50000,,,,,,97200,50000,,40000,50000
卸売業，小売業／平均,45,20244,22841,17478,35,19500,20242,18710,10,21781,25541,17214,28200,34189,20500,14933,15813,13929
卸売業，小売業／最低,,,,,,,3000,3000,,,,,,10500,9500,,5000,5000
金融業，保険業／最高,,,,,,,x,x,,,,,,91000,80000,,50000,40000
金融業，保険業／平均,6,32478,38511,26444,1,x,x,x,5,35663,42460,24333,42450,49320,31000,28875,35600,17667
金融業，保険業／最低,,,,,,,x,x,,,,,,20000,3000,,20000,3000
不動産業，物品賃貸業／最高,,,,,,,40000,40000,,,,,,x,x,,x,x
不動産業，物品賃貸業／平均,9,23193,25225,20871,7,19825,20300,19350,2,x,x,x,x,x,x,x,x,x
不動産業，物品賃貸業／最低,,,,,,,1800,1100,,,,,,x,x,,x,x
学術研究，専門・技術サービス業／最高,,,,,,,30000,30000,,,,,,x,x,,x,x
学術研究，専門・技術サービス業／平均,11,16217,17364,15167,7,15929,17286,14571,4,x,x,x,x,x,x,x,x,x
学術研究，専門・技術サービス業／最低,,,,,,,5000,5000,,,,,,x,x,,x,x
宿泊業，飲食サービス業／最高,,,,,,,20000,20000,,,,,,x,x,,x,x
宿泊業，飲食サービス業／平均,8,14071,15143,13000,7,14071,15143,13000,1,x,x,x,x,x,x,x,x,x
宿泊業，飲食サービス業／最低,,,,,,,5000,5000,,,,,,x,x,,x,x
生活関連サービス業，娯楽業／最高,,,,,,,x,x,,,,,,x,x,,x,x
生活関連サービス業，娯楽業／平均,5,16818,20000,14167,2,x,x,x,3,x,x,x,x,x,x,x,x,x
生活関連サービス業，娯楽業／最低,,,,,,,x,x,,,,,,x,x,,x,x
教育，学習支援業(学校教育を除く）／最高,,,,,,,30000,30000,,,,,,x,x,,x,x
教育，学習支援業(学校教育を除く）／平均,11,13286,14250,12000,7,12636,12833,12400,4,x,x,x,x,x,x,x,x,x
教育，学習支援業(学校教育を除く）／最低,,,,,,,5000,5000,,,,,,x,x,,x,x
医療，福祉／最高,,,,,,,33200,30000,,,,,,x,x,,x,x
医療，福祉／平均,10,20558,22022,19240,8,21662,23033,20486,2,x,x,x,x,x,x,x,x,x
医療，福祉／最低,,,,,,,5000,5000,,,,,,x,x,,x,x
サービス業（他に分類されないもの）／最高,,,,,,,30000,21500,,,,,,40000,70000,,51000,50000
サービス業（他に分類されないもの）／平均,19,22058,25095,19159,12,15786,17667,14375,7,28045,30182,25909,30667,31500,29833,24900,28600,21200
サービス業（他に分類されないもの）／最低,,,,,,,9000,5000,,,,,,20000,2000,,10000,2000
10～49人／最高,,,,,,,50000,50000,,,,,,97200,50000,,50000,50000
10～49人／平均,166,17527,19114,15880,129,16858,17767,15941,37,19284,21320,16907,22483,25296,19159,15712,16826,14430
10～49人／最低,,,,,,,3000,3000,,,,,,5000,3000,,5000,3000
50～99人／最高,,,,,,,50000,50000,,,,,,91000,80000,,50000,50000
50～99人／平均,70,18986,21577,16327,50,15996,17515,14411,20,23519,25194,21486,27868,30006,25271,19171,20382,17700
50～99人／最低,,,,,,,5000,2000,,,,,,10000,2000,,2000,2000
100～299人／最高,,,,,,,50000,45000,,,,,,63000,70000,,51000,50000
100～299人／平均,51,20253,23437,16963,31,15629,17703,13483,20,24584,27133,21185,28813,31639,25179,20219,22628,16885
100～299人／最低,,,,,,,1800,1100,,,,,,12000,7000,,5000,6000
