表側１,表側２,表側３,回答企業数(件),受注の当日(％),受注の翌日(％),受注の翌々日(％),受注後３～６日(％),受注後１週間以上(％),無回答(％)
,,"今回調査
（全体）",767,10.6,27.6,13.0,16.0,30.2,2.5
,,前回調査,760,12.6,33.2,10.5,16.6,24.1,3.0
業種別,,食料品卸売業,213,18.3,39.0,11.3,16.0,13.1,2.3
業種別,,生鮮食品卸売業,91,29.7,39.6,4.4,11.0,12.1,3.3
業種別,,加工食品等卸売業,122,9.8,38.5,16.4,19.7,13.9,1.6
業種別,,衣料品関連卸売業,111,7.2,18.0,9.0,13.5,47.7,4.5
業種別,,住関連卸売業,155,4.5,15.5,13.5,15.5,47.7,3.2
業種別,,その他卸売業,270,8.9,29.3,15.9,16.7,28.1,1.1
従業者規模別,,１～５人,406,10.1,25.9,11.1,18.2,31.5,3.2
従業者規模別,,６～９人,119,15.1,20.2,16.8,11.8,33.6,2.5
従業者規模別,,10～49人,192,9.9,33.9,15.6,13.0,27.1,0.5
従業者規模別,,50人以上,28,3.6,46.4,14.3,14.3,17.9,3.6
取引形態別,一次卸,小売直取引卸,229,9.6,27.1,15.3,15.3,31.0,1.7
取引形態別,一次卸,他部門直取引卸,67,0.0,20.9,11.9,14.9,50.7,1.5
取引形態別,一次卸,元卸,127,10.2,22.8,15.0,17.3,32.3,2.4
取引形態別,二次卸,中間卸,93,12.9,33.3,8.6,24.7,17.2,3.2
取引形態別,二次卸,最終卸,131,15.3,40.5,11.5,13.7,18.3,0.8
取引形態別,その他,製造問屋,20,5.0,20.0,5.0,10.0,60.0,0.0
取引形態別,その他,その他卸,65,10.8,16.9,12.3,7.7,43.1,9.2
