学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,3,x,x,x
学歴計,20～21歳,7,0.6,210043,-,32,0.6,198391,2435400
学歴計,22～24歳,87,1,236870,3430710,176,1.1,223741,3236122
学歴計,25～29歳,232,3.4,284854,4606950,644,3.4,244111,3849433
学歴計,30～34歳,281,5.3,338940,5245593,583,5.3,270686,4230525
学歴計,35～39歳,336,8.1,431735,6534968,446,8.8,308003,4705735
学歴計,40～44歳,363,10.7,438394,6965433,658,10.7,314477,4865201
学歴計,45～49歳,441,15.5,510442,7812938,712,13.2,334097,5149143
学歴計,50～54歳,520,19.2,505584,7840437,556,15.7,342184,5320403
学歴計,55～59歳,413,19,497069,7468289,420,19.5,373101,5911130
学歴計,60歳以上,211,15.9,426317,6124343,112,17.2,315222,4481906
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,1,x,x,x
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,1,x,x,x
中学卒,45～49歳,-,-,-,-,4,x,x,x
中学卒,50～54歳,2,x,x,x,-,-,-,-
中学卒,55～59歳,1,x,x,x,3,x,x,x
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,3,x,x,x
高校卒,20～21歳,-,-,-,-,12,1.7,182855,2435400
高校卒,22～24歳,4,x,x,x,21,2.9,205713,2807578
高校卒,25～29歳,11,4.4,283098,3691018,61,4.9,226922,3308726
高校卒,30～34歳,24,9.4,262513,4275733,67,6.4,243323,3580985
高校卒,35～39歳,21,8.9,296006,4304490,58,8.5,257154,3956171
高校卒,40～44歳,25,13.6,318359,4826838,107,12.1,283053,4392460
高校卒,45～49歳,60,18.8,425019,6323739,137,14.6,282632,4380295
高校卒,50～54歳,104,22.9,422947,6353641,160,18.9,313924,5077863
高校卒,55～59歳,87,20.5,421105,6425866,137,21.7,323214,5288430
高校卒,60歳以上,45,20.1,330898,5185153,47,19.7,285931,4122981
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,2,x,x,x,8,0,219325,-
高専・短大卒,22～24歳,-,-,-,-,8,1.5,218953,2754050
高専・短大卒,25～29歳,2,x,x,x,30,3.6,249734,3697596
高専・短大卒,30～34歳,2,x,x,x,34,6.3,225604,3489900
高専・短大卒,35～39歳,5,6.2,272540,4087160,51,9.1,256221,4255279
高専・短大卒,40～44歳,9,11.1,434595,6527444,102,11.8,278964,4533827
高専・短大卒,45～49歳,11,19.5,475718,6815245,139,14.3,317527,4973647
高専・短大卒,50～54歳,9,20.1,607750,9412389,121,15.3,340524,5252906
高専・短大卒,55～59歳,13,22.2,375797,6445975,84,19,372005,5751986
高専・短大卒,60歳以上,4,x,x,x,15,13.8,321193,4703723
専門学校卒,20～21歳,5,0.4,214460,-,12,0,199972,-
専門学校卒,22～24歳,4,x,x,x,10,2.4,205920,2893480
専門学校卒,25～29歳,12,3.8,253194,3341980,48,3.9,241853,3623656
専門学校卒,30～34歳,22,3.1,276788,4225085,36,5.9,267036,3917906
専門学校卒,35～39歳,11,4.8,296655,4524300,44,7.8,259121,3950474
専門学校卒,40～44歳,33,9,362398,6202108,62,11.3,306048,5032651
専門学校卒,45～49歳,64,14.4,430990,6099542,94,15.3,365562,5539458
専門学校卒,50～54歳,76,19.1,421030,6468358,75,14.9,293670,4750081
専門学校卒,55～59歳,40,24.3,438807,6410138,35,17,271010,4576483
専門学校卒,60歳以上,8,18.1,382428,5743700,11,15.4,330218,4528255
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,78,0.8,238036,3474838,134,0.7,228312,3553708
大学卒,25～29歳,203,3.3,286767,4766950,500,3.1,246337,3945202
大学卒,30～34歳,229,5.1,353391,5462876,424,4.9,279473,4388622
大学卒,35～39歳,299,8.2,448899,6841370,279,8.8,336861,5012252
大学卒,40～44歳,291,10.7,459693,7253549,367,10,335335,5095615
大学卒,45～49歳,295,14.8,547564,8536924,315,11.5,357570,5506499
大学卒,50～54歳,320,18.1,554628,8690198,186,13.6,391535,5900962
大学卒,55～59歳,263,17.6,539841,8041711,143,19.1,463926,7118722
大学卒,60歳以上,149,14.4,464132,6573475,37,16.4,339398,4809691
