学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,-,-,-,-,-,-,-,-
学歴計,22～24歳,7,0.7,241429,2485063,10,1.2,260441,3154200
学歴計,25～29歳,41,3.1,334841,4591556,46,2.3,314045,3850455
学歴計,30～34歳,50,3.1,419097,5858549,58,3.7,367142,4991122
学歴計,35～39歳,37,5.8,405979,5822498,53,5.6,416568,5818015
学歴計,40～44歳,40,9.6,544470,6998112,43,7.1,381253,5932265
学歴計,45～49歳,52,8,571245,7095718,71,8.3,522842,6300513
学歴計,50～54歳,54,11.6,713342,9643732,53,11.7,577365,7900653
学歴計,55～59歳,42,14.9,678336,8922774,39,11.7,792630,10710008
学歴計,60歳以上,20,14.6,526180,6717989,6,13.2,409809,5114160
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,7,0.7,241429,2485063,10,1.2,260441,3154200
中学卒,25～29歳,41,3.1,334841,4591556,46,2.3,314045,3850455
中学卒,30～34歳,50,3.1,419097,5858549,58,3.7,367142,4991122
中学卒,35～39歳,37,5.8,405979,5822498,53,5.6,416568,5818015
中学卒,40～44歳,40,9.6,544470,6998112,43,7.1,381253,5932265
中学卒,45～49歳,52,8,571245,7095718,71,8.3,522842,6300513
中学卒,50～54歳,54,11.6,713342,9643732,53,11.7,577365,7900653
中学卒,55～59歳,42,14.9,678336,8922774,39,11.7,792630,10710008
中学卒,60歳以上,20,14.6,526180,6717989,6,13.2,409809,5114160
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,1,x,x,x
高校卒,25～29歳,1,x,x,x,-,-,-,-
高校卒,30～34歳,2,x,x,x,4,x,x,x
高校卒,35～39歳,4,x,x,x,4,x,x,x
高校卒,40～44歳,-,-,-,-,4,x,x,x
高校卒,45～49歳,1,x,x,x,4,x,x,x
高校卒,50～54歳,2,x,x,x,2,x,x,x
高校卒,55～59歳,-,-,-,-,-,-,-,-
高校卒,60歳以上,4,x,x,x,1,x,x,x
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,-,-,-,-
高専・短大卒,35～39歳,-,-,-,-,3,x,x,x
高専・短大卒,40～44歳,-,-,-,-,-,-,-,-
高専・短大卒,45～49歳,-,-,-,-,4,x,x,x
高専・短大卒,50～54歳,-,-,-,-,2,x,x,x
高専・短大卒,55～59歳,-,-,-,-,1,x,x,x
高専・短大卒,60歳以上,-,-,-,-,2,x,x,x
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,2,x,x,x,1,x,x,x
専門学校卒,25～29歳,2,x,x,x,-,-,-,-
専門学校卒,30～34歳,1,x,x,x,2,x,x,x
専門学校卒,35～39歳,4,x,x,x,6,7.7,342475,4697075
専門学校卒,40～44歳,4,x,x,x,2,x,x,x
専門学校卒,45～49歳,3,x,x,x,5,12.2,378696,5978160
専門学校卒,50～54歳,3,x,x,x,8,9.1,330140,5689588
専門学校卒,55～59歳,1,x,x,x,-,-,-,-
専門学校卒,60歳以上,1,x,x,x,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,5,0.6,252000,2382526,8,0.6,258051,3137000
大学卒,25～29歳,38,3,335171,4554003,46,2.3,314045,3850455
大学卒,30～34歳,47,3,430274,5952095,51,3.4,380092,5004293
大学卒,35～39歳,26,6.2,393366,5694123,37,5.1,480000,6682772
大学卒,40～44歳,36,9.2,565813,7217626,37,7.6,401247,6065937
大学卒,45～49歳,47,7.7,592752,7287458,56,7.9,589913,6566576
大学卒,50～54歳,46,11.1,768408,10628645,40,11.9,650070,8740033
大学卒,55～59歳,39,14.9,699343,9439537,36,11.7,828238,11161509
大学卒,60歳以上,12,16.8,624092,7639217,2,x,x,x
