,,事業承継予定,事業承継予定,事業承継予定,事業承継予定,事業承継予定,事業承継予定,,,,,,,
,,子･子の配偶者に継がせたい              ,配偶者に継がせたい  ,子･子の配偶者及び配偶者以外の親族に継がせたい,従業員に継がせたい  ,外部の人間に継がせたい                  ,誰でもよいから継がせたい                ,親企業が決定する    ,他企業に売却したい    ,まだ決めていない    ,誰にも継がせたくない,その他              ,無回答            ,ｎ
,今回調査（全体）,12.3,0.7,1,16.1,4.1,3.9,3.5,1.7,38.6,6.6,2.1,9.7,2193
業種別,情報・コンテンツ業,7.3,0.8,0.2,19.5,2.9,3.6,4.1,1.8,42.9,4.9,1.5,10.6,615
業種別,専門サービス業,14.2,0.5,0.5,11.5,6.8,4.9,0.9,1.6,37.6,8.4,2.7,10.3,739
業種別,技術サービス業,10.1,0,0,19.3,2.8,2.5,2.8,1.6,40.5,10.4,1.9,7.9,316
業種別,事業サービス業,16.6,1.2,3.3,16.4,2.7,3.3,6.6,1.4,34.6,3.7,1.9,8.3,483
特定10業種別,ソフトウェア業,9,1.1,0,22.7,2.9,3.6,3.2,2.2,44,3.2,1.1,6.9,277
特定10業種別,インターネット附随サービス業,3.3,0,0,10,5,5,5,5,46.7,5,1.7,13.3,60
特定10業種別,映像情報制作・配給業,3,1.5,0,18.2,3,3,6.1,1.5,37.9,6.1,3,16.7,66
特定10業種別,出版業,3.9,0,0,23.5,2,2,3.9,0,49,5.9,0,9.8,51
特定10業種別,税理士事務所,22,0,1.1,14.8,11.5,8.8,0,0.5,23.1,6,4.4,7.7,182
特定10業種別,デザイン業,7.3,0,0,21.9,4.2,1,2.1,2.1,37.5,11.5,2.1,10.4,96
特定10業種別,経営コンサルタント業,13.6,1.2,0,7.1,3,4.1,1.2,3.6,44.4,8.9,0.6,12.4,169
特定10業種別,建築設計業,6.5,0,0,20.6,1.8,2.9,1.8,1.8,41.2,13.5,2.9,7.1,170
特定10業種別,自動車整備業,19.1,0,6.4,8.5,2.1,6.4,2.1,2.1,31.9,2.1,8.5,10.6,47
特定10業種別,建物サービス業,26.4,2.8,2.8,16,3.8,0,4.7,0,32.1,3.8,0,7.5,106
従業者規模別,1～2人,7.5,0.6,0.4,3.9,5.7,3.4,0.4,2,46.4,14.1,3.7,12.1,854
従業者規模別,3～5人,16.8,1.5,1.1,16.6,4.8,4.6,2,1.6,37.8,3.5,1.1,8.6,547
従業者規模別,6～9人,18,0.4,1.6,27.5,2.9,4.5,4.5,0.8,30.7,0.4,1.2,7.4,244
従業者規模別,10～29人,13.1,0.3,0.6,32.1,1.6,4.5,6.4,2.6,30.1,1,0.6,7.1,312
従業者規模別,30人以上,11.9,0,2.9,25.2,1.4,2.4,14.3,0.5,31,0,1,9.5,210
代表者の年齢別,40歳未満,2.9,0,0,5.8,1.4,2.9,2.9,2.9,62.3,0,1.4,17.4,69
代表者の年齢別,40歳代,5.9,0,0.6,10.4,2.8,3.4,3.7,2.3,53.5,6.2,0.8,10.4,355
代表者の年齢別,50歳代,8.9,0.6,1.2,17.3,3.1,3.5,3.4,2,43.9,6.4,1.5,8.1,652
代表者の年齢別,60歳代,9.9,0.9,1.2,19,4.9,4.6,4.8,1.5,32.9,6.9,2.6,10.6,648
代表者の年齢別,70歳以上,27.1,1.1,0.7,15.6,6,3.8,1.3,0.9,24.2,7.3,3.1,8.9,450
