表側,2016年度(%),2017年度(%),2018年度(%),2019年度(%),2020年度(%)
1．農林水産業,0.1,0.0,0.0,0.0,0.0
2．鉱業,0.0,0.1,0.1,0.1,0.1
3．製造業,7.5,7.4,7.2,6.8,6.9
4．電気・ガス・水道・廃棄物処理業,1.4,1.4,1.4,1.5,1.6
5．建設業,3.9,4.3,4.2,4.1,4.3
6．卸売・小売業,22.0,22.3,22.5,22.0,21.2
7．運輸・郵便業,4.0,4.0,4.0,3.9,2.7
8．宿泊・飲食サービス業,2.4,2.4,2.3,2.3,1.7
9．情報通信業,11.0,10.8,10.8,11.0,11.7
10．金融・保険業,7.4,7.5,7.6,7.6,7.8
11．不動産業,12.3,12.2,12.2,12.5,13.4
12．専門・科学技術、業務支援サービス業,11.6,11.6,11.6,11.9,12.3
13．公務,3.6,3.5,3.6,3.6,3.9
14．教育,2.6,2.5,2.5,2.5,2.6
15．保健衛生・社会事業,6.1,6.1,6.1,6.3,6.5
16．その他のサービス,4.1,4.1,4.0,4.0,3.7
輸入品に課される税・関税,0.7,0.8,0.8,0.9,0.8
(控除)総資本形成に係る消費税,0.9,0.9,1.0,1.0,1.2
都内総生産,100.0,100.0,100.0,100.0,100.0
