表側１,表側２,表側３,回答企業数(件),品揃えの幅広さ(%),品揃えの深さ（専門性）(%),商品の発掘(%),新商品の企画・開発(%),既存顧客のフォロー(%),顧客開拓(%),顧客ニーズに合わせた販売方法の採用（インターネット販売等）(%),配送サービス(%),多様な決済システムへの対応(%),情報収集・分析(%),他事業者との連携(%),多言語対応(%),業務の効率化・合理化(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",2141,26.6,33.2,17.0,11.9,29.6,11.0,7.6,11.6,8.5,10.6,2.8,3.2,5.7,1.5,18.2,10.5
業種別,,総合商品小売業,189,70.4,18.5,19.0,25.9,20.1,7.4,5.8,17.5,18.5,25.4,0.5,5.8,13.2,1.6,3.7,7.9
業種別,,生鮮食品小売業,134,27.6,41.0,16.4,9.7,25.4,8.2,3.7,16.4,4.5,4.5,0.7,0.7,4.5,1.5,16.4,14.9
業種別,,食料品関連小売業,535,20.2,33.8,16.6,16.8,27.1,8.8,7.5,15.0,8.0,8.0,1.1,2.2,4.9,1.1,21.9,11.4
業種別,,衣料品関連小売業,298,23.8,37.6,25.5,12.8,29.9,14.8,10.1,4.4,6.0,6.7,1.7,2.0,3.4,1.3,16.8,9.4
業種別,,住関連小売業,167,18.6,25.1,15.0,5.4,37.7,10.8,5.4,7.8,4.2,10.2,7.2,2.4,3.0,1.2,21.0,12.0
業種別,,その他小売業,773,23.4,35.3,14.1,6.9,33.0,12.3,8.5,11.1,9.2,11.4,4.7,4.3,6.2,1.9,19.1,9.2
従業者規模別,,１～２人,1066,17.2,29.6,15.0,6.8,26.6,7.8,4.3,9.0,3.8,5.3,2.3,2.1,2.3,1.6,26.8,11.2
従業者規模別,,３～５人,486,25.1,36.4,16.9,14.0,34.2,12.1,8.0,14.0,9.9,10.7,2.3,2.5,5.8,2.1,13.6,11.3
従業者規模別,,６～19人,336,43.2,41.4,22.3,18.5,31.0,14.3,13.4,12.8,16.4,17.6,3.3,6.3,9.5,0.0,7.4,6.8
従業者規模別,,20人以上,170,57.6,30.0,22.9,26.5,30.0,20.0,15.9,18.2,20.0,29.4,7.1,7.6,18.8,2.4,2.9,4.1
年間売上高増減別（3年前）,,増加（５％以上）,227,43.2,43.6,27.8,22.9,33.9,15.9,18.1,16.3,15.9,19.8,3.5,7.9,11.0,2.2,6.2,3.1
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,32.6,37.1,15.7,16.7,31.6,13.6,9.0,12.0,11.6,14.3,3.7,4.3,8.3,1.4,13.0,7.7
年間売上高増減別（3年前）,,やや減少（10％未満）,450,26.0,34.4,16.0,8.4,30.7,8.7,4.4,10.7,8.2,8.0,2.7,2.2,4.0,1.6,17.8,10.0
年間売上高増減別（3年前）,,減少（20％未満）,434,21.2,30.4,14.7,9.0,29.7,10.4,5.8,13.8,6.5,7.6,2.3,1.6,3.7,1.6,20.7,14.3
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,17.3,25.6,16.4,7.4,23.8,8.8,5.6,8.3,4.0,7.4,2.0,2.2,3.8,1.3,28.5,12.6
売上高経常利益率別,,黒字（プラス）,1093,31.6,36.3,18.3,13.9,31.4,12.7,8.0,13.6,11.2,13.7,3.6,3.8,6.3,1.4,14.7,8.1
売上高経常利益率別,,赤字（マイナス）,838,22.4,31.3,16.2,10.5,28.3,9.9,7.5,9.7,6.2,7.4,2.1,3.0,6.0,1.6,21.8,11.8
経常損益の変化別（3年前）,,増益,316,32.3,40.2,21.2,19.3,32.6,13.6,15.5,16.5,13.9,17.4,3.5,7.0,9.8,1.6,9.2,9.5
経常損益の変化別（3年前）,,横ばい,702,28.8,32.6,16.0,11.8,30.5,12.3,6.3,11.0,8.7,11.0,2.3,2.4,6.6,1.6,18.2,9.4
経常損益の変化別（3年前）,,減益,999,23.9,32.8,16.8,10.0,28.0,9.9,6.3,11.0,7.1,8.7,2.9,2.9,4.3,1.5,20.7,10.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
