年度,2012,2013,2014,2015,2016,2017,2018,2019
窃盗,自転車盗,渋谷,恵比寿駅前交番,131130,東京都,渋谷区,広尾１丁目,2019-09-28,01,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,恵比寿２丁目,2019-03-25,03,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,恵比寿２丁目,2019-09-22,04,一戸建住宅,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾１丁目,2019-04-05,20,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾１丁目,2019-12-27,01,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾５丁目,2019-01-07,10,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾５丁目,2019-07-01,00,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,広尾五丁目交番,131130,東京都,渋谷区,広尾５丁目,2019-09-03,07,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,渋谷３丁目,2019-07-04,23,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,渋谷３丁目,2019-10-31,18,その他,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,東１丁目,2019-04-06,00,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,東１丁目,2019-09-21,20,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,東２丁目,2019-04-02,02,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,東交番,131130,東京都,渋谷区,東２丁目,2019-09-13,15,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,鉢山交番,131130,東京都,渋谷区,鶯谷町,2019-05-23,23,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,渋谷,鉢山交番,131130,東京都,渋谷区,南平台町,2019-10-26,17,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,常磐松交番,131130,東京都,渋谷区,渋谷４丁目,2019-04-01,08,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,常磐松交番,131130,東京都,渋谷区,渋谷４丁目,2019-11-01,15,道路上,10歳代,大学生,施錠せず
窃盗,自転車盗,渋谷,恵比寿四丁目交番,131130,東京都,渋谷区,恵比寿４丁目,2018-12-19,19,道路上,10歳代,小学生,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,渋谷１丁目,2019-04-03,15,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,渋谷１丁目,2019-06-12,13,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前５丁目,2019-02-20,11,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前５丁目,2019-06-27,08,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前５丁目,2019-07-09,09,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前５丁目,2019-07-29,00,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前６丁目,2019-03-20,02,道路上,60-64歳,その他,施錠せず
窃盗,自転車盗,渋谷,美竹交番,131130,東京都,渋谷区,神宮前６丁目,2019-09-22,22,その他,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-03-24,20,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-05-16,11,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-05-26,02,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-08-21,20,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-09-05,00,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-10-05,00,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-12-13,22,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2019-05-19,01,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2019-12-12,14,その他,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2019-03-11,07,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2019-06-25,16,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2019-07-20,21,道路上,10歳代,高校生,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2019-10-08,15,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木駅前交番,131130,東京都,渋谷区,代々木１丁目,2019-12-16,15,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2019-08-08,16,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2019-10-05,21,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2019-11-08,15,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2019-12-13,17,道路上,10歳代,高校生,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷２丁目,2019-02-11,00,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2019-01-02,16,４階建て以上共同住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2019-02-10,20,４階建て以上共同住宅,65-69歳,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-02-12,19,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-07-20,09,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-07-23,11,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-08-06,17,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-08-08,15,道路上,70歳以上,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-08-18,23,一戸建住宅,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-09-27,09,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-11-03,16,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷五丁目交番,131130,東京都,渋谷区,千駄ヶ谷５丁目,2019-11-16,08,４階建て以上共同住宅,10歳代,高校生,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-02-03,22,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-04-05,16,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-05-31,00,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-08-07,20,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-09-09,14,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-09-20,00,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-10-12,03,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,神宮前２丁目,2019-10-23,16,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,千駄ヶ谷１丁目,2017-09-20,不明,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,千駄ヶ谷２丁目,2018-11-28,00,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,千駄ヶ谷２丁目,2019-10-21,09,道路上,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2019-01-12,13,その他,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,千駄ケ谷駅前交番,131130,東京都,渋谷区,千駄ヶ谷４丁目,2019-08-05,18,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前１丁目,2019-04-05,21,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前１丁目,2019-07-08,10,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前１丁目,2019-09-17,19,４階建て以上共同住宅,10歳代,高校生,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前２丁目,2019-12-11,15,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前３丁目,2019-06-02,18,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前３丁目,2019-06-09,03,その他,30歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前３丁目,2019-07-08,16,４階建て以上共同住宅,65-69歳,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前５丁目,2019-03-02,08,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前５丁目,2019-06-18,01,４階建て以上共同住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前５丁目,2019-11-07,17,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前５丁目,2019-11-26,18,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前６丁目,2019-01-25,14,その他,50歳代,その他,施錠せず
窃盗,自転車盗,原宿,神宮前交番,131130,東京都,渋谷区,神宮前６丁目,2019-05-03,23,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2018-12-12,16,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2019-07-22,22,４階建て以上共同住宅,50歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2019-07-27,14,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2019-10-11,21,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,初台１丁目,2019-10-23,23,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,本町１丁目,2018-12-06,21,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,代々木,初台駅前交番,131130,東京都,渋谷区,本町１�
