表側１,表側２,表側３,回答企業数(件),全て自企業(％),一部外部委託(％),全て外部委託(％),該当する業務なし(％),無回答(％)
,,"今回調査
（全体）",767,47.2,22.6,18.0,10.8,1.4
,,前回調査,760,54.9,20.4,13.8,8.6,2.4
業種別,,食料品卸売業,213,44.6,21.6,24.9,7.5,1.4
業種別,,生鮮食品卸売業,91,54.9,18.7,18.7,5.5,2.2
業種別,,加工食品等卸売業,122,36.9,23.8,29.5,9.0,0.8
業種別,,衣料品関連卸売業,111,47.7,24.3,16.2,9.9,1.8
業種別,,住関連卸売業,155,47.7,21.9,15.5,12.9,1.9
業種別,,その他卸売業,270,47.8,22.6,15.9,12.6,1.1
従業者規模別,,１～５人,406,54.9,13.5,14.0,15.3,2.2
従業者規模別,,６～９人,119,47.1,21.0,21.8,9.2,0.8
従業者規模別,,10～49人,192,33.9,38.5,22.9,4.7,0.0
従業者規模別,,50人以上,28,17.9,53.6,28.6,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,54.1,21.8,15.3,8.3,0.4
取引形態別,一次卸,他部門直取引卸,67,34.3,25.4,22.4,16.4,1.5
取引形態別,一次卸,元卸,127,33.1,27.6,31.5,7.9,0.0
取引形態別,二次卸,中間卸,93,47.3,19.4,19.4,9.7,4.3
取引形態別,二次卸,最終卸,131,58.8,20.6,9.9,9.9,0.8
取引形態別,その他,製造問屋,20,45.0,20.0,25.0,10.0,0.0
取引形態別,その他,その他卸,65,38.5,18.5,15.4,24.6,3.1
