表側１,表側２,表側３,回答企業数(件),事業者(％),一般消費者(％),両方（事業者及び一般消費者）(％),無回答(％)
,,今回調査（全体）,147,17,61.9,17,4.1
,,前回調査,149,14.1,64.4,18.1,3.4
業種別,,食料品卸売業,37,10.8,75.7,10.8,2.7
業種別,,生鮮食品卸売業,15,13.3,60,20,6.7
業種別,,加工食品等卸売業,22,9.1,86.4,4.5,0
業種別,,衣料品関連卸売業,38,5.3,71.1,13.2,10.5
業種別,,住関連卸売業,14,35.7,35.7,28.6,0
業種別,,その他卸売業,57,22.8,54.4,21.1,1.8
従業者規模別,,1～5人,45,8.9,71.1,13.3,6.7
従業者規模別,,6～9人,30,20,63.3,13.3,3.3
従業者規模別,,10～49人,51,17.6,60.8,17.6,3.9
従業者規模別,,50人以上,16,31.3,37.5,31.3,0
取引形態別,一次卸,小売直取引卸,57,7,71.9,17.5,3.5
取引形態別,一次卸,他部門直取引卸,7,57.1,28.6,0,14.3
取引形態別,一次卸,元卸,42,19,61.9,16.7,2.4
取引形態別,二次卸,中間卸,8,12.5,62.5,25,0
取引形態別,二次卸,最終卸,18,33.3,44.4,16.7,5.6
取引形態別,その他,製造問屋,3,0,100,0,0
取引形態別,その他,その他卸,9,22.2,44.4,22.2,11.1
