表側１,表側２,表側３,回答企業数(件),需要増への対応が困難(%),事業の維持が困難(%),新分野進出・新規事業・海外展開等の遅れ(%),技術やノウハウの承継が困難(%),商品・サービスの質の低下(%),従業員の時間外労働の増加・有給取得率の低下(%),採用コストの増加(%),賃金引き上げに伴う人件費の増加(%),従業員の意欲低下(%),労働条件悪化による従業員の離職の増加(%),その他(%),無回答(%)
,,"今回調査
（全体）",119,47.1,25.2,24.4,28.6,29.4,27.7,20.2,15.1,21.8,7.6,1.7,5.9
業種別,,食料品卸売業,39,53.8,25.6,17.9,23.1,35.9,35.9,17.9,15.4,28.2,12.8,2.6,15.4
業種別,,生鮮食品卸売業,17,52.9,23.5,0.0,23.5,17.6,35.3,17.6,5.9,17.6,11.8,0.0,17.6
業種別,,加工食品等卸売業,22,54.5,27.3,31.8,22.7,50.0,36.4,18.2,22.7,36.4,13.6,4.5,13.6
業種別,,衣料品関連卸売業,13,46.2,15.4,30.8,46.2,0.0,7.7,46.2,15.4,0.0,0.0,0.0,0.0
業種別,,住関連卸売業,31,38.7,29.0,25.8,35.5,12.9,29.0,16.1,3.2,9.7,3.2,3.2,0.0
業種別,,その他卸売業,35,48.6,25.7,28.6,22.9,48.6,25.7,17.1,25.7,34.3,8.6,0.0,0.0
従業者規模別,,１～５人,25,32.0,28.0,20.0,28.0,32.0,16.0,20.0,4.0,8.0,0.0,8.0,16.0
従業者規模別,,６～９人,23,52.2,34.8,26.1,17.4,26.1,21.7,13.0,26.1,17.4,4.3,0.0,4.3
従業者規模別,,10～49人,60,53.3,18.3,20.0,30.0,28.3,33.3,21.7,15.0,25.0,11.7,0.0,3.3
従業者規模別,,50人以上,10,40.0,40.0,50.0,50.0,40.0,40.0,30.0,20.0,50.0,10.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,43,51.2,27.9,23.3,32.6,37.2,20.9,16.3,2.3,27.9,9.3,0.0,2.3
取引形態別,一次卸,他部門直取引卸,15,53.3,20.0,46.7,40.0,13.3,20.0,20.0,13.3,6.7,6.7,0.0,6.7
取引形態別,一次卸,元卸,24,50.0,33.3,33.3,33.3,33.3,25.0,33.3,29.2,16.7,8.3,0.0,4.2
取引形態別,二次卸,中間卸,6,33.3,16.7,16.7,16.7,0.0,33.3,50.0,33.3,33.3,16.7,0.0,0.0
取引形態別,二次卸,最終卸,17,47.1,11.8,0.0,5.9,35.3,52.9,11.8,23.5,35.3,5.9,5.9,11.8
取引形態別,その他,製造問屋,2,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0
取引形態別,その他,その他卸,7,28.6,42.9,28.6,28.6,28.6,28.6,0.0,28.6,0.0,0.0,0.0,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,36,55.6,22.2,22.2,22.2,33.3,38.9,16.7,5.6,19.4,5.6,2.8,5.6
年間売上高増減別（3年前）,,やや増加（10％未満）,27,40.7,29.6,22.2,25.9,18.5,33.3,29.6,25.9,29.6,14.8,0.0,3.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,14,50.0,14.3,14.3,35.7,14.3,14.3,21.4,35.7,28.6,0.0,0.0,7.1
年間売上高増減別（3年前）,,やや減少（10％未満）,15,26.7,13.3,26.7,26.7,46.7,20.0,13.3,0.0,20.0,13.3,6.7,6.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,26,53.8,38.5,34.6,38.5,34.6,19.2,19.2,15.4,15.4,3.8,0.0,3.8
売上高経常利益率別,,黒字（プラス）,88,48.9,21.6,25.0,25.0,30.7,30.7,20.5,15.9,25.0,6.8,1.1,4.5
売上高経常利益率別,,赤字（マイナス）,26,42.3,42.3,26.9,42.3,30.8,23.1,23.1,15.4,15.4,7.7,3.8,3.8
経常損益の変化別（3年前）,,増益,54,51.9,24.1,22.2,31.5,31.5,27.8,18.5,11.1,29.6,9.3,0.0,3.7
経常損益の変化別（3年前）,,横ばい,25,44.0,20.0,12.0,20.0,28.0,36.0,24.0,16.0,24.0,0.0,8.0,12.0
経常損益の変化別（3年前）,,減益,39,43.6,30.8,35.9,30.8,28.2,23.1,20.5,20.5,10.3,10.3,0.0,2.6
