学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,2,x,x,x,-,-,-,-
学歴計,22～24歳,49,1.1,222811,3069467,57,1.2,238884,3037469
学歴計,25～29歳,242,3.4,290567,4512936,144,3.3,282369,4247913
学歴計,30～34歳,173,6,374251,5377030,102,5.5,324379,4939456
学歴計,35～39歳,215,9.5,394592,6125159,89,7.9,343280,5137342
学歴計,40～44歳,290,12.4,419526,6428448,71,8.3,478324,6979716
学歴計,45～49歳,234,14.8,469252,6872039,51,12.5,421444,6027655
学歴計,50～54歳,183,20.2,548126,8144419,47,12.2,480805,7394713
学歴計,55～59歳,128,23.4,563512,8034146,20,17.6,516751,9006231
学歴計,60歳以上,56,25.1,522206,7037685,6,28.5,571000,7782375
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,2,x,x,x
高校卒,25～29歳,7,3.1,288543,3569588,-,-,-,-
高校卒,30～34歳,7,11.1,326357,4002200,1,x,x,x
高校卒,35～39歳,7,11,398771,5259643,2,x,x,x
高校卒,40～44歳,16,9.8,400449,6015664,13,4.8,386662,5409350
高校卒,45～49歳,24,13.8,454656,6292971,4,x,x,x
高校卒,50～54歳,8,16.6,506196,6712988,4,x,x,x
高校卒,55～59歳,5,19.2,390680,4928560,2,x,x,x
高校卒,60歳以上,-,-,-,-,-,-,-,-
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,4,x,x,x,-,-,-,-
高専・短大卒,30～34歳,6,5.3,414267,5101600,3,x,x,x
高専・短大卒,35～39歳,12,14.3,373329,6305067,6,6.3,313833,3464467
高専・短大卒,40～44歳,2,x,x,x,3,x,x,x
高専・短大卒,45～49歳,2,x,x,x,2,x,x,x
高専・短大卒,50～54歳,4,x,x,x,8,6.8,437187,7340600
高専・短大卒,55～59歳,2,x,x,x,4,x,x,x
高専・短大卒,60歳以上,-,-,-,-,-,-,-,-
専門学校卒,20～21歳,2,x,x,x,-,-,-,-
専門学校卒,22～24歳,6,2,240000,3878267,-,-,-,-
専門学校卒,25～29歳,17,5,292300,5080600,8,5,319884,5170991
専門学校卒,30～34歳,15,9.2,305171,5389573,8,5.9,259591,3926525
専門学校卒,35～39歳,43,9,343799,5346720,19,6.5,287039,4404878
専門学校卒,40～44歳,71,15.8,359888,5575510,-,-,-,-
専門学校卒,45～49歳,49,15.1,433994,6422971,3,x,x,x
専門学校卒,50～54歳,35,25.1,422736,8368377,4,x,x,x
専門学校卒,55～59歳,22,20.2,480246,7085822,-,-,-,-
専門学校卒,60歳以上,2,x,x,x,3,x,x,x
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,43,0.9,220413,2799867,55,1.2,238334,3037469
大学卒,25～29歳,214,3.3,290917,4510939,136,3.2,279909,4193077
大学卒,30～34歳,145,5.5,382757,5469463,87,5.7,334797,5144421
大学卒,35～39歳,153,9.3,410986,6377383,62,8.5,364945,5584390
大学卒,40～44歳,199,11.2,442384,6799950,55,9.3,499718,7334850
大学卒,45～49歳,159,14.8,483729,7133226,42,11.4,435391,6397615
大学卒,50～54歳,133,19,585517,8174347,31,13.2,481661,7675124
大学卒,55～59歳,96,23.6,595149,8411682,14,19.3,489450,9761533
大学卒,60歳以上,54,25.7,532538,6974158,3,x,x,x
