表側１,表側２,表側３,回答企業数(件),販売先の新規開拓(％),支払条件交渉(％),営業活動(％),販売コスト(％),価格交渉力(％),同業者との差別化(％),商品アイテム数が過多(％),商品アイテム数が過少(％),インターネット販売への対応(％),販売先の情報収集(％),販売先へのきめ細かいサービス・販促支援(％),商品価格の柔軟な変更(％),流行（トレンド）の把握(％),販売ロスの削減(％),返品削減に向けた販売先への対応(％),キャッシュレス化への対応(％),その他(％),特になし(％),無回答(％)
,,"今回調査
（全体）",767,53.2,8.5,38.2,18.8,16.7,31.0,3.1,3.8,19.9,13.2,17.6,9.0,11.1,8.5,3.8,3.5,0.9,10.0,4.8
業種別,,食料品卸売業,213,54.5,8.0,33.8,16.4,16.0,25.8,3.8,2.8,19.7,14.6,20.7,11.7,9.4,14.6,0.9,4.7,1.4,8.9,4.7
業種別,,生鮮食品卸売業,91,52.7,7.7,28.6,14.3,15.4,24.2,0.0,3.3,17.6,12.1,17.6,12.1,9.9,20.9,1.1,5.5,0.0,9.9,7.7
業種別,,加工食品等卸売業,122,55.7,8.2,37.7,18.0,16.4,27.0,6.6,2.5,21.3,16.4,23.0,11.5,9.0,9.8,0.8,4.1,2.5,8.2,2.5
業種別,,衣料品関連卸売業,111,56.8,11.7,42.3,19.8,18.0,30.6,4.5,0.9,31.5,12.6,15.3,10.8,21.6,10.8,10.8,1.8,0.9,3.6,7.2
業種別,,住関連卸売業,155,51.6,6.5,41.3,19.4,15.5,31.6,4.5,7.1,14.8,14.2,14.8,4.5,4.5,3.9,1.3,1.3,0.6,9.7,7.1
業種別,,その他卸売業,270,52.2,8.1,38.5,20.0,17.8,34.8,1.5,3.7,18.1,11.9,17.8,7.8,11.5,5.2,4.1,4.8,0.7,13.3,3.0
従業者規模別,,１～５人,406,46.1,5.9,32.0,15.5,13.5,26.1,2.7,4.9,15.8,9.1,14.5,9.1,9.4,6.4,2.5,3.4,1.2,14.0,5.7
従業者規模別,,６～９人,119,52.1,8.4,45.4,24.4,17.6,32.8,0.8,4.2,20.2,15.1,19.3,9.2,10.9,10.1,5.0,1.7,0.0,4.2,7.6
従業者規模別,,10～49人,192,64.6,12.0,45.8,20.8,21.4,38.0,5.2,1.6,26.0,21.4,19.8,9.4,13.0,11.5,4.7,5.2,1.0,6.8,2.1
従業者規模別,,50人以上,28,78.6,14.3,50.0,21.4,32.1,57.1,7.1,0.0,39.3,10.7,25.0,7.1,28.6,14.3,14.3,3.6,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,55.5,10.0,38.4,20.5,10.9,30.1,5.2,2.6,27.1,10.0,19.2,7.9,13.1,9.6,5.7,2.6,2.2,7.0,5.7
取引形態別,一次卸,他部門直取引卸,67,65.7,11.9,41.8,22.4,17.9,31.3,1.5,9.0,13.4,22.4,26.9,7.5,10.4,6.0,0.0,3.0,0.0,11.9,3.0
取引形態別,一次卸,元卸,127,55.9,7.9,40.9,17.3,18.9,35.4,2.4,3.9,16.5,11.8,15.0,9.4,15.0,6.3,6.3,0.8,0.0,7.1,4.7
取引形態別,二次卸,中間卸,93,54.8,5.4,35.5,20.4,22.6,24.7,0.0,2.2,19.4,12.9,11.8,3.2,5.4,7.5,2.2,3.2,1.1,16.1,2.2
取引形態別,二次卸,最終卸,131,47.3,9.2,32.1,21.4,19.1,31.3,4.6,3.8,21.4,12.2,19.8,15.3,7.6,12.2,1.5,9.2,0.0,7.6,5.3
取引形態別,その他,製造問屋,20,50.0,5.0,55.0,5.0,30.0,40.0,0.0,5.0,10.0,10.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,5.0,5.0
