,,時間がとれない,育成コストが負担,育成方法がわからない,教えた技術がすぐに陳腐化する,人材が定着しない,対象人材に意欲がない,教える側の人材・ノウハウ不足,その他,特に問題はない,人材育成が必要な対象者がいない,無回答,n
, 今回調査（全体）,32.3 ,17.8 ,7.2 ,3.7 ,11.4 ,13.2 ,18.9 ,1.7 ,29.6 ,6.5 ,3.0 ,1382
業種別,情報・コンテンツ業,35.0 ,24.5 ,6.6 ,6.6 ,11.9 ,10.9 ,21.6 ,1.5 ,25.0 ,7.3 ,2.2 ,412
業種別,専門サービス業,31.4 ,10.2 ,6.1 ,2.4 ,5.8 ,13.9 ,14.4 ,2.4 ,35.3 ,5.8 ,3.2 ,411
業種別,技術サービス業,41.4 ,19.4 ,6.3 ,1.0 ,12.6 ,14.1 ,19.4 ,1.6 ,28.8 ,4.7 ,2.1 ,191
業種別,事業サービス業,25.5 ,17.0 ,10.0 ,3.5 ,17.3 ,15.2 ,21.1 ,1.2 ,28.7 ,7.3 ,3.8 ,341
特定10業種,ソフトウェア業,34.7 ,34.2 ,8.0 ,9.0 ,11.6 ,9.5 ,22.1 ,0.0 ,25.6 ,6.0 ,1.0 ,199
特定10業種,インターネット附随サービス業,33.3 ,20.0 ,10.0 ,6.7 ,10.0 ,13.3 ,23.3 ,0.0 ,26.7 ,6.7 ,0.0 ,30
特定10業種,映像情報制作・配給業,34.9 ,14.0 ,4.7 ,4.7 ,20.9 ,16.3 ,23.3 ,2.3 ,25.6 ,7.0 ,0.0 ,43
特定10業種,出版業,27.0 ,8.1 ,5.4 ,0.0 ,0.0 ,8.1 ,13.5 ,2.7 ,24.3 ,18.9 ,5.4 ,37
特定10業種,税理士事務所,35.0 ,7.1 ,7.9 ,2.9 ,5.7 ,19.3 ,15.0 ,2.1 ,27.9 ,5.7 ,5.0 ,140
特定10業種,デザイン業,22.9 ,16.7 ,8.3 ,4.2 ,10.4 ,12.5 ,22.9 ,6.3 ,25.0 ,8.3 ,2.1 ,48
特定10業種,経営コンサルタント業,35.6 ,15.3 ,3.4 ,1.7 ,3.4 ,11.9 ,15.3 ,1.7 ,39.0 ,6.8 ,5.1 ,59
特定10業種,建築設計業,48.5 ,19.6 ,6.2 ,1.0 ,10.3 ,13.4 ,18.6 ,2.1 ,25.8 ,2.1 ,2.1 ,97
特定10業種,自動車整備業,19.2 ,3.8 ,11.5 ,3.8 ,3.8 ,19.2 ,11.5 ,0.0 ,38.5 ,11.5 ,3.8 ,26
特定10業種,建物サービス業,23.8 ,16.3 ,10.0 ,1.3 ,17.5 ,21.3 ,25.0 ,2.5 ,26.3 ,7.5 ,3.8 ,80
従業者規模別,1～2人,23.9 ,12.3 ,6.1 ,2.5 ,3.1 ,14.1 ,10.4 ,0.6 ,33.7 ,15.3 ,2.5 ,163
従業者規模別,3～5人,27.5 ,11.7 ,4.3 ,3.6 ,5.6 ,11.7 ,10.6 ,2.5 ,37.0 ,9.9 ,2.9 ,443
従業者規模別,6～9人,26.7 ,16.9 ,7.6 ,3.4 ,9.7 ,14.0 ,16.1 ,1.7 ,36.9 ,3.8 ,3.8 ,236
従業者規模別,10～29人,42.0 ,27.7 ,10.2 ,5.1 ,18.8 ,14.3 ,26.4 ,1.0 ,19.1 ,3.2 ,3.2 ,314
従業者規模別,30人以上,40.4 ,22.1 ,9.1 ,2.9 ,20.7 ,13.0 ,35.1 ,1.0 ,18.8 ,1.0 ,2.4 ,208
年間売上高増減別（３年前）,大幅(10％以上)増加,40.0 ,17.6 ,12.4 ,0.6 ,10.6 ,14.1 ,25.9 ,0.6 ,30.6 ,4.1 ,2.4 ,170
年間売上高増減別（３年前）,やや(10％未満)増加,38.6 ,17.5 ,9.4 ,2.9 ,12.9 ,14.6 ,22.8 ,0.6 ,26.9 ,4.7 ,1.8 ,171
