表側１,表側２,表側３,回答企業数(件),１％未満(％),１～３％未満(％),３～10％未満(％),10～30％未満(％),30％以上(％),無回答(％)
,,"今回調査
（全体）",190,35.3,20.0,22.6,13.7,8.4,0.0
業種別,,食料品卸売業,46,43.5,21.7,17.4,8.7,8.7,0.0
業種別,,生鮮食品卸売業,11,54.5,27.3,9.1,9.1,0.0,0.0
業種別,,加工食品等卸売業,35,40.0,20.0,20.0,8.6,11.4,0.0
業種別,,衣料品関連卸売業,40,40.0,17.5,15.0,17.5,10.0,0.0
業種別,,住関連卸売業,29,31.0,10.3,31.0,20.7,6.9,0.0
業種別,,その他卸売業,67,32.8,19.4,26.9,11.9,9.0,0.0
従業者規模別,,１～５人,67,25.4,23.9,25.4,17.9,7.5,0.0
従業者規模別,,６～９人,37,40.5,18.9,13.5,13.5,13.5,0.0
従業者規模別,,10～49人,67,41.8,16.4,22.4,10.4,9.0,0.0
従業者規模別,,50人以上,17,35.3,17.6,35.3,11.8,0.0,0.0
取引形態別,一次卸,小売直取引卸,71,29.6,21.1,21.1,18.3,9.9,0.0
取引形態別,一次卸,他部門直取引卸,12,41.7,16.7,16.7,16.7,8.3,0.0
取引形態別,一次卸,元卸,47,38.3,19.1,25.5,8.5,8.5,0.0
取引形態別,二次卸,中間卸,14,35.7,14.3,42.9,7.1,0.0,0.0
取引形態別,二次卸,最終卸,24,37.5,16.7,16.7,16.7,12.5,0.0
取引形態別,その他,製造問屋,4,75.0,0.0,0.0,25.0,0.0,0.0
取引形態別,その他,その他卸,9,66.7,11.1,22.2,0.0,0.0,0.0
