学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,18,0.9,220708,3240500,12,0,202867,-
学歴計,22～24歳,14,1.7,211174,3256050,19,1.2,213849,2894517
学歴計,25～29歳,60,3.5,276329,3650444,44,3.3,231743,3686048
学歴計,30～34歳,80,6.4,306637,4361475,30,3.7,242853,3724445
学歴計,35～39歳,94,6.6,309431,4549974,10,11.2,257392,3661400
学歴計,40～44歳,140,9.8,341808,5130273,29,7.8,298700,4842675
学歴計,45～49歳,246,10.2,327850,4723996,37,10.2,302172,4801667
学歴計,50～54歳,336,11.2,312943,4451914,29,12.1,301584,4215407
学歴計,55～59歳,292,11.9,307148,4221355,27,17.7,367562,5571838
学歴計,60歳以上,448,11.4,275044,3397180,10,25.4,239494,3900150
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,3,x,x,x,-,-,-,-
中学卒,30～34歳,1,x,x,x,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,8,10.8,376548,5184375,-,-,-,-
中学卒,45～49歳,17,9.2,310905,4113324,-,-,-,-
中学卒,50～54歳,17,8.8,292066,4405282,-,-,-,-
中学卒,55～59歳,10,14.8,261333,3936890,-,-,-,-
中学卒,60歳以上,16,8.9,278409,3394562,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,6,2.3,217333,3240500,-,-,-,-
高校卒,22～24歳,6,2.3,239822,3325000,1,x,x,x
高校卒,25～29歳,11,3.6,283742,4367950,2,x,x,x
高校卒,30～34歳,16,4.4,353362,4101927,4,x,x,x
高校卒,35～39歳,26,5.5,288289,4171504,4,x,x,x
高校卒,40～44歳,50,8.7,335645,5402543,3,x,x,x
高校卒,45～49歳,100,9,307276,4699108,8,7,284442,3752188
高校卒,50～54歳,162,11.4,305038,4303546,17,12.4,297130,3809318
高校卒,55～59歳,162,12.7,314366,4327477,9,12.4,319761,3900033
高校卒,60歳以上,274,11.7,264079,3241190,6,28.2,253773,3980017
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,4,x,x,x
高専・短大卒,22～24歳,-,-,-,-,2,x,x,x
高専・短大卒,25～29歳,-,-,-,-,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,2,x,x,x
高専・短大卒,35～39歳,3,x,x,x,-,-,-,-
高専・短大卒,40～44歳,2,x,x,x,6,3.7,264667,3899300
高専・短大卒,45～49歳,16,14,241961,4561550,12,13.8,317205,4947992
高専・短大卒,50～54歳,11,10.1,186551,3640655,3,x,x,x
高専・短大卒,55～59歳,16,8.9,231868,3995069,8,17.9,422345,7705960
高専・短大卒,60歳以上,17,14,212074,3362982,-,-,-,-
専門学校卒,20～21歳,9,0.2,189867,-,8,0,199950,-
専門学校卒,22～24歳,6,1.7,186067,3187100,4,x,x,x
専門学校卒,25～29歳,15,5.3,196114,3103593,4,x,x,x
専門学校卒,30～34歳,9,8.8,247733,3813456,5,4.6,251900,3954240
専門学校卒,35～39歳,21,5.9,339902,4617475,1,x,x,x
専門学校卒,40～44歳,23,12.7,321547,4761890,4,x,x,x
専門学校卒,45～49歳,43,13.7,340435,4863944,5,12.2,269846,5131600
専門学校卒,50～54歳,38,16.5,398922,5731261,6,15.2,285003,5130650
専門学校卒,55～59歳,21,9.4,295025,3733300,2,x,x,x
専門学校卒,60歳以上,41,9.7,331892,3901871,-,-,-,-
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,2,x,x,x,12,0.8,216603,2899267
大学卒,25～29歳,14,3.3,251126,4177300,38,3.5,231493,3698690
大学卒,30～34歳,24,5.5,302591,4595339,19,3.3,245833,3911936
大学卒,35～39歳,30,8.3,336640,5103777,5,10.8,283984,3681620
大学卒,40～44歳,40,10.7,353057,5229703,16,8.6,311336,5105920
大学卒,45～49歳,33,12.5,384624,5573064,12,8,312428,5255327
大学卒,50～54歳,74,10.1,316328,4489875,2,x,x,x
大学卒,55～59歳,62,11.5,322959,4271780,8,24.6,373645,6011388
大学卒,60歳以上,57,12.2,271409,3538420,4,x,x,x
