表側１,表側２,表側３,回答企業数(件),20％未満(%),20～40％未満(%),40～60％未満(%),60～80％未満(%),80～100％未満(%),100％(%),無回答(%)
,,今回調査（全体）,2141,4.1,6.2,10.8,11.7,21.4,23.7,22.1
業種別,,総合商品小売業,189,1.6,12.7,29.6,28.0,5.3,2.6,20.1
業種別,,生鮮食品小売業,134,2.2,6.0,1.5,4.5,18.7,37.3,29.9
業種別,,食料品関連小売業,535,2.4,1.3,8.0,10.5,22.4,33.8,21.5
業種別,,衣料品関連小売業,298,4.4,12.4,11.1,12.1,18.1,20.5,21.5
業種別,,住関連小売業,167,9.0,4.8,7.2,11.4,29.9,14.4,23.4
業種別,,その他小売業,773,5.2,5.8,10.7,10.1,23.8,22.8,21.6
従業者規模別,,１～２人,1066,2.8,4.3,7.4,7.9,21.9,34.2,21.5
従業者規模別,,３～５人,486,5.1,4.7,8.2,13.8,25.9,19.1,23.0
従業者規模別,,６～19人,336,6.0,12.5,15.5,17.0,19.3,8.9,20.8
従業者規模別,,20人以上,170,6.5,7.6,27.6,22.9,11.8,1.8,21.8
年間売上高増減別（3年前）,,増加（５％以上）,227,5.7,12.3,20.7,17.6,18.1,5.7,19.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,3.9,6.5,14.1,15.5,19.8,19.4,20.6
年間売上高増減別（3年前）,,やや減少（10％未満）,450,4.4,4.0,10.0,10.2,22.2,26.4,22.7
年間売上高増減別（3年前）,,減少（20％未満）,434,2.8,4.8,6.9,10.6,25.1,27.0,22.8
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,3.1,7.0,6.1,7.2,21.6,30.8,24.3
売上高経常利益率別,,黒字（プラス）,1093,4.8,7.4,12.3,13.7,21.5,19.2,21.1
売上高経常利益率別,,赤字（マイナス）,838,3.5,5.1,9.9,10.5,21.1,28.2,21.7
経常損益の変化別（3年前）,,増益,316,6.0,12.0,13.6,11.7,24.4,12.3,19.9
経常損益の変化別（3年前）,,横ばい,702,4.0,5.4,11.1,13.8,20.1,23.6,21.9
経常損益の変化別（3年前）,,減益,999,3.5,5.3,10.0,10.5,21.8,26.1,22.7
代表者の年齢別,,40歳未満,43,7.0,7.0,27.9,23.3,9.3,11.6,14.0
代表者の年齢別,,40歳代,185,6.5,8.1,20.0,16.2,20.0,7.6,21.6
代表者の年齢別,,50歳代,458,6.6,9.4,10.9,14.8,23.4,15.1,19.9
代表者の年齢別,,60歳代,514,3.7,6.6,12.3,12.3,23.0,22.6,19.6
代表者の年齢別,,70歳以上,916,2.6,3.8,7.3,8.7,20.5,32.8,24.2
