表側１,表側２,表側３,回答企業数(件),財務会計管理(％),人事・労務管理(％),在庫管理(％),受発注業務・管理(％),顧客・販売管理(％),売上・経営分析(％),自企業のサイトによる販売(％),インターネットショッピングモールへの出店(％),ホームページによる商品情報の発信(％),ＳＮＳによる商品情報の発信(％),需要予測(％),顧客支払決済システム(％),インターネットを利用した金融サービス(％),連絡ツール（電子メール・企業内ＳＮＳ等）(％),Ｗｅｂを通じた会議・商談(％),テレワーク(％),その他(％),取り組んでいない(％),無回答(％)
,,"今回調査
（全体）",767,35.9,7.7,24.4,25.3,30.6,17.1,12.4,9.5,24.3,12.5,1.0,5.9,15.4,29.9,23.2,15.4,0.1,24.8,2.1
業種別,,食料品卸売業,213,35.2,5.6,22.5,23.5,31.5,18.8,8.0,7.5,15.5,7.0,1.9,4.7,11.7,25.4,16.0,9.4,0.0,24.9,2.8
業種別,,生鮮食品卸売業,91,29.7,4.4,25.3,18.7,30.8,15.4,3.3,8.8,9.9,7.7,2.2,6.6,8.8,19.8,11.0,6.6,0.0,31.9,4.4
業種別,,加工食品等卸売業,122,39.3,6.6,20.5,27.0,32.0,21.3,11.5,6.6,19.7,6.6,1.6,3.3,13.9,29.5,19.7,11.5,0.0,19.7,1.6
業種別,,衣料品関連卸売業,111,31.5,8.1,23.4,27.9,30.6,21.6,20.7,14.4,23.4,26.1,0.0,8.1,29.7,32.4,23.4,16.2,0.0,24.3,3.6
業種別,,住関連卸売業,155,36.1,12.9,23.9,29.0,27.1,14.2,8.4,6.5,29.0,5.8,1.3,7.7,14.8,32.9,27.1,20.6,0.0,27.1,1.9
業種別,,その他卸売業,270,39.3,6.3,27.0,24.8,33.3,16.3,14.4,11.1,28.9,14.8,0.7,5.2,13.3,32.2,27.0,17.8,0.4,22.6,1.1
従業者規模別,,１～５人,406,29.1,2.5,15.3,15.0,20.4,13.8,8.4,5.4,18.0,7.9,0.7,2.2,11.3,19.5,11.1,7.9,0.0,35.0,3.2
従業者規模別,,６～９人,119,41.2,10.1,26.9,26.9,37.8,17.6,18.5,10.9,28.6,12.6,1.7,7.6,15.1,41.2,24.4,14.3,0.8,12.6,1.7
従業者規模別,,10～49人,192,45.3,13.0,37.5,40.6,44.8,22.9,15.1,15.6,34.9,18.8,1.0,13.0,23.4,39.6,43.2,28.6,0.0,10.4,0.5
従業者規模別,,50人以上,28,57.1,39.3,60.7,67.9,53.6,25.0,32.1,21.4,28.6,39.3,3.6,7.1,25.0,60.7,60.7,42.9,0.0,14.3,0.0
取引形態別,一次卸,小売直取引卸,229,35.8,5.7,24.0,21.4,26.6,13.5,17.0,10.5,27.1,19.7,1.3,4.8,17.9,30.6,23.1,15.7,0.0,22.3,3.5
取引形態別,一次卸,他部門直取引卸,67,50.7,16.4,32.8,38.8,38.8,28.4,7.5,10.4,32.8,3.0,1.5,9.0,22.4,61.2,41.8,31.3,0.0,13.4,0.0
取引形態別,一次卸,元卸,127,44.1,15.7,29.1,36.2,37.0,17.3,16.5,11.0,35.4,19.7,2.4,9.4,17.3,34.6,37.0,26.0,0.8,17.3,0.0
取引形態別,二次卸,中間卸,93,30.1,3.2,30.1,22.6,31.2,18.3,7.5,8.6,10.8,3.2,0.0,4.3,8.6,14.0,9.7,3.2,0.0,40.9,1.1
取引形態別,二次卸,最終卸,131,30.5,5.3,19.1,22.9,29.8,20.6,7.6,10.7,16.8,6.1,0.8,5.3,13.0,22.9,14.5,9.2,0.0,26.7,1.5
取引形態別,その他,製造問屋,20,50.0,0.0,15.0,15.0,40.0,15.0,10.0,0.0,15.0,10.0,0.0,0.0,15.0,15.0,15.0,5.0,0.0,35.0,0.0
取引形態別,その他,その他卸,65,29.2,6.2,20.0,21.5,26.2,15.4,10.8,4.6,18.5,10.8,0.0,6.2,15.4,38.5,21.5,16.9,0.0,27.7,6.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,38.3,14.2,29.2,38.3,45.8,17.5,18.3,9.2,32.5,18.3,2.5,10.0,20.8,45.0,40.8,26.7,0.8,12.5,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,41.7,6.5,33.3,26.9,39.8,22.2,12.0,10.2,26.9,13.0,1.9,7.4,21.3,31.5,19.4,14.8,0.0,17.6,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,43.5,10.4,26.0,26.0,29.2,18.2,9.7,6.5,22.1,7.8,0.0,5.2,16.2,29.2,19.5,13.0,0.0,24.7,0.6
年間売上高増減別（3年前）,,やや減少（10％未満）,124,30.6,5.6,21.0,21.8,25.0,16.1,9.7,7.3,18.5,11.3,0.8,2.4,10.5,23.4,18.5,11.3,0.0,29.0,3.2
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,31.8,4.7,19.7,21.0,24.5,15.0,12.4,12.9,22.3,12.4,0.9,5.6,12.4,26.2,19.7,13.3,0.0,31.3,4.3
売上高経常利益率別,,黒字（プラス）,462,40.5,10.6,28.8,30.7,36.4,20.6,13.6,9.3,26.4,14.1,1.5,6.9,16.9,35.9,28.4,19.5,0.2,19.3,1.1
売上高経常利益率別,,赤字（マイナス）,271,29.5,3.3,18.1,17.3,22.5,11.8,10.7,10.0,21.8,8.9,0.4,4.4,12.9,21.4,14.4,9.2,0.0,33.2,3.3
経常損益の変化別（3年前）,,増益,197,41.6,11.7,31.5,34.0,36.5,19.3,17.3,10.7,33.0,18.8,1.5,8.6,19.3,40.1,32.5,19.8,0.5,19.8,1.5
経常損益の変化別（3年前）,,横ばい,240,33.8,6.3,23.8,19.6,30.4,15.8,10.0,7.9,22.1,8.3,0.8,5.8,14.2,24.6,18.8,13.3,0.0,26.3,1.7
