学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,26,0.7,199869,3047800,-,-,-,-
学歴計,20～21歳,55,1.5,214152,3423567,-,-,-,-
学歴計,22～24歳,102,2.5,259647,4346123,9,2.1,238747,3835333
学歴計,25～29歳,192,5.1,276762,4741349,31,3.8,231672,3652026
学歴計,30～34歳,159,7.2,315249,5421662,28,6.4,268977,4180457
学歴計,35～39歳,184,10.3,351512,6039765,27,8.4,273303,4146771
学歴計,40～44歳,185,11.9,386614,6440231,41,8.6,275272,4306345
学歴計,45～49歳,268,16.7,418783,7068869,57,11,289619,4476353
学歴計,50～54歳,254,17.5,453934,7335993,33,11.8,279565,4180827
学歴計,55～59歳,200,17.2,419714,6865981,19,22.2,366235,6098665
学歴計,60歳以上,200,18.5,402462,6364689,25,18.2,281145,4808921
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,2,x,x,x,-,-,-,-
中学卒,22～24歳,5,3.8,437900,5977240,-,-,-,-
中学卒,25～29歳,6,5,357114,5619900,-,-,-,-
中学卒,30～34歳,4,x,x,x,-,-,-,-
中学卒,35～39歳,6,7.5,377562,5701300,-,-,-,-
中学卒,40～44歳,7,10.4,405534,5999371,-,-,-,-
中学卒,45～49歳,14,14.6,420554,6458236,-,-,-,-
中学卒,50～54歳,13,15.5,441928,7475467,-,-,-,-
中学卒,55～59歳,16,8.9,348349,5404279,-,-,-,-
中学卒,60歳以上,10,15.8,441318,6316570,-,-,-,-
高校卒,18～19歳,26,0.7,199869,3047800,-,-,-,-
高校卒,20～21歳,41,1.8,214552,3536227,-,-,-,-
高校卒,22～24歳,45,3.8,254523,4439781,1,x,x,x
高校卒,25～29歳,82,6.5,273077,4828629,10,5.6,212200,3525180
高校卒,30～34歳,70,8.7,326056,5315308,10,4.4,271120,4139680
高校卒,35～39歳,72,11.1,339555,5921749,9,6,259889,3528625
高校卒,40～44歳,98,11.6,397231,6237087,15,10.9,287451,4224033
高校卒,45～49歳,123,16.9,400788,6745502,20,9.6,305175,4309740
高校卒,50～54歳,143,16.9,441126,6856533,15,11.5,289346,4179567
高校卒,55～59歳,105,16.8,403815,6356743,14,23.1,361363,6040775
高校卒,60歳以上,121,19.2,400634,6448394,15,16.9,310523,5240940
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,1,x,x,x,-,-,-,-
高専・短大卒,25～29歳,5,3.4,290600,4007240,3,x,x,x
高専・短大卒,30～34歳,8,6.8,310024,4837000,5,7.4,255000,3244100
高専・短大卒,35～39歳,8,11,362000,4900475,3,x,x,x
高専・短大卒,40～44歳,7,21.3,443429,6770671,7,4.6,254300,4004617
高専・短大卒,45～49歳,30,21.1,494159,7892213,19,11.5,265322,4627329
高専・短大卒,50～54歳,13,17.5,527477,8357092,6,18.3,256282,3980700
高専・短大卒,55～59歳,13,22.8,479269,7702746,-,-,-,-
高専・短大卒,60歳以上,17,15.8,457532,5865865,-,-,-,-
専門学校卒,20～21歳,10,0,219252,-,-,-,-,-
専門学校卒,22～24歳,20,1.6,235551,4053585,2,x,x,x
専門学校卒,25～29歳,33,5.2,286024,4731242,-,-,-,-
専門学校卒,30～34歳,12,7.4,294705,5457933,3,x,x,x
専門学校卒,35～39歳,33,12.7,369130,6212867,5,17,336440,5537060
専門学校卒,40～44歳,23,12.5,398143,6819074,4,x,x,x
専門学校卒,45～49歳,37,16.7,433597,7250416,7,21.4,307950,4164729
専門学校卒,50～54歳,36,23.2,493069,8372006,2,x,x,x
専門学校卒,55～59歳,22,21.1,494600,8138568,5,19.4,378900,6237600
専門学校卒,60歳以上,9,18.9,421333,7301989,5,11.2,259700,4168500
大学卒,20～21歳,2,x,x,x,-,-,-,-
大学卒,22～24歳,31,1.1,244191,3535011,6,1,236080,-
大学卒,25～29歳,66,3.4,268243,4607098,18,3.4,245934,3749600
大学卒,30～34歳,65,5.7,300544,5600040,10,8,288025,4978950
大学卒,35～39歳,59,8.8,350449,6338589,10,7.8,261770,3989375
大学卒,40～44歳,48,10.7,347947,6680116,15,9,276820,4566346
大学卒,45～49歳,58,14,407919,7388327,9,6.3,300889,5136300
大学卒,50～54歳,47,16,445680,7742030,10,10.2,278576,4306760
大学卒,55～59歳,42,17.9,439041,7786436,-,-,-,-
大学卒,60歳以上,43,18.1,374815,6118869,5,29,226206,4529400
