区分,集計企業数（社）, 支給あり／支給あり（社）, 支給あり／一律支給（社）, 支給あり／住宅の形態別支給（社）, 支給あり／その他（社）, 支給あり／無回答（社）,支給なし／支給なし（社）,支給なし／ 無回答（社）
調査産業計,876,308,164,59,84,1,568,0
建設業,71,34,13,12,9,0,37,0
製造業,207,92,54,14,24,0,115,0
情報通信業,58,19,12,1,6,0,39,0
運輸業，郵便業,42,11,9,0,2,0,31,0
卸売業，小売業,180,69,39,17,13,0,111,0
金融業，保険業,27,15,2,3,10,0,12,0
不動産業，物品賃貸業,16,9,4,2,3,0,7,0
学術研究，専門・技術サービス業,57,12,7,2,3,0,45,0
宿泊業，飲食サービス業,43,8,6,0,1,1,35,0
生活関連サービス業，娯楽業,34,8,3,2,3,0,26,0
教育，学習支援業(学校教育を除く）,30,5,3,1,1,0,25,0
医療，福祉,57,13,5,3,5,0,44,0
サービス業（他に分類されないもの）,54,13,7,2,4,0,41,0
10～49人,585,177,100,37,39,1,408,0
50～99人,188,79,44,8,27,0,109,0
100～299人,103,52,20,14,18,0,51,0
