表側１,表側２,表側３,回答企業数(件),優良な仕入先(%),商品の発掘・開発力(%),固定客の存在(%),新規顧客の獲得力(%),立地(%),充実した店舗機能(%),店名・出店サイトの知名度(%),広告宣伝力(%),附随的サービス（アフターケア等）の充実(%),顧客ニーズ等情報の収集・分析力(%),長時間営業・年中無休(%),高い従業員能力(%),安定した財務（潤沢な資金）(%),コスト管理力(%),取引金融機関の信頼(%),老舗（長年の経営）(%),その他(%),無回答(%)
,,"今回調査
（全体）",2141,37.7,14.1,66.4,7.6,29.8,4.4,9.2,5.1,8.9,5.7,9.4,12.7,3.5,3.4,4.1,28.6,3.1,4.3
,,前回調査,2003,38.6,14.5,68.8,5.3,25.8,3.1,7.9,3.8,11.0,6.1,9.5,12.6,2.1,2.1,4.1,35.8,3.9,3.8
業種別,,総合商品小売業,189,40.2,31.2,54.0,10.6,50.8,19.6,37.0,25.9,2.6,11.6,57.1,14.8,7.9,9.0,2.1,9.5,2.6,0.5
業種別,,生鮮食品小売業,134,58.2,10.4,68.7,10.4,30.6,3.0,3.0,3.0,1.5,4.5,2.2,11.2,4.5,1.5,5.2,33.6,3.7,1.5
業種別,,食料品関連小売業,535,33.6,15.0,69.9,6.7,21.9,1.9,6.2,3.0,3.2,3.2,4.5,8.6,3.4,3.9,3.6,32.9,3.2,5.6
業種別,,衣料品関連小売業,298,44.6,19.5,67.4,8.1,29.2,3.0,7.4,4.0,11.4,4.7,3.4,9.7,1.7,2.0,4.7,28.9,3.4,5.4
業種別,,住関連小売業,167,34.1,8.4,74.3,7.8,22.2,1.2,9.6,4.2,21.6,6.0,5.4,12.0,3.0,2.4,5.4,34.7,3.6,3.6
業種別,,その他小売業,773,34.2,9.4,64.6,6.6,32.3,4.0,6.3,2.7,11.8,6.1,5.4,16.6,3.0,2.8,4.3,28.6,3.0,4.5
従業者規模別,,１～２人,1066,33.3,10.5,67.0,4.6,22.0,1.5,3.8,2.2,10.6,3.8,4.5,3.9,1.2,1.6,2.0,28.3,4.3,6.0
従業者規模別,,３～５人,486,40.3,12.6,68.3,9.9,31.1,2.9,8.2,3.9,7.0,6.4,4.7,19.1,4.1,2.7,4.5,36.2,2.5,4.1
従業者規模別,,６～19人,336,42.0,18.2,68.8,11.6,45.5,9.5,16.1,9.2,7.4,6.5,20.5,23.8,6.0,6.3,6.0,24.7,1.8,1.5
従業者規模別,,20人以上,170,44.7,31.2,52.9,13.5,46.5,17.6,32.4,21.8,5.3,13.5,35.3,27.6,12.4,10.0,12.4,18.8,0.6,0.6
年間売上高増減別（3年前）,,増加（５％以上）,227,47.6,26.0,68.7,15.9,45.8,8.8,18.5,13.2,7.9,12.8,17.6,22.5,6.2,4.8,8.4,27.8,1.8,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,38.5,16.7,68.0,8.3,32.8,6.9,14.3,8.6,9.8,8.1,14.9,15.3,4.3,3.5,3.9,28.3,2.9,3.1
年間売上高増減別（3年前）,,やや減少（10％未満）,450,36.4,12.7,66.9,7.3,26.9,2.9,7.3,3.1,10.0,3.6,7.3,13.1,3.1,3.3,3.3,26.9,2.2,3.1
年間売上高増減別（3年前）,,減少（20％未満）,434,36.6,11.5,68.4,6.7,27.6,2.8,4.4,1.6,8.3,3.9,4.6,11.5,3.2,3.2,3.7,33.4,2.3,5.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,34.8,9.9,60.0,4.5,24.5,2.2,5.2,2.5,7.6,3.6,5.8,6.5,2.0,1.6,2.9,27.0,4.9,7.2
経常損益の変化別（3年前）,,増益,316,42.4,23.1,70.3,12.3,36.4,5.7,13.3,5.7,9.8,9.2,12.7,22.8,5.7,5.1,7.0,27.8,1.6,1.6
経常損益の変化別（3年前）,,横ばい,702,39.3,14.1,67.1,7.4,28.9,4.4,9.3,6.0,9.3,6.0,9.3,11.1,3.0,1.6,3.8,28.9,3.1,4.1
経常損益の変化別（3年前）,,減益,999,36.3,11.9,64.9,6.6,29.1,4.1,8.3,4.6,8.6,4.2,8.3,11.6,3.4,3.9,3.5,29.0,3.4,4.3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
