区分,再雇用制度採用企業数（社）,対象者／集計企業数（社）,対象者／集計企業数／希望者全員に適用（社）,対象者／集計企業数／労使協定で定めた基準に該当する者（社）,定年時と比較した賃金／集計企業数（社）,定年時と比較した賃金／集計企業数／定年時より低下（社）,定年時と比較した賃金／集計企業数／定年時と同一（社）,賃金低下率／集計企業数（社）,賃金低下率／集計企業数／10%未満（社）,賃金低下率／集計企業数／10%～20%未満（社）,賃金低下率／集計企業数／20%～30%未満（社）,賃金低下率／集計企業数／30%～40%未満（社）,賃金低下率／集計企業数／40%～50%未満（社）,賃金低下率／集計企業数／50%以上（社）
調査産業計,738,724,520,204,691,558,133,520,49,113,158,124,58,18
労組有,63,63,48,15,60,55,5,51,5,9,17,11,8,1
労組無,675,661,472,189,631,503,128,469,44,104,141,113,50,17
建設業,74,74,53,21,74,55,19,54,9,16,16,8,5,0
製造業,241,239,173,66,234,203,31,191,14,48,58,47,23,1
情報通信業,34,34,23,11,30,28,2,24,3,1,7,5,5,3
運輸業，郵便業,39,39,25,14,38,22,16,21,4,4,6,6,1,0
卸売業，小売業,119,113,86,27,109,88,21,86,3,18,22,31,8,4
金融業，保険業,37,36,26,10,36,31,5,28,0,4,11,7,5,1
不動産業，物品賃貸業,26,25,20,5,22,16,6,14,1,5,2,3,3,0
学術研究，専門・技術サービス業,38,37,25,12,27,21,6,17,2,6,3,4,1,1
宿泊業，飲食サービス業,19,18,10,8,17,13,4,12,5,0,4,0,1,2
生活関連サービス業，娯楽業,21,21,15,6,21,14,7,12,1,2,3,4,1,1
教育，学習支援業(学校教育を除く）,16,16,11,5,15,12,3,10,2,1,4,2,0,1
医療，福祉,23,21,18,3,19,12,7,11,3,1,3,3,1,0
サービス業（他に分類されないもの）,51,51,35,16,49,43,6,40,2,7,19,4,4,4
10～49人,434,424,302,122,407,320,87,299,31,71,85,75,30,7
50～99人,178,175,134,41,164,133,31,121,13,26,35,26,13,8
100～299人,126,125,84,41,120,105,15,100,5,16,38,23,15,3
