区分,集計企業数（社）,制度あり（社）,制度あり／利用者の有無／あり（社）,制度あり／利用者の有無／なし（社）,制度あり／利用者の有無／無回答（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年４月以降に導入（社）,制度あり／規定の整備状況／就業規則に記載済み／令和２年３月以前に導入（社）,制度あり／規定の整備状況／就業規則に記載していない／その他の社内規定に記載（社）,制度あり／規定の整備状況／就業規則に記載していない／今後記載する予定あり（社）,制度あり／規定の整備状況／就業規則に記載していない／記載するか未定（社）,制度あり／規定の整備状況／無回答（社）,制度あり／制度の内容／テレワーク用の勤怠管理ツールを利用（社）,制度あり／制度の内容／電話で確認（社）,制度あり／制度の内容／メールやチャットで確認（社）,制度あり／制度の内容／従業員の自主管理（自己申告制）（社）,制度あり／制度の内容／その他（社）,制度あり／制度の内容／無回答（社）,制度なし（社）,無回答（社）
調査産業計,876,315,275,39,1,161,35,49,18,45,7,89,5,88,93,23,17,561,0
労組有,63,19,17,2,0,8,2,3,1,5,0,4,0,3,11,0,1,44,0
労組無,813,296,258,37,1,153,33,46,17,40,7,85,5,85,82,23,16,517,0
建設業,71,20,17,3,0,10,1,3,1,4,1,3,1,5,8,1,2,51,0
製造業,207,73,63,9,1,43,7,9,2,11,1,19,0,21,26,4,3,134,0
情報通信業,58,41,40,1,0,19,8,10,1,3,0,13,0,15,7,6,0,17,0
運輸業，郵便業,42,9,7,2,0,5,0,1,0,2,1,4,0,1,4,0,0,33,0
卸売業，小売業,180,56,46,10,0,26,3,9,7,9,2,20,1,12,20,0,3,124,0
金融業，保険業,27,18,17,1,0,10,2,2,0,4,0,4,0,5,5,4,0,9,0
不動産業，物品賃貸業,16,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,14,0
学術研究，専門・技術サービス業,57,39,38,1,0,17,8,6,3,4,1,14,0,13,7,3,2,18,0
宿泊業，飲食サービス業,43,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,41,0
生活関連サービス業，娯楽業,34,11,9,2,0,6,1,1,1,2,0,3,1,3,1,1,2,23,0
教育，学習支援業（学校教育を除く）,30,14,12,2,0,5,3,2,2,2,0,3,1,2,6,1,1,16,0
医療，福祉,57,14,9,5,0,10,1,2,0,0,1,3,0,4,5,1,1,43,0
サービス業（他に分類されないもの）,54,16,13,3,0,7,1,4,0,4,0,2,1,5,4,2,2,38,0
10～49人,585,184,156,27,1,92,17,25,12,35,3,57,4,50,52,7,14,401,0
50～99人,188,80,71,9,0,44,11,13,6,3,3,21,0,24,20,12,3,108,0
100～299人,103,51,48,3,0,25,7,11,0,7,1,11,1,14,21,4,0,52,0
