,,都心（千代田、中央、港）,副都心（新宿、文京、渋谷、豊島）,城東（台東、墨田、荒川、江東、足立、葛飾、江戸川）,城南（品川、目黒、大田）,城北（北、板橋）,城西（世田谷、中野、杉並、練馬）,多摩地域,近県（神奈川、千葉、埼玉）,東京、近県以外の道府県,海外,無回答            ,ｎ
,今回調査（全体）,33.7 ,15.6 ,9.5 ,5.6 ,1.3 ,4.6 ,7.8 ,8.3 ,9.9 ,1.3 ,2.4 ,2348
,前回調査,34.6 ,15.1 ,9.5 ,5.8 ,1.5 ,5.0 ,9.9 ,7.2 ,7.6 ,0.8 ,3.0 ,2263 
業種別,情報・コンテンツ業,42.2 ,17.7 ,6.4 ,5.5 ,1.1 ,3.6 ,3.8 ,6.4 ,9.4 ,1.7 ,2.3 ,640 
業種別,専門サービス業,31.8 ,16.2 ,9.3 ,5.9 ,2.1 ,5.4 ,6.7 ,9.5 ,10.1 ,1.7 ,1.3 ,820 
業種別,技術サービス業,30.9 ,13.8 ,8.5 ,3.5 ,0.9 ,4.1 ,10.9 ,10.3 ,14.1 ,0.6 ,2.4 ,340 
業種別,事業サービス業,28.4 ,12.8 ,14.4 ,6.7 ,0.8 ,4.9 ,12.6 ,7.7 ,7.3 ,0.6 ,3.7 ,507 
特定10業種,ソフトウェア業,42.7 ,11.9 ,8.0 ,7.3 ,0.7 ,2.1 ,4.2 ,7.7 ,11.5 ,1.4 ,2.4 ,286 
特定10業種,インターネット附随サービス業,29.0 ,27.4 ,6.5 ,4.8 ,1.6 ,4.8 ,4.8 ,4.8 ,9.7 ,3.2 ,3.2 ,62 
特定10業種,映像情報制作・配給業,52.9 ,26.5 ,5.9 ,1.5 ,0.0 ,4.4 ,1.5 ,0.0 ,5.9 ,1.5 ,0.0 ,68 
特定10業種,出版業,34.5 ,21.8 ,5.5 ,5.5 ,3.6 ,3.6 ,1.8 ,7.3 ,7.3 ,0.0 ,9.1 ,55 
特定10業種,税理士事務所,23.9 ,11.0 ,12.4 ,10.1 ,4.6 ,6.9 ,11.0 ,12.4 ,6.9 ,0.0 ,0.9 ,218 
