表側１,表側２,表側３,回答企業数(件),リアルタイムでの在庫管理(％),需要予測精度の向上(％),受発注業務の迅速化(％),発送のリードタイムの短縮(％),在庫の温度・品質管理(％),流通加工機能の向上(％),営業部門と物流部門の連携の強化(％),業務改善に取り組む人材育成(％),専門の部署・担当者の設置(％),物流情報システムの導入・改廃(％),その他(％),特になし(％),無回答(％)
,,"今回調査
（全体）",767,20.5,18.1,25.6,10.8,10.7,4.7,9.1,10.3,2.6,5,2.6,34,2.3
,,前回調査,760,21.6,17.4,24.2,6.8,13.8,3.8,10.3,14.1,3.3,5.7,2.1,36.3,3.9
業種別,,食料品卸売業,213,22.5,19.7,30,10.8,25.4,5.2,6.6,10.8,2.3,4.7,2.8,24.9,2.8
業種別,,生鮮食品卸売業,91,17.6,14.3,26.4,7.7,33,5.5,5.5,14.3,2.2,2.2,2.2,27.5,3.3
業種別,,加工食品等卸売業,122,26.2,23.8,32.8,13.1,19.7,4.9,7.4,8.2,2.5,6.6,3.3,23,2.5
業種別,,衣料品関連卸売業,111,18.9,12.6,22.5,11.7,5.4,10.8,12.6,11.7,1.8,7.2,0.9,36.9,2.7
業種別,,住関連卸売業,155,16.8,13.5,19.4,14.2,5.8,3.2,9,8.4,5.8,4.5,2.6,38.1,2.6
業種別,,その他卸売業,270,20.7,21.9,26.3,9.3,4.8,3,10.4,10.7,1.5,4.8,3,36.7,1.9
従業者規模別,,１～５人,406,15.5,15,20.2,6.7,7.6,3,3,3.4,0.5,2.5,2.2,47.3,3.4
従業者規模別,,６～９人,119,16.8,20.2,30.3,17.6,15.1,10.1,8.4,15.1,1.7,5,4.2,18.5,1.7
従業者規模別,,10～49人,192,31.8,21.9,32.8,13.5,12.5,5.7,19.8,20.3,6.8,9.4,2.1,18.8,1
従業者規模別,,50人以上,28,32.1,17.9,39.3,21.4,21.4,0,28.6,25,7.1,14.3,7.1,10.7,0
取引形態別,一次卸,小売直取引卸,229,23.1,22.3,25.3,10.9,11.4,5.7,9.6,13.5,3.9,5.2,2.2,27.1,1.7
取引形態別,一次卸,他部門直取引卸,67,14.9,17.9,22.4,16.4,7.5,1.5,10.4,11.9,4.5,10.4,4.5,32.8,1.5
取引形態別,一次卸,元卸,127,22.8,25.2,25.2,11.8,8.7,4.7,10.2,10.2,3.1,5.5,3.1,33.1,0.8
取引形態別,二次卸,中間卸,93,24.7,10.8,28,5.4,11.8,2.2,7.5,8.6,2.2,7.5,0,43,2.2
取引形態別,二次卸,最終卸,131,19.1,16.8,34.4,13,17.6,7.6,9.9,10.7,0.8,3.8,3.8,26.7,2.3
取引形態別,その他,製造問屋,20,15,10,20,10,0,10,5,5,0,0,0,45,0
取引形態別,その他,その他卸,65,9.2,7.7,9.2,12.3,7.7,0,9.2,4.6,1.5,0,1.5,56.9,6.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,24.2,19.2,30,10.8,10,7.5,8.3,19.2,2.5,5,2.5,34.2,0.8
年間売上高増減別（3年前）,,やや増加（10％未満）,108,23.1,20.4,31.5,17.6,16.7,7.4,11.1,11.1,4.6,7.4,0.9,25.9,3.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,18.2,22.1,27.3,9.7,9.7,1.9,9.1,9.7,2.6,3.9,1.9,31.2,3.2
年間売上高増減別（3年前）,,やや減少（10％未満）,124,20.2,16.9,28.2,8.9,15.3,4.8,11.3,5.6,0.8,4.8,1.6,33.1,0.8
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,18.9,15.5,18,10.7,7.7,3.4,8.2,8.6,3,4.7,3.9,38.2,3
売上高経常利益率別,,黒字（プラス）,462,20.8,20.8,27.3,13.6,12.3,5.8,11,12.3,4.1,5.8,2.8,30.5,1.7
売上高経常利益率別,,赤字（マイナス）,271,18.8,14,22.9,7.4,8.5,3,6.6,7.4,0.4,3.3,2.2,39.5,2.6
経常損益の変化別（3年前）,,増益,197,24.4,17.8,29.4,12.7,10.7,4.6,11.2,18.3,6.1,6.6,2,30.5,1.5
経常損益の変化別（3年前）,,横ばい,240,17.5,20,24.2,10.8,12.5,5,8.3,5.8,1.3,2.9,2.1,34.2,4.2
経常損益の変化別（3年前）,,減益,305,19.7,17,23.9,10.5,10.2,4.9,8.9,8.9,1.6,5.9,3,35.4,1.3
