学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,1,x,x,x
学歴計,18～19歳,4,x,x,x,9,0.8,195000,-
学歴計,20～21歳,10,1,195328,2905000,7,1.6,-,-
学歴計,22～24歳,10,2.2,184812,2599800,15,1.5,151376,2496600
学歴計,25～29歳,41,2.2,229316,3221990,19,2.5,226506,2729750
学歴計,30～34歳,25,3.6,454323,4407388,33,2.5,208107,2823280
学歴計,35～39歳,10,4.2,223668,2993333,33,3.7,246286,2931788
学歴計,40～44歳,25,7.2,307854,4111707,48,6.6,265496,4668826
学歴計,45～49歳,43,7.5,437328,5382301,62,8.1,286142,3513430
学歴計,50～54歳,41,11.5,428292,5620359,46,7.7,249088,3205238
学歴計,55～59歳,59,9.6,364442,5266439,49,10.1,214325,2874523
学歴計,60歳以上,242,15.6,308487,4559111,92,15.8,236818,3554957
中学卒,～17歳,-,-,-,-,1,x,x,x
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,2,x,x,x,-,-,-,-
中学卒,45～49歳,2,x,x,x,2,x,x,x
中学卒,50～54歳,1,x,x,x,2,x,x,x
中学卒,55～59歳,2,x,x,x,-,-,-,-
中学卒,60歳以上,5,38.2,238021,3281500,2,x,x,x
高校卒,18～19歳,-,-,-,-,4,x,x,x
高校卒,20～21歳,8,1.3,196410,2905000,4,x,x,x
高校卒,22～24歳,5,1.6,184812,2599800,7,2.6,140532,2496600
高校卒,25～29歳,16,3.7,218471,3185913,10,3.6,208699,2608680
高校卒,30～34歳,8,3.3,187896,3072850,11,3.7,189722,2772919
高校卒,35～39歳,5,2.2,201135,3064000,9,3.3,214531,3145920
高校卒,40～44歳,8,8.1,261925,3514713,18,5.1,222389,3060929
高校卒,45～49歳,15,6.7,272741,3530554,22,7.7,248143,3295942
高校卒,50～54歳,17,15.8,289667,4005769,12,11.7,230254,2892883
高校卒,55～59歳,23,12.7,255695,4080761,28,10.4,220701,2937673
高校卒,60歳以上,104,14.6,275809,3876964,54,14.5,218783,2899145
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,1,x,x,x,1,x,x,x
高専・短大卒,25～29歳,2,x,x,x,2,x,x,x
高専・短大卒,30～34歳,2,x,x,x,4,x,x,x
高専・短大卒,35～39歳,-,-,-,-,11,3.5,244499,2852789
高専・短大卒,40～44歳,-,-,-,-,16,10.5,352015,7231708
高専・短大卒,45～49歳,3,x,x,x,13,8,239069,3322600
高専・短大卒,50～54歳,1,x,x,x,14,8.4,255010,3048070
高専・短大卒,55～59歳,-,-,-,-,9,9.6,216313,3141270
高専・短大卒,60歳以上,8,13.1,265849,3074088,11,18.3,241547,4334443
専門学校卒,20～21歳,1,x,x,x,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,3,x,x,x
専門学校卒,25～29歳,2,x,x,x,2,x,x,x
専門学校卒,30～34歳,2,x,x,x,3,x,x,x
専門学校卒,35～39歳,1,x,x,x,1,x,x,x
専門学校卒,40～44歳,3,x,x,x,4,x,x,x
専門学校卒,45～49歳,5,10.6,230554,3040480,7,2.9,254000,3435900
専門学校卒,50～54歳,6,21.5,391750,6400300,10,5,248225,3267700
専門学校卒,55～59歳,11,4.5,393818,5013489,7,8.4,207048,2533049
専門学校卒,60歳以上,15,19.3,288989,4856657,11,13.4,242962,3377240
大学卒,20～21歳,1,x,x,x,3,x,x,x
大学卒,22～24歳,4,x,x,x,4,x,x,x
大学卒,25～29歳,21,0.7,246231,4209200,5,1,254667,3055800
大学卒,30～34歳,13,4.5,529768,5026226,15,1.9,206115,2873642
大学卒,35～39歳,4,x,x,x,12,4.3,275261,2924130
大学卒,40～44歳,12,6.8,380191,5249873,10,2.7,249040,3293293
大学卒,45～49歳,16,4.3,742439,9425038,17,9.1,399644,4068427
大学卒,50～54歳,16,3,602696,7647955,8,4.4,290083,4473000
大学卒,55～59歳,21,7.3,502533,7018678,5,12.4,179314,2442333
大学卒,60歳以上,101,14.7,351876,5621948,12,20.3,291817,5800275
