表側１,表側２,表側３,回答企業数(件),品揃えの幅広さ(%),品揃えの深さ（専門性）(%),商材の発掘(%),新商品の企画・開発(%),顧客への品揃えの提案(%),顧客の売場づくり支援(%),顧客への販促提案(%),顧客への情報提供(%),短納期や納期の短縮化(%),小口受注・小口配送(%),多頻度配送(%),情報収集・分析(%),金融機能(%),他事業者との連携(%),業務の効率化・合理化(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",767,23.5,31.9,32.1,29.3,19.0,5.2,27.1,28.0,13.7,12.4,4.4,16.6,1.4,7.7,7.7,1.0,11.0,6.3
,,前回調査,760,21.2,34.6,34.1,30.3,20.8,5.3,26.2,30.8,11.6,13.9,5.8,15.1,1.3,8.3,14.7,1.3,12.0,2.0
業種別,,食料品卸売業,213,25.8,31.0,32.4,21.1,22.1,7.5,26.8,26.8,7.0,14.1,6.6,15.0,0.9,5.2,6.1,0.5,11.7,8.5
業種別,,生鮮食品卸売業,91,30.8,35.2,25.3,13.2,23.1,1.1,24.2,22.0,7.7,16.5,6.6,14.3,0.0,4.4,4.4,0.0,15.4,7.7
業種別,,加工食品等卸売業,122,22.1,27.9,37.7,27.0,21.3,12.3,28.7,30.3,6.6,12.3,6.6,15.6,1.6,5.7,7.4,0.8,9.0,9.0
業種別,,衣料品関連卸売業,111,25.2,36.0,28.8,45.0,27.9,6.3,27.9,21.6,16.2,16.2,1.8,19.8,3.6,8.1,5.4,2.7,6.3,9.0
業種別,,住関連卸売業,155,22.6,31.6,39.4,31.0,12.3,1.9,27.7,32.9,18.1,8.4,3.9,21.3,1.3,9.7,6.5,2.6,10.3,3.9
業種別,,その他卸売業,270,21.5,31.5,30.0,29.6,17.4,5.2,28.1,30.0,15.2,11.9,3.7,14.4,1.1,8.9,10.7,0.0,11.5,4.4
従業者規模別,,１～５人,406,18.2,27.8,25.9,21.2,16.5,2.2,21.2,22.9,12.1,12.1,4.2,13.5,1.0,5.7,4.2,1.2,16.7,7.6
従業者規模別,,６～９人,119,26.9,27.7,31.1,33.6,16.8,5.9,31.1,23.5,17.6,12.6,5.0,15.1,2.5,6.7,5.9,2.5,5.9,7.6
従業者規模別,,10～49人,192,32.3,43.2,45.8,42.2,24.0,7.8,34.4,38.5,14.6,13.0,4.7,22.9,2.1,10.4,13.5,0.0,2.6,3.1
従業者規模別,,50人以上,28,39.3,46.4,39.3,46.4,35.7,28.6,42.9,57.1,14.3,14.3,3.6,25.0,0.0,25.0,28.6,0.0,3.6,0.0
取引形態別,一次卸,小売直取引卸,229,24.9,34.5,34.5,37.1,21.8,8.3,24.9,23.6,12.2,12.7,3.5,14.8,1.7,7.0,4.4,1.3,8.7,5.2
取引形態別,一次卸,他部門直取引卸,67,26.9,40.3,53.7,34.3,22.4,1.5,19.4,50.7,19.4,19.4,9.0,31.3,3.0,16.4,11.9,3.0,4.5,3.0
取引形態別,一次卸,元卸,127,21.3,33.9,40.2,47.2,18.1,5.5,37.0,29.1,14.2,4.7,3.9,22.8,0.8,6.3,17.3,0.0,4.7,3.9
取引形態別,二次卸,中間卸,93,20.4,17.2,24.7,16.1,17.2,4.3,31.2,22.6,11.8,10.8,4.3,11.8,1.1,9.7,4.3,0.0,19.4,11.8
取引形態別,二次卸,最終卸,131,26.7,35.9,28.2,13.0,19.8,5.3,24.4,32.8,18.3,19.1,5.3,12.2,0.8,5.3,6.1,0.0,14.5,3.8
取引形態別,その他,製造問屋,20,0.0,20.0,10.0,35.0,10.0,0.0,10.0,25.0,15.0,5.0,0.0,15.0,5.0,5.0,5.0,10.0,5.0,10.0
取引形態別,その他,その他卸,65,18.5,29.2,21.5,16.9,12.3,3.1,36.9,24.6,7.7,10.8,3.1,13.8,1.5,9.2,7.7,0.0,15.4,10.8
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,24.2,38.3,39.2,37.5,21.7,8.3,33.3,34.2,14.2,10.8,4.2,26.7,1.7,10.8,10.8,2.5,2.5,6.7
年間売上高増減別（3年前）,,やや増加（10％未満）,108,26.9,39.8,38.0,25.9,23.1,2.8,25.0,32.4,14.8,7.4,3.7,23.1,1.9,7.4,13.9,0.9,8.3,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,27.3,34.4,30.5,32.5,21.4,4.5,26.6,33.1,16.9,14.9,5.8,17.5,1.3,9.7,4.5,0.6,7.8,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,124,26.6,28.2,28.2,27.4,14.5,4.0,27.4,21.0,12.9,11.3,5.6,8.9,0.0,5.6,6.5,0.8,12.9,9.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,18.5,24.9,30.0,27.9,17.2,5.2,25.3,24.9,11.2,14.6,3.0,13.3,2.1,6.9,6.4,0.9,15.5,7.3
売上高経常利益率別,,黒字（プラス）,462,25.1,35.3,38.3,32.9,21.0,6.3,29.7,32.7,15.2,11.7,4.8,19.0,1.7,8.9,9.1,0.9,6.9,5.2
売上高経常利益率別,,赤字（マイナス）,271,20.7,26.2,23.6,25.5,17.3,3.7,24.4,21.4,11.1,13.3,3.3,13.3,0.7,6.3,5.5,1.5,17.3,7.0
