区分,退職一時金制度導入企業数（社）,複数回答／社内準備（社）,複数回答／中小企業退職金共済制度（社）,複数回答／特定退職金共済制度（社）,複数回答／退職金保険（社）,複数回答／その他の社外準備（社）,複数回答／無回答（社）
調査産業計,689,427,341,31,80,43,3
労組有,59,39,22,1,7,7,0
労組無,630,388,319,30,73,36,3
建設業,74,42,41,5,8,3,0
製造業,231,143,134,7,37,21,1
情報通信業,28,20,11,1,6,3,0
運輸業，郵便業,32,20,11,0,2,6,0
卸売業，小売業,123,80,58,13,9,6,2
金融業，保険業,28,22,6,0,2,0,0
不動産業，物品賃貸業,18,15,5,0,0,0,0
学術研究，専門・技術サービス業,37,22,20,1,5,0,0
宿泊業，飲食サービス業,16,10,5,1,0,1,0
生活関連サービス業，娯楽業,20,11,11,0,0,0,0
教育，学習支援業(学校教育を除く）,17,8,8,1,2,2,0
医療，福祉,18,5,8,1,4,0,0
サービス業（他に分類されないもの）,47,29,23,1,5,1,0
10～49人,402,227,211,23,49,20,0
50～99人,175,109,94,6,15,8,3
100～299人,112,91,36,2,16,15,0
