学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,-,-,-,-,-,-,-,-
学歴計,20～21歳,-,-,-,-,-,-,-,-
学歴計,22～24歳,-,-,-,-,3,x,x,x
学歴計,25～29歳,23,2.7,288172,3695675,30,3,289437,4178098
学歴計,30～34歳,35,5.2,295692,4090669,46,4.2,299594,4081659
学歴計,35～39歳,33,5.7,337068,4652616,34,4.8,285876,3834434
学歴計,40～44歳,33,8.6,419673,6000148,42,5,307519,3856718
学歴計,45～49歳,32,8.9,391535,5396766,54,6.9,335431,4679226
学歴計,50～54歳,15,8,379543,5045700,51,6.4,335139,4232650
学歴計,55～59歳,14,7.4,308462,4189508,44,8.3,328640,4304179
学歴計,60歳以上,16,8.1,263883,3130707,36,8.6,324614,4214901
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,3,x,x,x
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,-,-,-,-
高校卒,25～29歳,4,x,x,x,1,x,x,x
高校卒,30～34歳,3,x,x,x,3,x,x,x
高校卒,35～39歳,5,3,398505,4120700,3,x,x,x
高校卒,40～44歳,3,x,x,x,5,5.2,252727,3147680
高校卒,45～49歳,3,x,x,x,9,7.9,295203,4155185
高校卒,50～54歳,3,x,x,x,8,10.9,280065,4044018
高校卒,55～59歳,3,x,x,x,11,7.3,255302,3287289
高校卒,60歳以上,2,x,x,x,8,7.3,259848,3255180
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,1,x,x,x,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,2,x,x,x
高専・短大卒,35～39歳,1,x,x,x,3,x,x,x
高専・短大卒,40～44歳,1,x,x,x,12,3.3,311973,4045075
高専・短大卒,45～49歳,2,x,x,x,4,x,x,x
高専・短大卒,50～54歳,2,x,x,x,7,9.4,387547,4917119
高専・短大卒,55～59歳,1,x,x,x,6,6.8,280488,4630391
高専・短大卒,60歳以上,-,-,-,-,8,9.5,328394,4024000
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,-,-,-,-,1,x,x,x
専門学校卒,25～29歳,9,2.9,287586,3527960,11,3.1,339607,4760305
専門学校卒,30～34歳,9,6.3,334628,4078144,20,4.4,317944,4101687
専門学校卒,35～39歳,12,6.4,312956,4089589,18,5.1,290267,3836988
専門学校卒,40～44歳,15,9.3,508660,6522714,16,5.6,338618,4175449
専門学校卒,45～49歳,17,10.1,437725,5642653,20,9.9,372146,4870863
専門学校卒,50～54歳,3,x,x,x,17,4.2,343516,4054521
専門学校卒,55～59歳,5,7.6,272210,3467340,14,8,407708,4702069
専門学校卒,60歳以上,9,9.3,270633,3272922,8,7.6,369090,4695846
大学卒,20～21歳,-,-,-,-,-,-,-,-
大学卒,22～24歳,-,-,-,-,2,x,x,x
大学卒,25～29歳,9,2.6,297667,3623715,17,2.2,253999,3507200
大学卒,30～34歳,23,4.6,289736,4191718,21,4,301857,4167679
大学卒,35～39歳,15,5.7,327535,4916162,10,4.3,313027,4540833
大学卒,40～44歳,14,8.2,330164,5071014,9,5.9,277227,3403413
大学卒,45～49歳,10,6.8,358471,5374630,18,4.1,337199,5679311
大学卒,50～54歳,7,9.1,408473,5742914,18,4.7,327040,4143651
大学卒,55～59歳,5,6.8,317988,4227525,11,6.6,315687,4548427
大学卒,60歳以上,5,7.8,259285,3034400,12,9.7,328532,4543700
