表側１,表側２,表側３,回答企業数(件),決まっている(％),候補がいるが決まっていない(％),候補がいない(％),まだ決める必要がない(％),その他(％),無回答(％)
,,"今回調査
（全体）",275,39.3,26.9,15.3,16.4,1.5,0.7
,,前回調査,292,44.2,30.5,9.6,12.3,0.7,2.7
業種別,,食料品卸売業,86,38.4,26.7,19.8,12.8,1.2,1.2
業種別,,生鮮食品卸売業,39,41.0,23.1,20.5,12.8,0.0,2.6
業種別,,加工食品等卸売業,47,36.2,29.8,19.1,12.8,2.1,0.0
業種別,,衣料品関連卸売業,36,33.3,36.1,13.9,16.7,0.0,0.0
業種別,,住関連卸売業,54,44.4,22.2,13.0,14.8,3.7,1.9
業種別,,その他卸売業,91,36.3,28.6,14.3,19.8,1.1,0.0
従業者規模別,,１～５人,99,36.4,25.3,19.2,18.2,1.0,0.0
従業者規模別,,６～９人,61,37.7,32.8,11.5,14.8,1.6,1.6
従業者規模別,,10～49人,96,44.8,25.0,14.6,12.5,2.1,1.0
従業者規模別,,50人以上,13,30.8,23.1,7.7,38.5,0.0,0.0
取引形態別,一次卸,小売直取引卸,81,39.5,28.4,13.6,18.5,0.0,0.0
取引形態別,一次卸,他部門直取引卸,27,33.3,37.0,14.8,11.1,3.7,0.0
取引形態別,一次卸,元卸,46,37.0,19.6,26.1,13.0,2.2,2.2
取引形態別,二次卸,中間卸,36,41.7,27.8,13.9,16.7,0.0,0.0
取引形態別,二次卸,最終卸,46,41.3,30.4,13.0,15.2,0.0,0.0
取引形態別,その他,製造問屋,5,20.0,40.0,20.0,20.0,0.0,0.0
取引形態別,その他,その他卸,21,38.1,14.3,9.5,23.8,9.5,4.8
年間売上高増減別（3年前）,,大幅増加（10％以上）,42,28.6,38.1,16.7,14.3,0.0,2.4
年間売上高増減別（3年前）,,やや増加（10％未満）,57,45.6,29.8,8.8,15.8,0.0,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,62,40.3,27.4,14.5,14.5,3.2,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,44,45.5,15.9,20.5,18.2,0.0,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,60,28.3,28.3,20.0,18.3,3.3,1.7
売上高経常利益率別,,黒字（プラス）,188,39.4,25.5,16.5,16.5,1.6,0.5
売上高経常利益率別,,赤字（マイナス）,74,36.5,32.4,13.5,14.9,1.4,1.4
経常損益の変化別（3年前）,,増益,78,41.0,25.6,12.8,19.2,0.0,1.3
経常損益の変化別（3年前）,,横ばい,84,36.9,33.3,13.1,16.7,0.0,0.0
経常損益の変化別（3年前）,,減益,103,36.9,25.2,20.4,12.6,3.9,1.0
代表者の年齢別,,40歳未満,2,0.0,0.0,0.0,100.0,0.0,0.0
代表者の年齢別,,40歳代,21,14.3,38.1,19.0,28.6,0.0,0.0
代表者の年齢別,,50歳代,71,29.6,18.3,16.9,32.4,1.4,1.4
代表者の年齢別,,60歳代,88,34.1,28.4,21.6,13.6,2.3,0.0
代表者の年齢別,,70歳以上,91,57.1,30.8,7.7,2.2,1.1,1.1
