区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,5130,48.2,16.5,503888,12545,19824,7441162,4129,48.6,17.3,516106,13233,20725,7684625,999,46.5,13.5,453291,9729,16080,6407517
建設業,618,49,19.2,467009,8722,43598,7781722,571,49,19.5,475037,8799,45518,7951043,47,49.9,15.4,369988,7784,22110,5767883
製造業,1348,48.9,18.7,436016,14055,19194,6353155,1127,49.1,19.1,442352,14758,19493,6503994,221,47.8,16.8,403818,10471,17697,5553782
情報通信業,633,47.8,17.8,557300,12262,14921,7704685,539,48.1,18.3,554979,12812,15973,7743958,94,45.9,14.8,569948,9108,8694,7480735
運輸業，郵便業,183,49.1,18.1,423770,15904,29305,6497870,157,49.7,18.1,429861,16291,30095,6559285,26,45.2,18.5,386992,13572,24536,6126924
卸売業，小売業,601,48.4,15.7,435623,11368,15857,6330755,456,48.6,16.1,453283,12511,16255,6569065,145,47.8,14.3,377066,7775,14484,5527803
金融業，保険業,564,49.8,14.6,737120,13804,14487,11080942,479,50.1,14.6,758979,13851,12369,11173147,85,47.7,14.9,613937,13542,26425,10587698
不動産業，物品賃貸業,321,44.7,12.2,546957,13390,1420,8733132,241,46.2,13.9,594959,14100,1274,10042502,80,40,7.2,402351,11253,1862,4952327
学術研究，専門・技術サービス業,273,45,10.2,636359,10687,6369,8401109,154,45.4,10.9,647356,12640,3911,8495475,119,44.5,9.2,621977,8159,9549,8277307
宿泊業，飲食サービス業,68,49.4,15.2,397590,14761,17259,5350018,56,49.3,15.4,401456,15154,18795,5382610,12,49.8,14.3,377908,12927,10219,5198909
生活関連サービス業，娯楽業,154,47.2,18.6,458589,12800,13037,6652415,111,48.5,19.8,487418,13116,12624,7038403,43,43.9,15.6,384169,11985,14201,5613215
教育，学習支援業（学校教育を除く）,77,45.6,14.7,357467,11673,23970,4768322,38,44.5,14.2,397107,16273,17259,5128480,37,46.7,15.1,315562,7579,30872,4408164
医療，福祉,142,46.8,8.6,434615,8482,31935,5648868,68,44.4,9.3,454934,10207,37703,6061663,74,48.9,7.9,417042,6897,26869,5268322
サービス業（他に分類されないもの）,148,48.4,17.5,436914,16469,37911,6377296,132,48.8,18,447770,16806,41578,6605476,16,44.9,13.3,348035,13684,7361,4414947
