表側１,表側２,表側３,回答企業数(件),販売している(%),今後販売する予定(%),販売していたが中止した(%),販売予定なし(%),無回答(%)
,,"今回調査
（全体）",2141,19.1,3.0,2.1,64.3,11.4
,,前回調査,2003,12.9,4.9,2.7,70.6,8.9
業種別,,総合商品小売業,189,31.7,1.1,0.0,60.3,6.9
業種別,,生鮮食品小売業,134,6.0,0.0,2.2,76.9,14.9
業種別,,食料品関連小売業,535,16.1,3.2,2.6,67.9,10.3
業種別,,衣料品関連小売業,298,24.5,4.0,3.0,55.7,12.8
業種別,,住関連小売業,167,12.0,2.4,1.8,70.1,13.8
業種別,,その他小売業,773,20.6,3.6,2.1,63.3,10.5
従業者規模別,,１～２人,1066,12.1,2.4,2.2,70.7,12.6
従業者規模別,,３～５人,486,19.8,3.3,2.5,61.5,13.0
従業者規模別,,６～19人,336,30.7,3.0,2.4,55.7,8.3
従業者規模別,,20人以上,170,40.0,4.7,1.2,51.8,2.4
年間売上高増減別（3年前）,,増加（５％以上）,227,38.8,4.4,3.5,49.3,4.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,24.4,1.8,1.4,63.1,9.4
年間売上高増減別（3年前）,,やや減少（10％未満）,450,16.2,3.1,2.4,68.9,9.3
年間売上高増減別（3年前）,,減少（20％未満）,434,12.2,3.9,2.5,67.5,13.8
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,13.7,3.1,1.8,65.4,16.0
売上高経常利益率別,,黒字（プラス）,1093,21.0,2.5,2.1,65.5,8.9
売上高経常利益率別,,赤字（マイナス）,838,17.9,4.1,1.8,64.2,12.1
経常損益の変化別（3年前）,,増益,316,30.7,3.8,2.5,55.1,7.9
経常損益の変化別（3年前）,,横ばい,702,19.4,2.3,2.4,65.4,10.5
経常損益の変化別（3年前）,,減益,999,16.7,3.5,1.9,65.8,12.1
代表者の年齢別,,40歳未満,43,37.2,4.7,2.3,55.8,0.0
代表者の年齢別,,40歳代,185,37.3,2.7,2.2,50.3,7.6
代表者の年齢別,,50歳代,458,26.0,2.8,3.1,61.1,7.0
代表者の年齢別,,60歳代,514,20.2,3.3,2.9,66.3,7.2
代表者の年齢別,,70歳以上,916,10.8,2.6,1.2,68.8,16.6
