区分,退職一時金制度導入企業数（社）,制度あり（社）,複数回答／功労加算（社）,複数回答／役付加算（社）,複数回答／年齢加算（社）,複数回答／業務上死傷病（社）,複数回答／業務外死傷病（社）,複数回答／早期退職者優遇（社）,複数回答／無回答（社）,制度なし（社）,無回答（社）
調査産業計,689,262,214,52,14,42,21,9,2,410,17
労組有,59,18,12,3,2,7,5,1,0,40,1
労組無,630,244,202,49,12,35,16,8,2,370,16
建設業,74,36,34,4,3,2,1,0,0,37,1
製造業,231,97,78,20,6,21,12,4,1,130,4
情報通信業,28,7,7,1,0,2,0,0,0,21,0
運輸業，郵便業,32,15,10,5,0,3,2,0,0,16,1
卸売業，小売業,123,41,32,6,4,6,2,2,0,79,3
金融業，保険業,28,16,11,3,1,3,2,3,0,12,0
不動産業，物品賃貸業,18,7,6,1,0,1,0,0,0,10,1
学術研究，専門・技術サービス業,37,17,15,4,0,0,0,0,0,19,1
宿泊業，飲食サービス業,16,2,2,0,0,0,0,0,0,12,2
生活関連サービス業，娯楽業,20,6,5,3,0,0,0,0,0,14,0
教育，学習支援業(学校教育を除く）,17,1,1,1,0,0,0,0,0,15,1
医療，福祉,18,4,3,1,0,0,0,0,0,13,1
サービス業（他に分類されないもの）,47,13,10,3,0,4,2,0,1,32,2
10～49人,402,142,120,28,5,18,8,2,0,250,10
50～99人,175,65,50,13,5,12,8,3,1,105,5
100～299人,112,55,44,11,4,12,5,4,1,55,2
