,,市場調査・競合調査の実施,顧客満足度調査の実施,仕入・外注先との情報交換,同業者との情報交換,取引金融機関との情報交換,異業種仲間との情報交換,新聞・ＴＶ・インターネット等からの情報収集,販売先(顧客)との情報交換,その他,特に何も行っていない,無回答,n
, 今回調査（全体）,36.9 ,18.4 ,41.6 ,53.0 ,11.1 ,25.8 ,39.9 ,50.6 ,2.3 ,1.7 ,1.4 ,830
, 前回調査,33.9 ,13.4 ,36.6 ,49.7 ,11.1 ,24.9 ,33.5 ,47.6 ,2.1 ,3.7 ,3.1 ,794
業種別,情報・コンテンツ業,38.6 ,17.7 ,49.1 ,54.3 ,12.6 ,22.2 ,46.8 ,51.5 ,2.7 ,1.0 ,0.3 ,293
業種別,専門サービス業,39.4 ,19.9 ,30.7 ,48.9 ,11.3 ,35.1 ,47.2 ,51.1 ,2.2 ,1.3 ,2.2 ,231
業種別,技術サービス業,32.1 ,12.5 ,36.6 ,53.6 ,7.1 ,17.0 ,28.6 ,42.9 ,2.7 ,3.6 ,0.9 ,112
業種別,事業サービス業,32.4 ,19.6 ,46.9 ,55.9 ,11.2 ,24.6 ,27.4 ,52.5 ,1.7 ,2.2 ,2.8 ,179
特定10業種,ソフトウェア業,35.0 ,21.0 ,45.5 ,61.5 ,11.9 ,20.3 ,39.2 ,50.3 ,2.8 ,0.7 ,0.0 ,143
特定10業種,インターネット附随サービス業,56.3 ,34.4 ,50.0 ,50.0 ,21.9 ,34.4 ,65.6 ,53.1 ,6.3 ,0.0 ,0.0 ,32
特定10業種,映像情報制作・配給業,40.7 ,3.7 ,59.3 ,40.7 ,11.1 ,25.9 ,48.1 ,44.4 ,0.0 ,0.0 ,3.7 ,27
特定10業種,出版業,42.9 ,9.5 ,61.9 ,42.9 ,9.5 ,9.5 ,61.9 ,57.1 ,0.0 ,4.8 ,0.0 ,21
特定10業種,税理士事務所,13.3 ,33.3 ,6.7 ,36.7 ,23.3 ,26.7 ,30.0 ,40.0 ,0.0 ,0.0 ,3.3 ,30
特定10業種,デザイン業,47.5 ,12.5 ,40.0 ,37.5 ,5.0 ,30.0 ,47.5 ,55.0 ,5.0 ,0.0 ,2.5 ,40
特定10業種,経営コンサルタント業,41.3 ,20.0 ,36.0 ,53.3 ,8.0 ,44.0 ,48.0 ,56.0 ,2.7 ,1.3 ,1.3 ,75
特定10業種,建築設計業,32.7 ,7.7 ,40.4 ,55.8 ,5.8 ,15.4 ,36.5 ,48.1 ,0.0 ,5.8 ,0.0 ,52
特定10業種,自動車整備業,0.0 ,40.0 ,60.0 ,70.0 ,20.0 ,10.0 ,10.0 ,40.0 ,0.0 ,20.0 ,0.0 ,10
特定10業種,建物サービス業,15.6 ,25.0 ,46.9 ,75.0 ,15.6 ,28.1 ,15.6 ,53.1 ,3.1 ,0.0 ,0.0 ,32
従業者規模別,1～2人,36.5 ,18.0 ,37.4 ,50.5 ,9.5 ,30.6 ,56.3 ,52.3 ,4.1 ,1.4 ,2.3 ,222
従業者規模別,3～5人,32.2 ,15.8 ,43.3 ,51.5 ,8.8 ,30.4 ,40.9 ,48.5 ,1.2 ,2.3 ,1.8 ,171
従業者規模別,6～9人,31.6 ,19.4 ,48.0 ,51.0 ,8.2 ,26.5 ,35.7 ,51.0 ,1.0 ,4.1 ,0.0 ,98
従業者規模別,10～29人,39.2 ,16.3 ,42.2 ,53.6 ,12.0 ,19.3 ,30.7 ,46.4 ,2.4 ,0.6 ,1.2 ,166
従業者規模別,30人以上,44.7 ,23.6 ,42.2 ,57.1 ,17.4 ,19.3 ,28.6 ,57.1 ,1.2 ,1.2 ,1.2 ,161
年間売上高増減別（３年前）,大幅(10％以上)増加,40.8 ,21.6 ,40.0 ,52.0 ,8.0 ,26.4 ,40.8 ,56.0 ,3.2 ,3.2 ,0.8 ,125
年間売上高増減別（３年前）,やや(10％未満)増加,38.9 ,20.4 ,43.4 ,55.8 ,10.6 ,23.0 ,31.0 ,43.4 ,0.9 ,1.8 ,0.0 ,113
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,31.6 ,19.5 ,37.4 ,56.8 ,11.6 ,20.0 ,37.9 ,50.5 ,0.5 ,1.1 ,0.0 ,190
年間売上高増減別（３年前）,やや(10％未満)減少,28.9 ,17.5 ,39.2 ,49.5 ,11.3 ,27.8 ,42.3 ,45.4 ,3.1 ,3.1 ,1.0 ,97
年間売上高増減別（３年前）,大幅(10％以上)減少,39.1 ,16.3 ,42.4 ,50.4 ,12.0 ,29.7 ,42.8 ,51.4 ,2.9 ,1.1 ,3.6 ,276
売上高経常利益率別,黒字,35.5 ,18.0 ,43.3 ,55.8 ,11.9 ,25.5 ,39.2 ,54.5 ,1.9 ,1.5 ,0.7 ,538
売上高経常利益率別,赤字,41.0 ,19.4 ,38.8 ,46.3 ,9.7 ,26.4 ,42.7 ,46.3 ,2.6 ,2.2 ,2.2 ,227
経常損益の変化別（３年前）,増益,42.4 ,20.5 ,39.5 ,54.8 ,10.5 ,26.2 ,38.6 ,52.4 ,2.9 ,2.9 ,1.4 ,210
経常損益の変化別（３年前）,横ばい,35.0 ,19.4 ,37.1 ,51.9 ,12.2 ,21.5 ,39.2 ,48.5 ,1.7 ,0.4 ,0.4 ,237
経常損益の変化別（３年前）,減益,34.0 ,16.7 ,44.4 ,52.7 ,10.7 ,28.8 ,40.3 ,50.1 ,2.3 ,2.0 ,1.7 ,347
